# generated_at: 2026-05-27T19:57:48Z
# source_server: 167.99.198.145
# git_commit: 40402f2
# generated_by: PetHub AI Platform - Phase 9I.1/9J/10 Generator
# data_source_label: LIVE WordPress + Rank Math API
# approval_status: planning_only
# next_action: owner_review
field,value
agent_name,Sitemap & Indexing Agent (SA-01)
purpose,"Make sure all public content is discoverable, indexed-ready and tracked"
phase1_objective,"Make sure all public content is discoverable, indexed-ready and tracked"
phase1_business_outcome,Improves sitemap & indexing agent for site growth and safety
phase1_hidden_requirements,"Must integrate with Co-Pilot, Mission Control, NOC without separate dashboard"
phase1_approval_boundaries,GREEN actions auto; AMBER prepare-only; RED always explicit approval
phase1_risk_level,low_monitoring_only
phase2_options,Standalone agent vs integrated module vs scheduled job
phase2_technology,Python + FastAPI + PostgreSQL + Redis
phase2_automation_vs_manual,Automated monitoring + manual approval for live changes
phase2_scalability,"Handles 100+ posts, extensible to 1000+"
phase2_security,No credential storage in agent; uses existing auth; logs all actions
phase3_data_flow,WP API -> Agent -> PostgreSQL -> Co-Pilot/Mission Control/NOC
phase3_api_routes,"api/sitemap-indexing-agent/scan, /status, /report"
phase3_dashboard_feed,Co-Pilot + Mission Control + NOC (no separate dashboard)
phase3_rollback,All state changes logged; previous state stored; rollback via restore
phase4_agents_involved,SA-06 (Publisher Gate) for live changes; SA-10 (Export) for evidence
phase4_tradeoffs,Frequency vs resource usage; depth vs speed
phase4_final_decision,"Balanced approach: frequent lightweight checks, deep scans on schedule"
phase5_success_tests,Detects known issues; reports accurately; Co-Pilot responds correctly
phase5_failure_tests,Graceful degradation if API unavailable; DLQ for failed jobs
phase5_edge_cases,Empty results; API timeout; stale data; concurrent runs
phase5_rollback_test,State can be restored to pre-scan values
phase6_weaknesses,Depends on WP API availability; cache delays possible
phase6_maintainability,Modular design; clear separation of concerns
phase6_owner_visibility,All outputs visible in Co-Pilot; executive summaries daily
phase7_performance,Batch API calls; cache results; incremental scans
phase7_cost,Minimal API calls; reuse cached data where safe
phase7_future_proofing,"Extensible to new post types, categories, schema types"
phase8_confidence,high
phase8_risks,API rate limits; WordPress.com hosting constraints
phase8_blockers,none_for_planning
phase8_production_readiness,spec_ready_pending_implementation
responsibility_1,Check sitemap status
responsibility_2,Detect missing published URLs
responsibility_3,Detect draft URLs in sitemap
responsibility_4,Detect 404 URLs in sitemap
responsibility_5,Detect trashed URLs in sitemap
responsibility_6,Monitor sitemap URL count
responsibility_7,Compare WordPress published count vs sitemap count
responsibility_8,Check GSC sitemap status
responsibility_9,Track indexing requests
responsibility_10,Track first impression dates
responsibility_11,Track first click dates
responsibility_12,Schedule 24h/72h/7d follow-ups
responsibility_13,Alert if published post missing from sitemap
responsibility_14,Alert if sitemap contains non-public URL
input_1,WordPress posts API
input_2,Rank Math sitemap
input_3,GSC data
input_4,Public URL checks
input_5,Mission Control
input_6,Publisher logs
output_1,Sitemap health status
output_2,Missing URL list
output_3,Indexing follow-up report
output_4,Co-Pilot summary
output_5,Mission Control task creation
green_action_1,Scan
green_action_2,Report
green_action_3,Create follow-up task
amber_action_1,Request indexing
amber_action_2,Submit sitemap
amber_action_3,Regenerate sitemap if admin settings involved
red_action_1,Change sitemap provider
red_action_2,Alter plugin settings broadly
red_action_3,Publish/unpublish content
acceptance_1,Detects missing published URLs
acceptance_2,Detects draft/404 URLs
acceptance_3,Co-Pilot can explain sitemap status
acceptance_4,No risky changes without approval
copilot_command_1,show sitemap status
copilot_command_2,list missing URLs
copilot_command_3,show indexing progress
copilot_command_4,sitemap health summary
dashboard_integration,Co-Pilot + Mission Control + NOC
requires_separate_dashboard,no
approval_status,planning_only
next_action,owner_review_and_approval
