# generated_at: 2026-05-27T19:57:48Z
# source_server: 167.99.198.145
# git_commit: 40402f2
# generated_by: PetHub AI Platform - Phase 9I.1/9J/10 Generator
# data_source_label: LIVE WordPress + Rank Math API
# approval_status: planning_only
# next_action: owner_review
field,value
agent_name,Export Discipline Agent (SA-10)
purpose,Prevent stale evidence and export confusion
phase1_objective,Prevent stale evidence and export confusion
phase1_business_outcome,Improves export discipline agent for site growth and safety
phase1_hidden_requirements,"Must integrate with Co-Pilot, Mission Control, NOC without separate dashboard"
phase1_approval_boundaries,GREEN actions auto; AMBER prepare-only; RED always explicit approval
phase1_risk_level,low_monitoring_only
phase2_options,Standalone agent vs integrated module vs scheduled job
phase2_technology,Python + FastAPI + PostgreSQL + Redis
phase2_automation_vs_manual,Automated monitoring + manual approval for live changes
phase2_scalability,"Handles 100+ posts, extensible to 1000+"
phase2_security,No credential storage in agent; uses existing auth; logs all actions
phase3_data_flow,WP API -> Agent -> PostgreSQL -> Co-Pilot/Mission Control/NOC
phase3_api_routes,"api/export-discipline-agent/scan, /status, /report"
phase3_dashboard_feed,Co-Pilot + Mission Control + NOC (no separate dashboard)
phase3_rollback,All state changes logged; previous state stored; rollback via restore
phase4_agents_involved,SA-06 (Publisher Gate) for live changes; SA-10 (Export) for evidence
phase4_tradeoffs,Frequency vs resource usage; depth vs speed
phase4_final_decision,"Balanced approach: frequent lightweight checks, deep scans on schedule"
phase5_success_tests,Detects known issues; reports accurately; Co-Pilot responds correctly
phase5_failure_tests,Graceful degradation if API unavailable; DLQ for failed jobs
phase5_edge_cases,Empty results; API timeout; stale data; concurrent runs
phase5_rollback_test,State can be restored to pre-scan values
phase6_weaknesses,Depends on WP API availability; cache delays possible
phase6_maintainability,Modular design; clear separation of concerns
phase6_owner_visibility,All outputs visible in Co-Pilot; executive summaries daily
phase7_performance,Batch API calls; cache results; incremental scans
phase7_cost,Minimal API calls; reuse cached data where safe
phase7_future_proofing,"Extensible to new post types, categories, schema types"
phase8_confidence,high
phase8_risks,API rate limits; WordPress.com hosting constraints
phase8_blockers,none_for_planning
phase8_production_readiness,spec_ready_pending_implementation
responsibility_1,Timestamp every export
responsibility_2,Mark current/stale
responsibility_3,Include source server
responsibility_4,Include git commit
responsibility_5,Include generated_by
responsibility_6,Archive superseded files
responsibility_7,Compare GitHub vs live state
responsibility_8,Warn if stale evidence conflicts
input_1,GitHub repository
input_2,Live server files
input_3,Export timestamps
input_4,Git commit history
output_1,Export health report
output_2,Stale file alerts
output_3,Evidence pack index
output_4,Current vs stale classification
green_action_1,Check timestamps
green_action_2,Mark stale
green_action_3,Archive superseded
green_action_4,Create indexes
amber_action_1,Bulk file archival
amber_action_2,Export format changes
red_action_1,Delete evidence files
red_action_2,Remove audit logs
acceptance_1,No stale current exports
acceptance_2,Co-Pilot can say which pack is current
copilot_command_1,show export status
copilot_command_2,which exports are stale
copilot_command_3,current evidence pack
dashboard_integration,Co-Pilot + Mission Control + NOC
requires_separate_dashboard,no
approval_status,planning_only
next_action,owner_review_and_approval
