# generated_at: 2026-05-27T19:57:48Z
# source_server: 167.99.198.145
# git_commit: 40402f2
# generated_by: PetHub AI Platform - Phase 9I.1/9J/10 Generator
# data_source_label: LIVE WordPress + Rank Math API
# approval_status: planning_only
# next_action: owner_review
field,value
agent_name,AI Visibility Agent (SA-07)
purpose,"Improve visibility in ChatGPT, Gemini, Perplexity and AI search environments"
phase1_objective,"Improve visibility in ChatGPT, Gemini, Perplexity and AI search environments"
phase1_business_outcome,Improves ai visibility agent for site growth and safety
phase1_hidden_requirements,"Must integrate with Co-Pilot, Mission Control, NOC without separate dashboard"
phase1_approval_boundaries,GREEN actions auto; AMBER prepare-only; RED always explicit approval
phase1_risk_level,low_monitoring_only
phase2_options,Standalone agent vs integrated module vs scheduled job
phase2_technology,Python + FastAPI + PostgreSQL + Redis
phase2_automation_vs_manual,Automated monitoring + manual approval for live changes
phase2_scalability,"Handles 100+ posts, extensible to 1000+"
phase2_security,No credential storage in agent; uses existing auth; logs all actions
phase3_data_flow,WP API -> Agent -> PostgreSQL -> Co-Pilot/Mission Control/NOC
phase3_api_routes,"api/ai-visibility-agent/scan, /status, /report"
phase3_dashboard_feed,Co-Pilot + Mission Control + NOC (no separate dashboard)
phase3_rollback,All state changes logged; previous state stored; rollback via restore
phase4_agents_involved,SA-06 (Publisher Gate) for live changes; SA-10 (Export) for evidence
phase4_tradeoffs,Frequency vs resource usage; depth vs speed
phase4_final_decision,"Balanced approach: frequent lightweight checks, deep scans on schedule"
phase5_success_tests,Detects known issues; reports accurately; Co-Pilot responds correctly
phase5_failure_tests,Graceful degradation if API unavailable; DLQ for failed jobs
phase5_edge_cases,Empty results; API timeout; stale data; concurrent runs
phase5_rollback_test,State can be restored to pre-scan values
phase6_weaknesses,Depends on WP API availability; cache delays possible
phase6_maintainability,Modular design; clear separation of concerns
phase6_owner_visibility,All outputs visible in Co-Pilot; executive summaries daily
phase7_performance,Batch API calls; cache results; incremental scans
phase7_cost,Minimal API calls; reuse cached data where safe
phase7_future_proofing,"Extensible to new post types, categories, schema types"
phase8_confidence,high
phase8_risks,API rate limits; WordPress.com hosting constraints
phase8_blockers,none_for_planning
phase8_production_readiness,spec_ready_pending_implementation
responsibility_1,Maintain AI visibility query set
responsibility_2,Track brand mention
responsibility_3,Track category mention
responsibility_4,Track citation opportunities
responsibility_5,Track answer-readiness
responsibility_6,Detect missing FAQ/direct-answer opportunities
responsibility_7,Compare competitors
responsibility_8,Classify data as measured/manual/modelled
input_1,AI visibility baseline
input_2,Co-Pilot queries
input_3,Manual benchmark results
input_4,Page content
input_5,Schema status
input_6,Trust pages
input_7,Entity coverage
output_1,AI visibility report
output_2,Query set results
output_3,Entity gaps
output_4,Answer-readiness opportunities
output_5,Co-Pilot summary
green_action_1,Monitor
green_action_2,Report
green_action_3,Propose improvements
green_action_4,Create draft answer blocks
amber_action_1,Live content updates
amber_action_2,Schema deployment
amber_action_3,New page publication
red_action_1,Fake AI visibility claims
red_action_2,Automated content changes without approval
acceptance_1,AI visibility baseline tracked
acceptance_2,No fake AI citation claims
acceptance_3,Co-Pilot can explain AI visibility status
copilot_command_1,show AI visibility status
copilot_command_2,list citation opportunities
copilot_command_3,AI readiness for [cluster]
dashboard_integration,Co-Pilot + Mission Control + NOC
requires_separate_dashboard,no
approval_status,planning_only
next_action,owner_review_and_approval
