# generated_at: 2026-05-27T19:57:48Z
# source_server: 167.99.198.145
# git_commit: 40402f2
# generated_by: PetHub AI Platform - Phase 9I.1/9J/10 Generator
# data_source_label: LIVE WordPress + Rank Math API
# approval_status: planning_only
# next_action: owner_review
field,value
agent_name,Metadata & Image Alt Agent (SA-03)
purpose,Enforce sitewide metadata and first-image-alt standards
phase1_objective,Enforce sitewide metadata and first-image-alt standards
phase1_business_outcome,Improves metadata & image alt agent for site growth and safety
phase1_hidden_requirements,"Must integrate with Co-Pilot, Mission Control, NOC without separate dashboard"
phase1_approval_boundaries,GREEN actions auto; AMBER prepare-only; RED always explicit approval
phase1_risk_level,low_monitoring_only
phase2_options,Standalone agent vs integrated module vs scheduled job
phase2_technology,Python + FastAPI + PostgreSQL + Redis
phase2_automation_vs_manual,Automated monitoring + manual approval for live changes
phase2_scalability,"Handles 100+ posts, extensible to 1000+"
phase2_security,No credential storage in agent; uses existing auth; logs all actions
phase3_data_flow,WP API -> Agent -> PostgreSQL -> Co-Pilot/Mission Control/NOC
phase3_api_routes,"api/metadata-image-alt-agent/scan, /status, /report"
phase3_dashboard_feed,Co-Pilot + Mission Control + NOC (no separate dashboard)
phase3_rollback,All state changes logged; previous state stored; rollback via restore
phase4_agents_involved,SA-06 (Publisher Gate) for live changes; SA-10 (Export) for evidence
phase4_tradeoffs,Frequency vs resource usage; depth vs speed
phase4_final_decision,"Balanced approach: frequent lightweight checks, deep scans on schedule"
phase5_success_tests,Detects known issues; reports accurately; Co-Pilot responds correctly
phase5_failure_tests,Graceful degradation if API unavailable; DLQ for failed jobs
phase5_edge_cases,Empty results; API timeout; stale data; concurrent runs
phase5_rollback_test,State can be restored to pre-scan values
phase6_weaknesses,Depends on WP API availability; cache delays possible
phase6_maintainability,Modular design; clear separation of concerns
phase6_owner_visibility,All outputs visible in Co-Pilot; executive summaries daily
phase7_performance,Batch API calls; cache results; incremental scans
phase7_cost,Minimal API calls; reuse cached data where safe
phase7_future_proofing,"Extensible to new post types, categories, schema types"
phase8_confidence,high
phase8_risks,API rate limits; WordPress.com hosting constraints
phase8_blockers,none_for_planning
phase8_production_readiness,spec_ready_pending_implementation
responsibility_1,Scan all published posts
responsibility_2,Scan all drafts
responsibility_3,Detect title length issues
responsibility_4,Detect focus keyword placement issue
responsibility_5,Detect meta description length issue
responsibility_6,Detect first-image-alt issue
responsibility_7,Detect unsupported claim in metadata
responsibility_8,Propose fixes
responsibility_9,Feed Publisher gate
input_1,Rank Math metadata
input_2,Post focus keyword
input_3,Post title
input_4,First image
input_5,Page content
input_6,Mission Control status
output_1,Metadata compliance report
output_2,Image alt compliance report
output_3,Fix proposals
output_4,Co-Pilot summary
green_action_1,Scan and report
amber_action_1,Prepare metadata updates
amber_action_2,Prepare image alt updates
red_action_1,Live metadata update without approval
red_action_2,Misleading metadata
red_action_3,Unverified product claims
acceptance_1,Publisher blocks posts failing metadata rules
acceptance_2,Co-Pilot can report metadata compliance
copilot_command_1,show metadata compliance
copilot_command_2,list posts with issues
copilot_command_3,metadata status for [post]
dashboard_integration,Co-Pilot + Mission Control + NOC
requires_separate_dashboard,no
approval_status,planning_only
next_action,owner_review_and_approval
