metric,value,category,field_type,confidence,last_validation_date,next_check_date,owner_action_needed,generated_at,source_server,git_commit_hash,generated_by,data_source_label,approval_status,next_action
SEO Score,89/100,Overall,EXTERNAL SEO SNAPSHOT,HIGH,2026-05-27,2026-06-27,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT,phase_9g_baseline_captured,Review and use as benchmark for future improvements
AI Visibility Score,65/100,AI Search,EXTERNAL SEO SNAPSHOT,HIGH,2026-05-27,2026-06-27,YES - review AI visibility improvement plan,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT,phase_9g_baseline_captured,Review and use as benchmark for future improvements
Failed Checks,5,Issues,EXTERNAL SEO SNAPSHOT,HIGH,2026-05-27,2026-06-27,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT,phase_9g_baseline_captured,Review and use as benchmark for future improvements
Warnings,5,Issues,EXTERNAL SEO SNAPSHOT,HIGH,2026-05-27,2026-06-27,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT,phase_9g_baseline_captured,Review and use as benchmark for future improvements
Passed Checks,53,Issues,EXTERNAL SEO SNAPSHOT,HIGH,2026-05-27,2026-06-27,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT,phase_9g_baseline_captured,Review and use as benchmark for future improvements
Common SEO Issues Score,95/100,Technical SEO,EXTERNAL SEO SNAPSHOT,HIGH,2026-05-27,2026-06-27,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT,phase_9g_baseline_captured,Review and use as benchmark for future improvements
Speed Optimizations Score,79/100,Performance,EXTERNAL SEO SNAPSHOT,HIGH,2026-05-27,2026-06-27,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT,phase_9g_baseline_captured,Review and use as benchmark for future improvements
Server and Security Score,100/100,Security,EXTERNAL SEO SNAPSHOT,HIGH,2026-05-27,2026-06-27,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT,phase_9g_baseline_captured,Review and use as benchmark for future improvements
Mobile Usability Score,100/100,Mobile,EXTERNAL SEO SNAPSHOT,HIGH,2026-05-27,2026-06-27,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT,phase_9g_baseline_captured,Review and use as benchmark for future improvements
Advanced SEO Score,98/100,Advanced SEO,EXTERNAL SEO SNAPSHOT,HIGH,2026-05-27,2026-06-27,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT,phase_9g_baseline_captured,Review and use as benchmark for future improvements
AI Content Insights,5/5 passed,AI Search,EXTERNAL SEO SNAPSHOT,HIGH,2026-05-27,2026-06-27,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT,phase_9g_baseline_captured,Review and use as benchmark for future improvements
Content Trust,58%,E-E-A-T,EXTERNAL SEO SNAPSHOT,MEDIUM,2026-05-27,2026-06-27,YES - trust improvement plan needed,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT,phase_9g_baseline_captured,Review and use as benchmark for future improvements
Topical Relevance,92%,E-E-A-T,EXTERNAL SEO SNAPSHOT,MEDIUM,2026-05-27,2026-06-27,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT,phase_9g_baseline_captured,Review and use as benchmark for future improvements
Subject Expertise,55%,E-E-A-T,EXTERNAL SEO SNAPSHOT,MEDIUM,2026-05-27,2026-06-27,YES - expertise signals needed,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT,phase_9g_baseline_captured,Review and use as benchmark for future improvements
Credibility,45%,E-E-A-T,EXTERNAL SEO SNAPSHOT,MEDIUM,2026-05-27,2026-06-27,YES - credibility improvement plan needed,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT,phase_9g_baseline_captured,Review and use as benchmark for future improvements
Content Freshness,84%,E-E-A-T,EXTERNAL SEO SNAPSHOT,MEDIUM,2026-05-27,2026-06-27,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT,phase_9g_baseline_captured,Review and use as benchmark for future improvements
Loading Time,2.81s,Performance,EXTERNAL SEO SNAPSHOT,HIGH,2026-05-27,2026-06-27,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT,phase_9g_baseline_captured,Review and use as benchmark for future improvements
TTFB,1.379s,Performance,EXTERNAL SEO SNAPSHOT,HIGH,2026-05-27,2026-06-27,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT,phase_9g_baseline_captured,Review and use as benchmark for future improvements
FCP,1.976s,Performance,EXTERNAL SEO SNAPSHOT,HIGH,2026-05-27,2026-06-27,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT,phase_9g_baseline_captured,Review and use as benchmark for future improvements
LCP,2.04s,Performance,EXTERNAL SEO SNAPSHOT,HIGH,2026-05-27,2026-06-27,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT,phase_9g_baseline_captured,Review and use as benchmark for future improvements
CLS,0.0000,Performance,EXTERNAL SEO SNAPSHOT,HIGH,2026-05-27,2026-06-27,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT,phase_9g_baseline_captured,Review and use as benchmark for future improvements
Total Page Size,1.06MB,Performance,EXTERNAL SEO SNAPSHOT,HIGH,2026-05-27,2026-06-27,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT,phase_9g_baseline_captured,Review and use as benchmark for future improvements
HTTP Requests,25,Performance,EXTERNAL SEO SNAPSHOT,HIGH,2026-05-27,2026-06-27,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT,phase_9g_baseline_captured,Review and use as benchmark for future improvements
JavaScript Size,522KB,Performance,EXTERNAL SEO SNAPSHOT,HIGH,2026-05-27,2026-06-27,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT,phase_9g_baseline_captured,Review and use as benchmark for future improvements
Image Size,505KB,Performance,EXTERNAL SEO SNAPSHOT,HIGH,2026-05-27,2026-06-27,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT,phase_9g_baseline_captured,Review and use as benchmark for future improvements
Average Top-100 Site Score,75%,Benchmark,EXTERNAL SEO SNAPSHOT,MEDIUM,2026-05-27,2026-06-27,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT,phase_9g_baseline_captured,Review and use as benchmark for future improvements
