improvement_id,area,current_state,target_state,proposed_content_asset,honest,requires_evidence,owner_approval_required,risk_level,priority,generated_at,source_server,git_commit_hash,generated_by,data_source_label,approval_status,next_action
TL-001,Methodology Visibility,No visible methodology page. Visitors cannot see how products are selected or reviewed.,"Published How We Research Pet Products page explaining selection criteria, editorial process, and evidence standards.",DRAFT: How We Research Pet Products,YES - must accurately describe actual research process. Do not claim testing unless real testing exists.,"NO - describes process, not product claims",YES,LOW,1 - High Impact,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_trust_plan_proposed,Start with TL-001 (methodology) and TL-002 (editorial process) as highest-impact trust improvements
TL-002,Editorial Independence,No editorial policy visible. Affiliate relationships not explained in editorial context.,Published Our Editorial Process page explaining independence from affiliate relationships.,DRAFT: Our Editorial Process,YES - must truthfully describe editorial standards. Do not overstate independence.,NO,YES,LOW,1 - High Impact,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_trust_plan_proposed,Start with TL-001 (methodology) and TL-002 (editorial process) as highest-impact trust improvements
TL-003,Affiliate Disclosure Clarity,Affiliate disclosure page exists (/affiliate-disclosure/). May need more clarity on how affiliate links work and how they affect content.,Enhanced affiliate disclosure with clear plain-English explanation. Linked from relevant content pages.,UPDATE: Affiliate Disclosure Explained (enhance existing page),YES,NO,YES,LOW,2 - Compliance,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_trust_plan_proposed,Start with TL-001 (methodology) and TL-002 (editorial process) as highest-impact trust improvements
TL-004,Author / Team Transparency,Author shown as jasonsarah2026 in meta. No About Us author bio or team page with credentials.,"About Us page enhanced with team description, credentials (if any), and editorial responsibility.",UPDATE: About Us page enhancement,YES - only describe real team members and real credentials. Do not invent expertise.,YES - owner must confirm team information,YES,MEDIUM - must not fabricate credentials,1 - High Impact,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_trust_plan_proposed,Start with TL-001 (methodology) and TL-002 (editorial process) as highest-impact trust improvements
TL-005,Source Transparency,Content references general recommendations without citing specific sources or studies.,"Key claims in content backed by named sources (manufacturer data, veterinary guidelines, independent reviews).",PROPOSAL: Source citation standard for content pages,"YES - only cite real, verifiable sources",YES - sources must be real and verifiable,YES,MEDIUM,2 - Important for E-E-A-T,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_trust_plan_proposed,Start with TL-001 (methodology) and TL-002 (editorial process) as highest-impact trust improvements
TL-006,Product Evidence Status Labels,No visible evidence status labels on content. Users cannot see if products have been verified.,"Evidence status labels visible where relevant (Verified, Pending Review, Unverified).",DRAFT: Evidence Status Labels Explained,YES - only label as Verified when actually verified. Most products are currently unverified.,NO - describes the labelling system,YES,LOW,3 - Future Feature,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_trust_plan_proposed,Start with TL-001 (methodology) and TL-002 (editorial process) as highest-impact trust improvements
TL-007,Last Updated Dates,Posts show published dates. Modified dates exist in schema but may not be visible to users.,Visible Last Updated date on all content pages. Shows readers content is maintained.,THEME MODIFICATION: Show last updated date on posts/pages,YES - dates are real,NO,YES,LOW,2 - Easy Win,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_trust_plan_proposed,Start with TL-001 (methodology) and TL-002 (editorial process) as highest-impact trust improvements
TL-008,Contact/About Trust,Contact page exists (/contact-pet-hub-online/) with 5K content. About Us exists with 25K content.,"Ensure contact page has clear business identity. Consider adding UK business location (already in schema: 131 Calshot Road, Birmingham).",REVIEW: Contact and About page trust signals,YES,NO,YES,LOW,2,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_trust_plan_proposed,Start with TL-001 (methodology) and TL-002 (editorial process) as highest-impact trust improvements
TL-009,Expert Review Status,No expert review claimed. This is correct - no named expert reviewer exists.,"If expert review is desired, identify and engage a real pet nutrition expert. Until then, use Expert Review Pending label.",PATTERN: Expert Review Pending status where appropriate,YES - do NOT claim expert review without a real named reviewer,YES - only add when real expert is engaged,YES,"HIGH if faked, LOW if honest",4 - Future,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_trust_plan_proposed,Start with TL-001 (methodology) and TL-002 (editorial process) as highest-impact trust improvements
TL-010,Policy Visibility,"Privacy policy, terms, cookie policy, affiliate disclosure all exist.",Confirm all policies are linked from footer. Confirm they are up to date and accurate.,AUDIT: Policy page completeness check,YES,NO,NO,NONE,1 - Quick Check,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_trust_plan_proposed,Start with TL-001 (methodology) and TL-002 (editorial process) as highest-impact trust improvements
