resource_number,resource_type,url,domain,size_estimate,render_blocking,defer_candidate,must_keep,notes,generated_at,source_server,git_commit_hash,generated_by,data_source_label,approval_status,next_action
1,CSS,astra/assets/css/minified/main.min.css,pethubonline.com,~15KB,YES,AMBER - critical CSS needed for layout,YES,Astra theme main stylesheet. Required for page rendering. Could extract critical CSS for above-fold.,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT,phase_9g_waterfall_analysis,Evaluate Jetpack Carousel removal and CSS optimization
2,CSS,complianz-gdpr/assets/css/cookieblocker.min.css,pethubonline.com,~3KB,YES,AMBER - GDPR compliance dependency,YES,Complianz cookie blocker styles. Required for GDPR compliance. Small size.,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT,phase_9g_waterfall_analysis,Evaluate Jetpack Carousel removal and CSS optimization
3,CSS,Combined static CSS bundle,pethubonline.com/_static,~10KB,YES,AMBER,YES,WordPress.com concatenated CSS. Contains Astra + Complianz + other plugin styles combined.,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT,phase_9g_waterfall_analysis,Evaluate Jetpack Carousel removal and CSS optimization
4,JS,googletagmanager.com/gtag/js?id=GT-KV6JDR72,www.googletagmanager.com,~90KB,NO (async),NO - analytics required,YES,Google Tag Manager. Loaded async. Required for GA4 tracking.,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT,phase_9g_waterfall_analysis,Evaluate Jetpack Carousel removal and CSS optimization
5,JS,s0.wp.com/wp-content/js/bilmur.min.js,s0.wp.com,~5KB,NO,NO,YES (WP.com),WordPress.com analytics/metrics script. Part of managed hosting. Cannot remove.,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT,phase_9g_waterfall_analysis,Evaluate Jetpack Carousel removal and CSS optimization
6,JS,Astra frontend + Site Kit consent (combined),pethubonline.com/_static,~30KB,NO,"PARTIAL - Astra can defer, consent cannot",YES,Combined bundle: Astra theme JS + Google Site Kit consent mode. Consent mode required for GDPR.,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT,phase_9g_waterfall_analysis,Evaluate Jetpack Carousel removal and CSS optimization
7,JS,wp-consent-api/assets/js/wp-consent-api.min.js,pethubonline.com,~3KB,NO,NO - consent API required,YES,WP Consent API. Required for GDPR consent management. Small size.,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT,phase_9g_waterfall_analysis,Evaluate Jetpack Carousel removal and CSS optimization
8,JS,complianz-gdpr/cookiebanner/js/complianz.min.js,pethubonline.com,~25KB,NO,NO - GDPR compliance required,YES,Complianz GDPR cookie banner. Required for EU compliance. Cannot remove or defer.,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT,phase_9g_waterfall_analysis,Evaluate Jetpack Carousel removal and CSS optimization
9,JS,jetpack/_inc/build/carousel/jetpack-carousel.min.js,pethubonline.com,~15KB,NO,YES - GREEN candidate for removal,REVIEW - may not be needed if no galleries used,"Jetpack Carousel for image galleries. If no lightbox/carousel galleries are used on the site, this can be disabled entirely in Jetpack settings.",2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT,phase_9g_waterfall_analysis,Evaluate Jetpack Carousel removal and CSS optimization
10-30,IMG,21 images via i0.wp.com CDN,i0.wp.com,~505KB total,NO,PARTIAL - below-fold images already lazy loaded,YES,"All images served through WordPress.com Photon CDN. Automatic WebP conversion and resizing. 2 above-fold (eager load), 19 lazy loaded.",2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT,phase_9g_waterfall_analysis,Evaluate Jetpack Carousel removal and CSS optimization
