query_category,query,expected_pethub_mention,baseline_method,tracking_frequency,improvement_opportunity,generated_at,source_server,git_commit_hash,generated_by,data_source_label,approval_status,next_action
Brand,What is PetHubOnline?,Should appear with accurate description,Manual AI search check,Monthly,Strengthen Organization schema and About page,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,MANUAL QUERY DESIGN,phase_9g_ai_query_set_defined,Run baseline check manually for each query. Record results.
Brand,Is PetHubOnline a trustworthy pet supplies site?,Should appear with trust signals,Manual AI search check,Monthly,Add methodology and editorial pages,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,MANUAL QUERY DESIGN,phase_9g_ai_query_set_defined,Run baseline check manually for each query. Record results.
Brand,PetHubOnline reviews,Should appear with site description,Manual AI search check,Monthly,Ensure reviews are clearly editorial not product reviews,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,MANUAL QUERY DESIGN,phase_9g_ai_query_set_defined,Run baseline check manually for each query. Record results.
Category,best dog food UK,May not appear yet (Dog Food pages are drafts),Manual AI search check,Monthly,Publish Dog Food pages after owner approval,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,MANUAL QUERY DESIGN,phase_9g_ai_query_set_defined,Run baseline check manually for each query. Record results.
Category,best cat toys UK,Should appear - published content exists,Manual AI search check,Monthly,Strengthen FAQ and summary content,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,MANUAL QUERY DESIGN,phase_9g_ai_query_set_defined,Run baseline check manually for each query. Record results.
Category,best dog beds UK,Should appear - published content exists,Manual AI search check,Monthly,Add FAQ section to dog beds hub page,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,MANUAL QUERY DESIGN,phase_9g_ai_query_set_defined,Run baseline check manually for each query. Record results.
Category,best dog harness UK,Should appear - published content exists,Manual AI search check,Monthly,Strengthen collars/leashes hub page,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,MANUAL QUERY DESIGN,phase_9g_ai_query_set_defined,Run baseline check manually for each query. Record results.
Category,best pet supplies UK,Should appear - homepage targets this,Manual AI search check,Monthly,Improve homepage answer-readiness,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,MANUAL QUERY DESIGN,phase_9g_ai_query_set_defined,Run baseline check manually for each query. Record results.
Category,best dog grooming supplies UK,Should appear - published content exists,Manual AI search check,Monthly,Add FAQ and comparison content,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,MANUAL QUERY DESIGN,phase_9g_ai_query_set_defined,Run baseline check manually for each query. Record results.
Category,best cat beds UK,Should appear - published content exists,Manual AI search check,Monthly,Add FAQ section,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,MANUAL QUERY DESIGN,phase_9g_ai_query_set_defined,Run baseline check manually for each query. Record results.
Trust,how does PetHubOnline choose products?,Currently unlikely - no methodology page,Manual AI search check,Monthly,Create How We Research page,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,MANUAL QUERY DESIGN,phase_9g_ai_query_set_defined,Run baseline check manually for each query. Record results.
Trust,does PetHubOnline test pet products?,Should NOT claim testing unless real testing exists,Manual AI search check,Monthly,Be honest about review process in methodology page,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,MANUAL QUERY DESIGN,phase_9g_ai_query_set_defined,Run baseline check manually for each query. Record results.
Trust,PetHubOnline affiliate disclosure,Should appear - disclosure page exists,Manual AI search check,Monthly,Ensure disclosure page is comprehensive,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,MANUAL QUERY DESIGN,phase_9g_ai_query_set_defined,Run baseline check manually for each query. Record results.
AI Citation,sources for UK dog food buying advice,Currently unlikely,Manual AI search check,Monthly,Add source citations to content,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,MANUAL QUERY DESIGN,phase_9g_ai_query_set_defined,Run baseline check manually for each query. Record results.
AI Citation,UK pet supplies recommendation websites,Should appear as one of several sites,Manual AI search check,Monthly,Strengthen topical authority and brand entity,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,MANUAL QUERY DESIGN,phase_9g_ai_query_set_defined,Run baseline check manually for each query. Record results.
AI Citation,trusted pet product review sites UK,Currently unlikely - trust score too low,Manual AI search check,Monthly,Implement full trust lift plan,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,MANUAL QUERY DESIGN,phase_9g_ai_query_set_defined,Run baseline check manually for each query. Record results.
Competitor,pet supplies comparison UK,May appear alongside competitors,Manual AI search check,Monthly,Add comparison tables to category pages,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,MANUAL QUERY DESIGN,phase_9g_ai_query_set_defined,Run baseline check manually for each query. Record results.
Competitor,alternatives to Amazon for pet supplies UK,Currently unlikely,Manual AI search check,Monthly,Position as independent alternative to major retailers,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,MANUAL QUERY DESIGN,phase_9g_ai_query_set_defined,Run baseline check manually for each query. Record results.
