metric,value,period,data_source,field_type,notes,generated_at,source_server,git_commit_hash,generated_by,data_source_label,approval_status,next_action
Total Sessions,62,2026-04-29 to 2026-05-27 (28 days),LIVE GA4 DATA,MEASURED,~2.2 sessions per day,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE GA4 DATA + LIVE GSC DATA + EXTERNAL SEO SNAPSHOT,phase_9g_measurement_baseline,Use as before/after benchmark. Re-measure monthly.
Total Users,61,28 days,LIVE GA4 DATA,MEASURED,Nearly 1:1 with sessions (almost all single-visit users),2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE GA4 DATA + LIVE GSC DATA + EXTERNAL SEO SNAPSHOT,phase_9g_measurement_baseline,Use as before/after benchmark. Re-measure monthly.
Total Page Views,63,28 days,LIVE GA4 DATA,MEASURED,~1.02 pages per session,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE GA4 DATA + LIVE GSC DATA + EXTERNAL SEO SNAPSHOT,phase_9g_measurement_baseline,Use as before/after benchmark. Re-measure monthly.
Engagement Rate,17.74%,28 days,LIVE GA4 DATA,MEASURED,Very low - users not engaging with content,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE GA4 DATA + LIVE GSC DATA + EXTERNAL SEO SNAPSHOT,phase_9g_measurement_baseline,Use as before/after benchmark. Re-measure monthly.
Bounce Rate,82.26%,28 days,LIVE GA4 DATA,MEASURED,High bounce rate - most users leave immediately,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE GA4 DATA + LIVE GSC DATA + EXTERNAL SEO SNAPSHOT,phase_9g_measurement_baseline,Use as before/after benchmark. Re-measure monthly.
Avg Session Duration,17.31 seconds,28 days,LIVE GA4 DATA,MEASURED,Very short sessions,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE GA4 DATA + LIVE GSC DATA + EXTERNAL SEO SNAPSHOT,phase_9g_measurement_baseline,Use as before/after benchmark. Re-measure monthly.
Homepage Sessions,36,28 days,LIVE GA4 DATA,MEASURED,58% of all sessions land on homepage,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE GA4 DATA + LIVE GSC DATA + EXTERNAL SEO SNAPSHOT,phase_9g_measurement_baseline,Use as before/after benchmark. Re-measure monthly.
Homepage Engagement Rate,5.56%,28 days,LIVE GA4 DATA,MEASURED,Very low homepage engagement,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE GA4 DATA + LIVE GSC DATA + EXTERNAL SEO SNAPSHOT,phase_9g_measurement_baseline,Use as before/after benchmark. Re-measure monthly.
Top Content Page (GA4),/dog-training-behaviour/ (7 sessions),28 days,LIVE GA4 DATA,MEASURED,14.29% engagement rate,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE GA4 DATA + LIVE GSC DATA + EXTERNAL SEO SNAPSHOT,phase_9g_measurement_baseline,Use as before/after benchmark. Re-measure monthly.
Best Engagement Page,"/2026/04/23/top-dog-toys-every-pet-owner-needs-in-2026/ (75% engagement, 4 sessions)",28 days,LIVE GA4 DATA,MEASURED,Blog posts have significantly better engagement than hub pages,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE GA4 DATA + LIVE GSC DATA + EXTERNAL SEO SNAPSHOT,phase_9g_measurement_baseline,Use as before/after benchmark. Re-measure monthly.
GSC Total Clicks,3,28 days,LIVE GSC DATA,MEASURED,Extremely low click volume,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE GA4 DATA + LIVE GSC DATA + EXTERNAL SEO SNAPSHOT,phase_9g_measurement_baseline,Use as before/after benchmark. Re-measure monthly.
GSC Total Impressions,104,28 days,LIVE GSC DATA,MEASURED,Site appearing in search but not getting clicks,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE GA4 DATA + LIVE GSC DATA + EXTERNAL SEO SNAPSHOT,phase_9g_measurement_baseline,Use as before/after benchmark. Re-measure monthly.
GSC Average CTR,2.88%,28 days,LIVE GSC DATA,MEASURED,Low CTR suggests title/description optimization needed,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE GA4 DATA + LIVE GSC DATA + EXTERNAL SEO SNAPSHOT,phase_9g_measurement_baseline,Use as before/after benchmark. Re-measure monthly.
GSC Average Position,20.6,28 days,LIVE GSC DATA,MEASURED,Average position on page 2+ of results,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE GA4 DATA + LIVE GSC DATA + EXTERNAL SEO SNAPSHOT,phase_9g_measurement_baseline,Use as before/after benchmark. Re-measure monthly.
Best GSC Position,/dog-toys/ at position 3.5 (but 0 clicks),28 days,LIVE GSC DATA,MEASURED,Strong ranking but zero clicks - title/description may not be compelling,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE GA4 DATA + LIVE GSC DATA + EXTERNAL SEO SNAPSHOT,phase_9g_measurement_baseline,Use as before/after benchmark. Re-measure monthly.
