issue_id,issue,severity,affected_page,report_evidence,likely_cause,proposed_fix,risk_of_fix,staging_required,owner_approval_required,blocks_publishing,expected_business_impact,expected_seo_impact,acceptance_criteria,rollback_plan,generated_at,source_server,git_commit_hash,generated_by,data_source_label,approval_status,next_action
TSE-001,Sitemap missing 52 of 54 published posts,CRITICAL,post-sitemap.xml,LIVE AUDIT: Only 6 URLs in post-sitemap.xml. 52 published posts are not included despite being set to index/follow.,Rank Math sitemap configuration issue. Posts in Uncategorized category may be excluded or sitemap cache is stale.,1. Check Rank Math sitemap settings for category exclusions. 2. Flush sitemap cache. 3. Verify all 54 posts appear in regenerated sitemap.,LOW - sitemap regeneration is safe,NO,NO,YES - posts not in sitemap cannot be properly indexed,HIGH - 52 posts invisible to search engines via sitemap,HIGH - proper indexing of all content,All 54 published posts appear in post-sitemap.xml with correct URLs,Rank Math sitemap settings can be reverted,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_remediation_backlog,"Prioritize CRITICAL items (TSE-001, TSE-003) then MEDIUM items"
TSE-002,4 Dog Food draft URLs returning 404 but listed in sitemap,HIGH,"best-dog-food-uk, best-puppy-food-uk, dry-vs-wet-dog-food-uk, best-dry-dog-food-uk",LIVE AUDIT: These 4 URLs are in post-sitemap.xml but return 404. They are draft posts (not published).,Rank Math indexed these URLs before posts were set to draft status. Sitemap cache not refreshed.,Remove draft URLs from sitemap. Ensure only published posts appear. Flush sitemap cache after change.,LOW,NO,NO,NO,MEDIUM - 404s in sitemap waste crawl budget and signal poor site health to Google,MEDIUM - clean sitemap improves crawl efficiency,No 404 URLs remain in any sitemap file,Re-add URLs if posts are published later,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_remediation_backlog,"Prioritize CRITICAL items (TSE-001, TSE-003) then MEDIUM items"
TSE-003,52 of 54 posts in Uncategorized category,CRITICAL,All 52 Best X UK posts,LIVE AUDIT: WP REST API shows 52 posts assigned only to category Uncategorized (ID 1). 29 purpose-built categories have 0 posts.,Posts were created via API without assigning categories. Existing categories were created but never linked to posts.,"Assign each post to its correct category (Dog Toys, Dog Beds, Cat Toys, etc.). Remove from Uncategorized.",LOW - category reassignment does not change URLs or content,NO,YES - confirm category mapping before bulk reassignment,NO but affects SEO structure,HIGH - proper categorization improves site navigation and topical authority,HIGH - better taxonomy signals to search engines,All posts assigned to correct category. Uncategorized has 0 posts. Category pages show relevant posts.,Re-assign posts back to Uncategorized if needed,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_remediation_backlog,"Prioritize CRITICAL items (TSE-001, TSE-003) then MEDIUM items"
TSE-004,Render-blocking resources,MEDIUM,Homepage and all pages,EXTERNAL SEO SNAPSHOT: render-blocking resources flagged. LIVE AUDIT: 3 CSS files loaded in head.,"Astra theme main.css, Complianz cookie blocker CSS, and combined stylesheet all loaded render-blocking in head.",Defer non-critical CSS. Consider critical CSS inlining for above-fold content. Evaluate if Complianz CSS can be loaded async.,AMBER - CSS deferral can cause FOUC (flash of unstyled content),YES,YES,NO,MEDIUM - faster perceived load time,MEDIUM - improved FCP/LCP scores,FCP improves below 1.8s target without visual regression,Remove async/defer attributes to restore original loading,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_remediation_backlog,"Prioritize CRITICAL items (TSE-001, TSE-003) then MEDIUM items"
TSE-005,TTFB above ideal (1.379s vs 0.8s target),MEDIUM,Homepage (likely all pages),"EXTERNAL SEO SNAPSHOT: TTFB 1.379s, target below 0.8s",WordPress.com hosted infrastructure with Batcache. TTFB depends on cache hit/miss status. Server-side rendering overhead. Limited control on managed hosting.,1. Confirm Batcache is caching correctly (check cache HIT/STALE headers). 2. Reduce plugin overhead where possible. 3. Note: hosting-level TTFB improvements may require hosting tier change.,LOW for cache verification. HIGH for hosting changes.,NO for cache check. YES for any hosting changes.,YES for hosting changes,NO,MEDIUM - faster initial response improves user experience,MEDIUM - TTFB is a ranking signal,TTFB consistently below 1.0s on cache HIT,No rollback needed for cache verification,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_remediation_backlog,"Prioritize CRITICAL items (TSE-001, TSE-003) then MEDIUM items"
TSE-006,FCP slightly above target (1.976s vs 1.8s),LOW,Homepage,"EXTERNAL SEO SNAPSHOT: FCP 1.976s, target 1.8s",Render-blocking CSS + TTFB together push FCP above target. GTM script initialisation adds overhead.,Address render-blocking resources (TSE-004) and TTFB (TSE-005) first. FCP should improve as a result.,LOW - this is a downstream metric,NO,NO,NO,LOW - marginal improvement,LOW - only 0.176s above target,FCP below 1.8s after other fixes applied,N/A - dependent on other fixes,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_remediation_backlog,"Prioritize CRITICAL items (TSE-001, TSE-003) then MEDIUM items"
TSE-007,JavaScript weight (522KB),MEDIUM,All pages,"EXTERNAL SEO SNAPSHOT: ~522KB JS. LIVE AUDIT: 6 scripts identified including GTM, bilmur, Astra, Site Kit consent, Complianz GDPR, Jetpack carousel.",GTM/analytics scripts are largest contributors. Complianz GDPR consent is required for compliance. Jetpack carousel may be unnecessary on non-gallery pages.,1. Audit Jetpack carousel - disable if not used. 2. Review GTM tags for unused scripts. 3. Defer non-critical JS. Do NOT remove consent/GDPR scripts.,AMBER - must preserve consent/tracking functionality,YES,YES for GTM tag removal,NO,MEDIUM - faster page interaction,MEDIUM - reduced JS weight improves performance scores,JS weight below 400KB without breaking consent or analytics,Re-enable disabled scripts/plugins,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_remediation_backlog,"Prioritize CRITICAL items (TSE-001, TSE-003) then MEDIUM items"
TSE-008,Image size and potential distortion,LOW,Homepage,"EXTERNAL SEO SNAPSHOT: distorted images flagged. 505KB image weight. LIVE AUDIT: 21 images on homepage, all with explicit width/height attributes, served via wp.com CDN.",Some images may have CSS scaling that distorts aspect ratio. Large 1254x1254 category icons could be resized more efficiently.,1. Audit actual rendered vs intrinsic dimensions. 2. Add object-fit: contain/cover where needed. 3. Resize oversized images to match display dimensions.,LOW,NO - CSS fix only,NO for CSS. YES for image replacement.,NO,LOW - visual quality improvement,LOW - minor CWV improvement,No images with distorted aspect ratios. Image weight reduced.,Revert CSS changes,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_remediation_backlog,"Prioritize CRITICAL items (TSE-001, TSE-003) then MEDIUM items"
TSE-009,No ads.txt file,LOW,Site root,LIVE AUDIT: /ads.txt returns HTTP 404,No ads.txt file created. Only needed if running display advertising.,"NOT URGENT unless display advertising is planned. If needed later, create a minimal ads.txt file.",NONE,NO,NO,NO,NONE unless running ads,NONE,N/A - classify as not urgent,Delete ads.txt if created,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_remediation_backlog,"Prioritize CRITICAL items (TSE-001, TSE-003) then MEDIUM items"
TSE-010,nofollow/disallow directives review,LOW,robots.txt + meta robots,"LIVE AUDIT: robots.txt is standard WordPress (Disallow /wp-admin/, Allow admin-ajax.php). Homepage meta robots: follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large. All correct and intentional.",N/A - no issues found,No fix needed. Current directives are correct. Confirm periodically that no accidental noindex/nofollow is added to important pages.,NONE,NO,NO,NO,NONE,NONE - already correct,"Confirmed all public pages have index, follow. No accidental noindex on important content.",N/A,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_remediation_backlog,"Prioritize CRITICAL items (TSE-001, TSE-003) then MEDIUM items"
