command,answer,data_sources_used,risk_notes,approval_requirements,generated_at,source_server,git_commit_hash,generated_by,data_source_label,approval_status,next_action
summarize SEO report,"PetHubOnline scores 89/100 on SEO (above the 75% average). Strongest areas: server/security (100), mobile (100), advanced SEO (98). Weakest areas: credibility (45%), subject expertise (55%), content trust (58%). AI visibility is 65/100 - decent but improvable. Main technical issues: render-blocking resources, TTFB above target, JS weight, and a critical broken sitemap (52 of 54 posts missing from sitemap).",EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,"These are snapshot values, not live monitoring. Re-check monthly.",None for reporting,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER DATA,phase_9g_copilot_seo_mode,Co-Pilot can now answer all 10 SEO report commands accurately
what are the top SEO issues?,1. CRITICAL: Sitemap broken - 52 of 54 published posts missing from post-sitemap.xml. 2. CRITICAL: 52 posts stuck in Uncategorized category instead of their proper categories. 3. HIGH: 4 draft Dog Food URLs in sitemap returning 404. 4. MEDIUM: Render-blocking CSS resources. 5. MEDIUM: TTFB 1.379s (target <0.8s). 6. MEDIUM: JS weight 522KB (target <400KB). 7. LOW: No ads.txt (only needed for display ads).,LIVE SERVER AUDIT + EXTERNAL SEO SNAPSHOT,Items 1-3 can be fixed without risk. Items 4-6 need careful staging.,Owner approval for category reassignment and performance changes,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER DATA,phase_9g_copilot_seo_mode,Co-Pilot can now answer all 10 SEO report commands accurately
what is the AI visibility score?,"AI Visibility Score: 65/100 from the external SEO snapshot. This means PetHubOnline has decent AI visibility but significant room for improvement. The site passes all 5 AI content insight checks. Biggest opportunities: add FAQ sections (improves AI extraction), fix category taxonomy (improves topical authority), create methodology page (improves trust signals for AI systems).",EXTERNAL SEO SNAPSHOT,"Score is a point-in-time snapshot, not continuously measured",None for reporting. Content changes need owner approval.,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER DATA,phase_9g_copilot_seo_mode,Co-Pilot can now answer all 10 SEO report commands accurately
what should we fix first?,"Priority 1 (no approval needed, high impact): Fix sitemap - flush Rank Math cache so all 54 posts appear. Remove 4 draft 404 URLs. Priority 2 (needs approval): Reassign 52 posts from Uncategorized to correct categories. Priority 3 (quick wins): Rename OG image, fix trust icon alt text, disable Jetpack Carousel. Priority 4 (needs staging): CSS optimization, JS deferral, GTM tag review.",LIVE SERVER AUDIT + EXTERNAL SEO SNAPSHOT,Start with safe changes. Stage any performance changes.,Priority 1: NO. Priority 2: YES. Priority 3: NO. Priority 4: YES.,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER DATA,phase_9g_copilot_seo_mode,Co-Pilot can now answer all 10 SEO report commands accurately
what improves trust score?,"Content Trust is 58%. To improve: 1. Create a How We Research page explaining product selection methodology. 2. Create an Our Editorial Process page showing independence from affiliate relationships. 3. Enhance the About Us page with real team credentials. 4. Add source citations to key content claims. 5. Show Last Updated dates on content pages. 6. Add evidence status labels (Verified / Pending Review). IMPORTANT: All trust signals must be honest. Do not fabricate expert reviews, testing claims, or credentials.",EXTERNAL SEO SNAPSHOT,Trust improvements must be truthful. Fake E-E-A-T is worse than no E-E-A-T.,Owner approval for all new content pages,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER DATA,phase_9g_copilot_seo_mode,Co-Pilot can now answer all 10 SEO report commands accurately
what improves credibility?,Credibility is the weakest score at 45%. To improve: 1. Add source transparency - cite real sources for product recommendations. 2. Add author/team information with real credentials. 3. Create methodology documentation. 4. Add visible editorial independence statement. 5. Consider engaging a real pet nutrition expert for review (do NOT claim expert review without one). 6. Improve product depth - currently most content is broad rather than deeply researched.,EXTERNAL SEO SNAPSHOT,"Do not invent experts, testing results, or credentials",Owner approval for content and About page changes,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER DATA,phase_9g_copilot_seo_mode,Co-Pilot can now answer all 10 SEO report commands accurately
what are safe quick wins?,GREEN (no approval needed): 1. Fix sitemap (flush Rank Math cache). 2. Remove 404 draft URLs from sitemap. 3. Rename OG image file. 4. Update trust icon alt text. 5. Disable Jetpack Carousel (if no galleries used). 6. Add object-fit CSS for image containers. 7. Verify CDN image resize parameters. These can be done today without risk.,LIVE SERVER AUDIT,All classified GREEN - safe and reversible,None,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER DATA,phase_9g_copilot_seo_mode,Co-Pilot can now answer all 10 SEO report commands accurately
what needs owner approval?,"AMBER/RED items requiring approval: 1. Category reassignment (52 posts to correct categories). 2. CSS critical path optimization. 3. GTM tag review/removal. 4. New content pages (methodology, editorial process). 5. About Us page enhancement with team info. 6. FAQ sections on category pages. 7. Service+Offer schema removal from homepage. 8. Hosting tier evaluation for TTFB improvement.",LIVE SERVER AUDIT + EXTERNAL SEO SNAPSHOT,Content changes especially need approval. No live content changes without review.,YES for all items listed,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER DATA,phase_9g_copilot_seo_mode,Co-Pilot can now answer all 10 SEO report commands accurately
what can be done without publishing?,"Everything in Phase 9G can be done without publishing Dog Food drafts: fix sitemap, reassign categories, improve performance, add trust pages (as drafts), prepare FAQ content (as proposals), audit schema, capture baselines. Dog Food pages remain in draft. Pet Insurance remains RED. No affiliate links inserted. No social posting.",PHASE 9G SCOPE,Phase 9G is explicitly non-publishing,"Owner approval for content changes, not for technical fixes",2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER DATA,phase_9g_copilot_seo_mode,Co-Pilot can now answer all 10 SEO report commands accurately
what is the current performance baseline?,"Loading: 2.81s total. TTFB: 1.379s (above 0.8s target). FCP: 1.976s (above 1.8s target). LCP: 2.04s (PASSES - under 2.5s). CLS: 0.0000 (PASSES - perfect). Page size: 1.06MB. JS: 522KB. Images: 505KB. Requests: 25. Compression: Brotli active. Security: HTTPS + HSTS, score 100/100. Mobile: 100/100. The site is fast enough but has room for improvement on TTFB and FCP.",EXTERNAL SEO SNAPSHOT,"Performance values are snapshot, not continuous monitoring",None for reporting,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER DATA,phase_9g_copilot_seo_mode,Co-Pilot can now answer all 10 SEO report commands accurately
