item,status,finding,risk,recommendation,owner_approval_needed,generated_at,source_server,git_commit_hash,generated_by,data_source_label,approval_status,next_action
Homepage Organization Schema,PRESENT - PetStore + Organization,"Name: PetHubOnline. Address: 131 Calshot Road, Birmingham, B42 2BZ. Phone, email, logo, openingHours all present. priceRange set to GBP.",LOW - review openingHours 00:00-23:59 (is this accurate for online-only?),Consider whether 24/7 hours is appropriate for an online content site vs a physical store,YES - verify business details accuracy,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT,phase_9g_structured_data_audit,Fix sitemap (CRITICAL). Review Service+Offer schema. Add FAQPage schema when FAQs exist.
Homepage WebSite Schema,PRESENT,Name: PetHubOnline. alternateName: PetHub. SearchAction with search URL. Correct.,NONE,No changes needed,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT,phase_9g_structured_data_audit,Fix sitemap (CRITICAL). Review Service+Offer schema. Add FAQPage schema when FAQs exist.
Homepage WebPage Schema,PRESENT,datePublished and dateModified present. Correct.,NONE,No changes needed,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT,phase_9g_structured_data_audit,Fix sitemap (CRITICAL). Review Service+Offer schema. Add FAQPage schema when FAQs exist.
Homepage Service Schema,PRESENT - REVIEW NEEDED,"Service type: Pet Product Reviews & Recommendations. Has Offer with availability: InStock and priceCurrency: GBP. This is questionable - the site offers free content, not a paid service.",MEDIUM - Offer/InStock/price on free content could be misleading to search engines,Consider removing the Service + Offer schema or restructuring it. A content/review site is not selling a service.,YES,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT,phase_9g_structured_data_audit,Fix sitemap (CRITICAL). Review Service+Offer schema. Add FAQPage schema when FAQs exist.
BreadcrumbList Schema,CHECK NEEDED per page,Rank Math likely generates BreadcrumbList on inner pages. Need to verify on category and post pages.,LOW,Verify BreadcrumbList exists on all published pages via Rank Math settings,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT,phase_9g_structured_data_audit,Fix sitemap (CRITICAL). Review Service+Offer schema. Add FAQPage schema when FAQs exist.
Article Schema (Posts),LIKELY PRESENT via Rank Math,Rank Math auto-generates Article schema for posts. Need to verify output on individual post pages.,LOW,Spot-check 3-5 posts for correct Article schema,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT,phase_9g_structured_data_audit,Fix sitemap (CRITICAL). Review Service+Offer schema. Add FAQPage schema when FAQs exist.
FAQPage Schema,NOT PRESENT on published pages,"No published pages currently have FAQ sections, so no FAQPage schema exists.",OPPORTUNITY - adding FAQs + FAQPage schema would improve AI visibility,"Add FAQ sections to top category pages first, then add FAQPage schema",YES for content changes,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT,phase_9g_structured_data_audit,Fix sitemap (CRITICAL). Review Service+Offer schema. Add FAQPage schema when FAQs exist.
Product Schema,NOT PRESENT - CORRECT,"No Product, Review, AggregateRating, Offer, price, or stock schema on any content page. This is correct.",NONE - safety rule: do not add these without verified evidence,Do NOT add Product/Review/Rating schema until product evidence is verified,YES if ever added,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT,phase_9g_structured_data_audit,Fix sitemap (CRITICAL). Review Service+Offer schema. Add FAQPage schema when FAQs exist.
Canonical Tags,CORRECT,Homepage canonical: https://pethubonline.com/. www redirects to non-www. Consistent.,NONE,No changes needed. Verify canonicals on inner pages periodically.,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT,phase_9g_structured_data_audit,Fix sitemap (CRITICAL). Review Service+Offer schema. Add FAQPage schema when FAQs exist.
Meta Robots,CORRECT,"Homepage: follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large. Allows full indexing and rich results.",NONE,Periodically check that no important pages have accidental noindex,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT,phase_9g_structured_data_audit,Fix sitemap (CRITICAL). Review Service+Offer schema. Add FAQPage schema when FAQs exist.
