category,page_url,content_size_bytes,post_count_assigned,likely_search_intent,missing_faq,comparison_opportunity,trust_evidence_opportunity,internal_link_opportunity,schema_opportunity,affiliate_disclosure_status,product_evidence_required,risk_level,recommended_next_action,generated_at,source_server,git_commit_hash,generated_by,data_source_label,approval_status,next_action
Dog Supplies,/dog-supplies/,48K,1 (should be ~26),Informational + navigational,YES - add FAQ section,YES - comparison table for sub-categories,"YES - methodology note, source citations",STRONG - link to 26 sub-category posts,BreadcrumbList + FAQPage if FAQ added,Page exists but check sub-page links,YES if products are recommended,LOW,Reassign posts to category. Add FAQ. Strengthen internal links.,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT + WP REST API,phase_9g_category_opportunity_analysis,Priority 1: Fix category assignments. Priority 2: Add FAQs to top categories.
Dog Toys,/dog-toys/,121K,0 (should be 4),Informational + commercial,YES,YES - top toys comparison,YES,STRONG - 4 posts exist but not linked via category,BreadcrumbList + FAQPage,Check,YES for product links,LOW,Reassign 4 toy posts. Add FAQ.,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT + WP REST API,phase_9g_category_opportunity_analysis,Priority 1: Fix category assignments. Priority 2: Add FAQs to top categories.
Dog Beds,/dog-beds/,126K,0 (should be 4),Informational + commercial,YES,YES - bed types comparison,YES,STRONG - 4 posts exist,BreadcrumbList + FAQPage,Check,YES for product links,LOW,Reassign 4 bed posts. Add FAQ.,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT + WP REST API,phase_9g_category_opportunity_analysis,Priority 1: Fix category assignments. Priority 2: Add FAQs to top categories.
Dog Bowls / Feeding,/dog-bowls-feeding/,111K,0 (should be 4),Informational + commercial,YES,YES - bowl types comparison,YES,STRONG - 4 posts exist,BreadcrumbList + FAQPage,Check,YES for product links,LOW,Reassign 4 bowl posts. Add FAQ.,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT + WP REST API,phase_9g_category_opportunity_analysis,Priority 1: Fix category assignments. Priority 2: Add FAQs to top categories.
Dog Health,/dog-health-care/,119K,0 (should be 4),Informational (YMYL-adjacent),YES,NO - health topics need evidence not comparison tables,CRITICAL - health claims need sources,STRONG - 4 posts exist,BreadcrumbList + FAQPage,Check,YES - health product claims need evidence,MEDIUM - YMYL topic,Reassign posts. Add FAQ. Add source citations for health claims.,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT + WP REST API,phase_9g_category_opportunity_analysis,Priority 1: Fix category assignments. Priority 2: Add FAQs to top categories.
Dog Training,/dog-training-behaviour/,125K,0 (should be 4),Informational,YES,POSSIBLE - training method comparison,YES - training advice needs credible sources,STRONG - 4 posts exist,BreadcrumbList + FAQPage,Check,LOW for training content,LOW,Reassign 4 training posts. Add FAQ.,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT + WP REST API,phase_9g_category_opportunity_analysis,Priority 1: Fix category assignments. Priority 2: Add FAQs to top categories.
Dog Collars / Leashes,/dog-collars-leashes/,121K,0 (should be 4),Informational + commercial,YES,YES - collar types comparison,YES,STRONG - 4 posts exist,BreadcrumbList + FAQPage,Check,YES for product links,LOW,Reassign 4 collar posts. Add FAQ.,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT + WP REST API,phase_9g_category_opportunity_analysis,Priority 1: Fix category assignments. Priority 2: Add FAQs to top categories.
Dog Grooming,/dog-grooming/,123K,0 (should be 4),Informational + commercial,YES,YES - grooming tool comparison,YES,STRONG - 4 posts exist,BreadcrumbList + FAQPage,Check,YES for product links,LOW,Reassign 4 grooming posts. Add FAQ.,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT + WP REST API,phase_9g_category_opportunity_analysis,Priority 1: Fix category assignments. Priority 2: Add FAQs to top categories.
Cat Supplies,/cat-supplies/,47K,1 (should be ~26),Informational + navigational,YES,YES,YES,STRONG - link to 26 sub-category posts,BreadcrumbList + FAQPage,Check,YES if products recommended,LOW,Reassign posts. Add FAQ. Strengthen internal links.,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT + WP REST API,phase_9g_category_opportunity_analysis,Priority 1: Fix category assignments. Priority 2: Add FAQs to top categories.
Cat Toys,/cat-toys/,113K,0 (should be 4),Informational + commercial,YES,YES,YES,STRONG - 4 posts exist,BreadcrumbList + FAQPage,Check,YES for product links,LOW,Reassign 4 toy posts. Add FAQ.,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT + WP REST API,phase_9g_category_opportunity_analysis,Priority 1: Fix category assignments. Priority 2: Add FAQs to top categories.
Cat Beds,/cat-beds/,119K,0 (should be 4),Informational + commercial,YES,YES,YES,STRONG - 4 posts exist,BreadcrumbList + FAQPage,Check,YES for product links,LOW,Reassign 4 bed posts. Add FAQ.,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT + WP REST API,phase_9g_category_opportunity_analysis,Priority 1: Fix category assignments. Priority 2: Add FAQs to top categories.
Cat Grooming,/cat-grooming/,87K,0 (should be 4),Informational + commercial,YES,YES,YES,STRONG - 4 posts exist,BreadcrumbList + FAQPage,Check,YES for product links,LOW,Reassign 4 grooming posts. Add FAQ.,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT + WP REST API,phase_9g_category_opportunity_analysis,Priority 1: Fix category assignments. Priority 2: Add FAQs to top categories.
Cat Collars,/cat-collars/,90K,0 (should be 4),Informational + commercial,YES,YES,YES,STRONG - 4 posts exist,BreadcrumbList + FAQPage,Check,YES for product links,LOW,Reassign 4 collar posts. Add FAQ.,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT + WP REST API,phase_9g_category_opportunity_analysis,Priority 1: Fix category assignments. Priority 2: Add FAQs to top categories.
Cat Scratching Posts,/cat-scratching-posts/,85K,0 (should be 4),Informational + commercial,YES,YES,YES,STRONG - 4 posts exist,BreadcrumbList + FAQPage,Check,YES for product links,LOW,Reassign 4 scratching posts. Add FAQ.,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT + WP REST API,phase_9g_category_opportunity_analysis,Priority 1: Fix category assignments. Priority 2: Add FAQs to top categories.
Cat Litter,/cat-litter-trays/,85K,0 (should be 4),Informational + commercial,YES,YES,YES,STRONG - 4 posts exist,BreadcrumbList + FAQPage,Check,YES for product links,LOW,Reassign 4 litter posts. Add FAQ.,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE SERVER AUDIT + WP REST API,phase_9g_category_opportunity_analysis,Priority 1: Fix category assignments. Priority 2: Add FAQs to top categories.
