mission_id,mission_name,task_type,description,priority,status,owner_approval_needed,blocks_publishing,dependencies,generated_at,source_server,git_commit_hash,generated_by,data_source_label,approval_status,next_action
MC-9G-001,SEO Baseline Remediation + Trust Lift,PARENT MISSION,Master mission for Phase 9G: turn external SEO report into structured improvement plan,HIGH,IN PROGRESS,YES for content changes,NO - improvements happen independently of Dog Food publishing decision,"Phase 9E security closeout (DONE), Phase 9F evidence pack (DONE)",2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,PHASE 9G PLANNING,phase_9g_mission_control,Start with MC-9G-002 (sitemap) and MC-9G-004 (quick wins) immediately
MC-9G-002,Fix Sitemap (CRITICAL),TECHNICAL,Flush Rank Math sitemap cache. Ensure all 54 published posts appear. Remove 4 draft 404 URLs.,CRITICAL,PROPOSED,NO,YES - posts not in sitemap cannot be properly indexed,None,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,PHASE 9G PLANNING,phase_9g_mission_control,Start with MC-9G-002 (sitemap) and MC-9G-004 (quick wins) immediately
MC-9G-003,Fix Category Taxonomy (CRITICAL),TECHNICAL + CONTENT,"Reassign 52 posts from Uncategorized to correct categories. Map each post to Dog Toys, Dog Beds, Cat Toys, etc.",CRITICAL,PROPOSED,YES - confirm category mapping,NO but affects SEO structure,None,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,PHASE 9G PLANNING,phase_9g_mission_control,Start with MC-9G-002 (sitemap) and MC-9G-004 (quick wins) immediately
MC-9G-004,Performance Quick Wins,TECHNICAL,"Disable Jetpack Carousel, fix image alt text, rename OG image, add object-fit CSS, verify CDN params.",HIGH,PROPOSED,NO,NO,None,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,PHASE 9G PLANNING,phase_9g_mission_control,Start with MC-9G-002 (sitemap) and MC-9G-004 (quick wins) immediately
MC-9G-005,Performance Staging Fixes,TECHNICAL,"CSS critical path optimization, GTM tag review, JS deferral evaluation.",MEDIUM,PROPOSED,YES,NO,MC-9G-004,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,PHASE 9G PLANNING,phase_9g_mission_control,Start with MC-9G-002 (sitemap) and MC-9G-004 (quick wins) immediately
MC-9G-006,Trust & Credibility Content,CONTENT,"Draft How We Research, Our Editorial Process pages. Enhance About Us. Add methodology notes.",HIGH,PROPOSED,YES - all content needs approval,NO,None,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,PHASE 9G PLANNING,phase_9g_mission_control,Start with MC-9G-002 (sitemap) and MC-9G-004 (quick wins) immediately
MC-9G-007,FAQ Content Proposals,CONTENT,Propose FAQ sections for homepage and top 5 category pages. Include FAQPage schema proposals.,MEDIUM,PROPOSED,YES,NO,MC-9G-003 (categories fixed first),2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,PHASE 9G PLANNING,phase_9g_mission_control,Start with MC-9G-002 (sitemap) and MC-9G-004 (quick wins) immediately
MC-9G-008,Structured Data Cleanup,TECHNICAL,Review/remove Service+Offer schema. Verify BreadcrumbList on all pages. Add FAQPage when FAQs exist.,MEDIUM,PROPOSED,YES for schema changes,NO,MC-9G-007,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,PHASE 9G PLANNING,phase_9g_mission_control,Start with MC-9G-002 (sitemap) and MC-9G-004 (quick wins) immediately
MC-9G-009,AI Visibility Baseline,RESEARCH,Run baseline AI search queries from query set. Record PetHub mentions and competitor presence.,LOW,PROPOSED,NO,NO,None,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,PHASE 9G PLANNING,phase_9g_mission_control,Start with MC-9G-002 (sitemap) and MC-9G-004 (quick wins) immediately
MC-9G-010,Measurement & Monitoring,RESEARCH,Capture GSC/GA4 baselines monthly. Track before/after impact of fixes.,MEDIUM,ACTIVE (baseline captured),NO,NO,None,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,PHASE 9G PLANNING,phase_9g_mission_control,Start with MC-9G-002 (sitemap) and MC-9G-004 (quick wins) immediately
