post_id,title,cluster,outbound_internal_links,has_hub_backlink,link_targets,link_health,generated_at,source_server,git_commit,generated_by,data_source_label
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,1,yes,https://pethubonline.com/best-cat-toys-uk/,minimal,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,1,yes,https://pethubonline.com/best-cat-toys-uk/,minimal,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,1,yes,https://pethubonline.com/best-dog-harness/,minimal,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,1,yes,https://pethubonline.com/best-dog-harness/,minimal,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,1,yes,https://pethubonline.com/best-dog-harness/,minimal,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,1,yes,https://pethubonline.com/best-dog-harness/,minimal,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Toys,1,yes,https://pethubonline.com/best-cat-toys-uk/,minimal,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,1,yes,https://pethubonline.com/best-cat-toys-uk/,minimal,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,1,yes,https://pethubonline.com/best-cat-toys-uk/,minimal,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,1,yes,https://pethubonline.com/best-cat-toys-uk/,minimal,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,3,no,https://pethubonline.com/cat-litter-trays/; https://pethubonline.com/affiliate-disclosure/; https://pethubonline.com/affiliate-disclosure/,good,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,3,no,https://pethubonline.com/cat-litter-trays/; https://pethubonline.com/affiliate-disclosure/; https://pethubonline.com/affiliate-disclosure/,good,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,3,no,https://pethubonline.com/cat-litter-trays/; https://pethubonline.com/affiliate-disclosure/; https://pethubonline.com/affiliate-disclosure/,good,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,3,no,https://pethubonline.com/cat-litter-trays/; https://pethubonline.com/affiliate-disclosure/; https://pethubonline.com/affiliate-disclosure/,good,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,3,no,https://pethubonline.com/cat-scratching-posts/; https://pethubonline.com/affiliate-disclosure/; https://pethubonline.com/affiliate-disclosure/,good,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,3,no,https://pethubonline.com/cat-scratching-posts/; https://pethubonline.com/affiliate-disclosure/; https://pethubonline.com/affiliate-disclosure/,good,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
