post_id,title,cluster,word_count,heading_count,has_images,has_lists,has_structured_elements,quality_score,issues_found,action_required,generated_at,source_server,git_commit,generated_by,data_source_label
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,685,11,False,True,False,8/10,thin_content; no_images,improve,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,821,12,False,True,False,9/10,no_images,improve,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,557,7,False,True,False,8/10,thin_content; no_images,improve,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,695,10,False,True,False,8/10,thin_content; no_images,improve,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,648,9,False,True,False,8/10,thin_content; no_images,improve,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,1004,14,False,True,False,9/10,no_images,improve,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Toys,762,13,False,True,False,8/10,thin_content; no_images,improve,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,718,11,False,True,False,8/10,thin_content; no_images,improve,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,634,11,False,True,False,8/10,thin_content; no_images,improve,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,686,11,False,True,False,8/10,thin_content; no_images,improve,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,1209,15,True,True,False,10/10,none,maintain,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,1126,15,True,True,False,10/10,none,maintain,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,1123,15,True,True,False,10/10,none,maintain,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,1398,17,True,True,False,10/10,none,maintain,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,1109,15,True,True,False,10/10,none,maintain,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,1086,15,True,True,False,10/10,none,maintain,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,1144,15,True,True,False,10/10,none,maintain,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,1337,16,True,True,False,10/10,none,maintain,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,1141,14,True,True,False,10/10,none,maintain,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,1125,15,True,True,False,10/10,none,maintain,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,1140,14,True,True,False,10/10,none,maintain,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,1297,16,True,True,False,10/10,none,maintain,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,1168,15,True,True,False,10/10,none,maintain,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,1121,14,True,True,False,10/10,none,maintain,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,1087,14,True,True,False,10/10,none,maintain,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Supplies,1170,14,True,True,False,10/10,none,maintain,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,1134,14,True,True,False,10/10,none,maintain,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,1055,14,True,True,False,10/10,none,maintain,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,1113,14,True,True,False,10/10,none,maintain,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,1260,16,True,True,False,10/10,none,maintain,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,1161,15,True,True,False,10/10,none,maintain,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,1073,14,True,True,False,10/10,none,maintain,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,1090,14,True,True,False,10/10,none,maintain,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,1269,16,True,True,False,10/10,none,maintain,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,1179,16,True,True,False,10/10,none,maintain,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,1207,16,True,True,False,10/10,none,maintain,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
