product_name,brand,cluster,evidence_stage,source_count,confidence_score,freshness_check,availability_status,commercial_blocked,next_action,generated_at,source_server,git_commit,generated_by,data_source_label
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
,,Dog Food,candidate_identified,0,0.0,pending,unknown,yes,source_collection,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
Julius-K9 IDC Powerharness,Julius-K9,Dog Harnesses,not_started,0,0.0,not_started,unknown,yes,candidate_identification,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
Ruffwear Front Range,Ruffwear,Dog Harnesses,not_started,0,0.0,not_started,unknown,yes,candidate_identification,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
Halti No Pull Harness,Halti,Dog Harnesses,not_started,0,0.0,not_started,unknown,yes,candidate_identification,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
PerfectFit Modular Harness,PerfectFit,Dog Harnesses,not_started,0,0.0,not_started,unknown,yes,candidate_identification,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
Ancol Viva Padded Harness,Ancol,Dog Harnesses,not_started,0,0.0,not_started,unknown,yes,candidate_identification,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
Rabbitgoo No-Pull Harness,Rabbitgoo,Dog Harnesses,not_started,0,0.0,not_started,unknown,yes,candidate_identification,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
Kurgo Tru-Fit Smart Harness,Kurgo,Dog Harnesses,not_started,0,0.0,not_started,unknown,yes,candidate_identification,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
EzyDog Quick Fit Harness,EzyDog,Dog Harnesses,not_started,0,0.0,not_started,unknown,yes,candidate_identification,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
Hurtta Weekend Warrior,Hurtta,Dog Harnesses,not_started,0,0.0,not_started,unknown,yes,candidate_identification,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
Company of Animals HALTI,Company,Dog Harnesses,not_started,0,0.0,not_started,unknown,yes,candidate_identification,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
