post_id,title,cluster,improvement_type,detail,status,readiness_before,readiness_after,generated_at,source_server,git_commit,generated_by,data_source_label
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,thin_content_flag; summary_enhancement,"Word count: 685, Has FAQ: True, Has summary: False",improvement_identified,LOW,LOW,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,thin_content_flag; summary_enhancement,"Word count: 821, Has FAQ: True, Has summary: False",improvement_identified,LOW,LOW,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,thin_content_flag; summary_enhancement,"Word count: 557, Has FAQ: True, Has summary: False",improvement_identified,LOW,LOW,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,thin_content_flag; summary_enhancement,"Word count: 695, Has FAQ: True, Has summary: False",improvement_identified,LOW,LOW,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,thin_content_flag; summary_enhancement,"Word count: 648, Has FAQ: True, Has summary: False",improvement_identified,LOW,LOW,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,summary_enhancement,"Word count: 1004, Has FAQ: True, Has summary: False",improvement_identified,LOW,LOW,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Toys,thin_content_flag; summary_enhancement,"Word count: 762, Has FAQ: True, Has summary: False",improvement_identified,LOW,LOW,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,thin_content_flag; summary_enhancement,"Word count: 718, Has FAQ: True, Has summary: False",improvement_identified,LOW,LOW,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,thin_content_flag; summary_enhancement,"Word count: 634, Has FAQ: True, Has summary: False",improvement_identified,LOW,LOW,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,thin_content_flag; summary_enhancement,"Word count: 686, Has FAQ: True, Has summary: False",improvement_identified,LOW,LOW,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,monitoring,"Word count: 1209, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,monitoring,"Word count: 1126, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,monitoring,"Word count: 1123, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,monitoring,"Word count: 1398, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,monitoring,"Word count: 1109, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,monitoring,"Word count: 1086, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,monitoring,"Word count: 1144, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,monitoring,"Word count: 1337, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,monitoring,"Word count: 1141, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,monitoring,"Word count: 1125, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,monitoring,"Word count: 1140, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,monitoring,"Word count: 1297, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,monitoring,"Word count: 1168, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
