cluster,post_count,avg_word_count,avg_authority_score,avg_ai_readiness,avg_trust_density,faq_coverage_pct,source_coverage_pct,trust_link_coverage_pct,comparison_table_pct,glossary_count
Cat Supplies,10,1045.8,90.0,71.3,100.0,100.0,100.0,100.0,0.0,103
Cat Toys,14,1258.4,92.9,72.7,92.1,100.0,100.0,100.0,28.6,189
Dog Beds,9,1888.6,95.6,75.9,91.7,100.0,100.0,100.0,55.6,113
Dog Care,2,1077.5,95.0,76.5,85.0,100.0,100.0,100.0,50.0,32
Dog Food,7,2576.4,97.1,78.0,87.1,100.0,100.0,100.0,71.4,43
Dog Grooming,10,1271.3,91.0,73.4,97.5,100.0,100.0,100.0,10.0,124
Dog Harnesses,10,1229.6,93.0,74.1,96.5,100.0,100.0,100.0,30.0,134
Dog Health,7,1642.0,90.7,72.9,92.9,100.0,100.0,100.0,14.3,73
Dog Toys,42,1584.8,95.8,75.6,85.5,100.0,100.0,100.0,59.5,601
Dog Training,9,1615.2,92.2,73.0,90.0,100.0,100.0,100.0,22.2,93
Educational,6,1260.8,90.0,71.2,95.0,100.0,100.0,100.0,0.0,88
Indoor Cats,4,1685.8,90.0,71.0,88.8,100.0,100.0,100.0,0.0,38
Puppy Care,3,2263.3,93.3,72.0,90.0,100.0,100.0,100.0,33.3,30
Uncategorized,11,1041.5,91.4,73.3,90.5,100.0,100.0,100.0,18.2,122
