post_id,title,cluster,status,error_detail
8172,Our Research Standards,Uncategorized,skipped,already has trust links
8171,Why PetHub Online Exists,Uncategorized,skipped,already has trust links
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,skipped,already has trust links
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,skipped,already has trust links
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,skipped,already has trust links
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,skipped,already has trust links
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,skipped,already has trust links
7341,First Week with a New Puppy: A Day-by-Day Guide,Dog Care,skipped,already has trust links
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Dog Health,skipped,already has trust links
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Dog Care,skipped,already has trust links
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Dog Care,skipped,already has trust links
7337,Puppy Vaccination Schedule UK: What to Expect and When,Dog Health,skipped,already has trust links
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,skipped,already has trust links
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,skipped,already has trust links
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Dog Beds,skipped,already has trust links
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,skipped,already has trust links
7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,skipped,already has trust links
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Supplies,skipped,already has trust links
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Cat Supplies,skipped,already has trust links
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,skipped,already has trust links
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,skipped,already has trust links
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,skipped,already has trust links
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Dog Care,skipped,already has trust links
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Cat Supplies,skipped,already has trust links
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Uncategorized,skipped,already has trust links
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Uncategorized,skipped,already has trust links
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Uncategorized,skipped,already has trust links
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,skipped,already has trust links
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Uncategorized,skipped,already has trust links
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Uncategorized,skipped,already has trust links
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Uncategorized,skipped,already has trust links
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,skipped,already has trust links
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,Uncategorized,skipped,already has trust links
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Uncategorized,skipped,already has trust links
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Uncategorized,skipped,already has trust links
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Uncategorized,skipped,already has trust links
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Uncategorized,skipped,already has trust links
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Uncategorized,skipped,already has trust links
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Uncategorized,skipped,already has trust links
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Uncategorized,skipped,already has trust links
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Uncategorized,skipped,already has trust links
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Uncategorized,skipped,already has trust links
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,skipped,already has trust links
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Uncategorized,skipped,already has trust links
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Uncategorized,skipped,already has trust links
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Uncategorized,skipped,already has trust links
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,skipped,already has trust links
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Uncategorized,skipped,already has trust links
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Uncategorized,skipped,already has trust links
