id,title,cluster,internal_links_out,unique_clusters_linked,cross_cluster_links,orphan_risk,semantic_coverage_score
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,10,1,0,low,7.1
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,9,1,0,low,7.1
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,10,1,0,low,7.1
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,9,1,1,low,7.1
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,12,1,0,low,7.1
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,10,1,0,low,7.1
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,10,0,0,low,0.0
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Toys,9,0,0,low,0.0
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,Dog Toys,5,0,0,low,0.0
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,11,1,0,low,7.1
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,13,1,0,low,7.1
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,12,1,0,low,7.1
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Toys,9,1,0,low,7.1
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Toys,13,1,0,low,7.1
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,11,1,0,low,7.1
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Toys,6,2,1,low,14.3
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Toys,5,1,1,low,7.1
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Toys,4,0,0,low,0.0
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Dog Toys,5,0,0,low,0.0
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toys,4,0,0,low,0.0
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,9,2,3,low,14.3
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Beds,7,1,0,low,7.1
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Dog Health,10,2,2,low,14.3
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,9,0,0,low,0.0
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Indoor Cats,9,3,2,low,21.4
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Dog Training,10,4,3,low,28.6
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Dog Toys,10,1,0,low,7.1
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,9,1,0,low,7.1
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Dog Toys,8,2,1,low,14.3
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Puppy Care,8,2,2,low,14.3
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toys,10,1,0,low,7.1
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Toys,11,2,1,low,14.3
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Dog Toys,7,0,0,low,0.0
