id,title,cluster,about_guide,common_mistakes,suitability,what_to_expect,pros_cons,status
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,dog_toys,True,True,True,False,False,OK
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,dog_toys,True,True,True,False,False,OK
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,dog_toys,True,True,True,False,False,OK
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,uncategorized,True,True,True,False,False,OK
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,dog_toys,True,True,True,False,False,OK
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,dog_toys,True,True,True,False,False,OK
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,dog_toys,True,True,True,False,False,OK
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,dog_toys,True,True,True,False,False,OK
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,dog_toys,True,True,True,False,False,OK
5950,Dog Toy Durability Guide: What Lasts and What Does Not,dog_toys,True,True,True,False,False,OK
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",dog_toys,True,True,True,False,False,OK
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,dog_toys,True,True,True,False,False,OK
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,dog_toys,True,True,True,False,False,OK
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,dog_toys,True,True,True,False,False,OK
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,dog_toys,True,True,True,False,False,OK
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,dog_toys,True,True,True,False,False,OK
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,dog_toys,True,True,True,False,False,OK
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,dog_toys,True,True,True,False,False,OK
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,dog_toys,True,True,True,False,False,OK
5425,Dog Toys FAQ: Common Questions Answered,dog_toys,True,True,True,False,False,OK
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,dog_toys,True,True,True,False,False,OK
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,dog_toys,True,True,True,False,False,OK
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,dog_toys,True,True,True,False,False,OK
4790,DIY Dog Toys: Safe Homemade Options,dog_toys,True,True,True,False,False,OK
4789,Best Types of Dog Toys for Different Play Styles,dog_toys,True,True,True,False,False,OK
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,dog_toys,True,True,True,False,False,OK
4787,Dog Toy Safety: What Every Owner Needs to Know,dog_toys,True,True,True,False,False,OK
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,uncategorized,True,True,True,False,False,OK
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,uncategorized,True,True,True,False,False,OK
4571,Pet First Aid Basics: What Every Owner Should Know,uncategorized,True,True,True,False,False,OK
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,uncategorized,True,True,True,True,True,OK
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,uncategorized,True,True,True,True,True,OK
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,dog_toys,True,True,True,True,True,OK
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,dog_toys,True,True,True,True,False,OK
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,uncategorized,True,True,True,True,True,OK
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,uncategorized,True,True,True,True,True,OK
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,uncategorized,True,True,True,True,True,OK
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,uncategorized,True,True,True,True,True,OK
