id,title,suitability_added,pros_cons_added,routine_added,status
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,True,True,False,OK
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,True,True,False,OK
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,True,True,False,OK
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,True,True,False,OK
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,True,True,False,OK
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,True,True,False,OK
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,True,True,False,OK
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,True,True,False,OK
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,True,True,False,OK
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,True,True,False,OK
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,True,False,True,OK
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,True,False,True,OK
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,True,False,True,OK
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,True,False,True,OK
4089,Best Dog Health and Care UK (2026) – Complete Guide,True,False,True,OK
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,True,False,True,OK
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,True,False,True,OK
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,True,False,True,OK
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,True,False,True,OK
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,True,False,True,OK
4174,Best Cat Toys UK (2026) – Complete Guide,True,True,True,OK
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,True,True,False,OK
4188,Best Catnip Toys UK (2026) – What Works and Why,True,True,False,OK
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,True,True,True,OK
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,True,True,False,OK
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,True,True,False,OK
4314,Best Cat Litter Trays UK (2026) – Complete Guide,True,True,True,OK
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,True,True,True,OK
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,True,True,True,OK
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,True,True,False,OK
