id,title,cluster,word_count,faq_count,source_count,internal_links,status
7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,1734,5,4,3,draft
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,1574,5,4,3,draft
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Dog Beds,1535,5,4,4,draft
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,1183,5,4,3,draft
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,1165,5,5,4,draft
7337,Puppy Vaccination Schedule UK: What to Expect and When,Puppy Care,1086,5,5,3,draft
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Puppy Care,911,5,5,4,draft
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Puppy Care,986,5,4,3,draft
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Puppy Care,985,5,5,4,draft
7341,First Week with a New Puppy: A Day-by-Day Guide,Puppy Care,1068,5,5,4,draft
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,903,5,4,3,draft
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,897,5,5,3,draft
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,825,5,4,3,draft
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,863,5,5,3,draft
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,983,5,5,3,draft
