id,title,cluster,table_topic,rows,status
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,Cat supplies by life stage,5,SUCCESS
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Supplies,Cat toy types comparison,6,SUCCESS
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Supplies,Cat toy types comparison,6,SUCCESS
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Supplies,Cat toy types comparison,6,SUCCESS
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Supplies,Cat toy types comparison,6,SUCCESS
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,Cat bed styles comparison,5,SUCCESS
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,Cat bed styles comparison,5,SUCCESS
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,Cat bed styles comparison,5,SUCCESS
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,Indoor cat enrichment comparison,5,SUCCESS
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Supplies,Cat grooming tools comparison,5,SUCCESS
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,Cat grooming tools comparison,5,SUCCESS
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,Cat supplies by life stage,5,SUCCESS
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,Cat supplies by life stage,5,SUCCESS
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,Cat harness styles comparison,4,SUCCESS
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,Cat supplies by life stage,5,SUCCESS
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,Cat supplies by life stage,5,SUCCESS
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,Cat harness styles comparison,4,SUCCESS
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,Preventive health by age,5,SUCCESS
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,Dental care comparison,5,SUCCESS
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,Flea treatment comparison,5,SUCCESS
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,Joint supplement comparison,5,SUCCESS
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Training Supplies,Training leash comparison,5,SUCCESS
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Training Supplies,Training methods comparison,5,SUCCESS
4125,Best Dog Training Treats UK (2026) – Reward Guide,Training Supplies,Training treats comparison,5,SUCCESS
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,Harness types by activity,6,SUCCESS
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,No-pull harness comparison,5,SUCCESS
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,Dog toy types overview,5,SUCCESS
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Dog Supplies,Dog toy types overview,5,SUCCESS
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Supplies,Dog bed types comparison,5,SUCCESS
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Supplies,Dog bed types comparison,5,SUCCESS
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Supplies,Dog bed types comparison,5,SUCCESS
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Dog Supplies,Harness types by activity,6,SUCCESS
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,Grooming tools comparison,5,SUCCESS
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,Grooming tools comparison,5,SUCCESS
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Care,Grooming tools comparison,5,SUCCESS
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Care,Pet supplies overview,5,SUCCESS
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Supplies,Dog food format comparison,5,SUCCESS
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,Dog food format comparison,5,SUCCESS
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,Dog food format comparison,5,SUCCESS
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,Travel gear comparison,5,SUCCESS
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,Grooming tools comparison,5,SUCCESS
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care,Pet safety comparison,5,SUCCESS
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care,Cat supplies by life stage,5,SUCCESS
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Dog Care,Puppy essentials comparison,5,SUCCESS
