post_id,title,cluster,url_slug,citation_status,original_citability_score,structured_data_score,authority_signals_score,answer_format_score,uniqueness_score,enhanced_citability_score,word_count,confidence_level,has_structured_data,has_source_citations,has_qa_format,has_unique_data,notes,uk_ref_count,internal_link_count,source_section_present
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Dog Supplies,best-puppy-toys-uk,estimated,72,90,90,100,72.5,84.0,5801,high,yes,yes,yes,yes,19 FAQs; 16 H2s; 28 lists/tables; 48 links; comprehensive depth,5,21,yes
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Uncategorized,cat-scratching-behaviour-explained,estimated,61,90,100,93.0,84.5,82.6,5647,high,yes,yes,yes,yes,15 FAQs; 12 H2s; 25 lists/tables; 34 links; comprehensive depth,6,15,yes
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,best-dog-grooming-supplies-uk,estimated,62,90,94.8,99,78.5,82.4,4985,high,yes,yes,yes,yes,17 FAQs; 14 H2s; 25 lists/tables; 31 links; solid depth,5,12,yes
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,best-dog-water-bottles-uk,estimated,59,90,95,94,90.0,82.2,4440,high,yes,yes,yes,yes,15 FAQs; 14 H2s; 22 lists/tables; 39 links; solid depth,6,23,yes
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Uncategorized,dog-bed-sizing-guide,estimated,73,90,95,94.5,59.0,81.9,6675,high,yes,yes,yes,yes,21 FAQs; 13 H2s; 18 lists/tables; 32 links; comprehensive depth,6,11,yes
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,best-dog-beds-uk,estimated,65,90,85,95,82.5,81.6,4919,high,yes,yes,yes,yes,18 FAQs; 15 H2s; 24 lists/tables; 36 links; solid depth,5,16,yes
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food,best-dry-dog-food-uk,estimated,64,90,95,83,90.0,81.6,6237,high,yes,yes,yes,yes,13 FAQs; 15 H2s; 27 lists/tables; 36 links; comprehensive depth,6,17,yes
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Uncategorized,pet-feeding-guide,estimated,63,90,95,94.5,77.0,81.6,6822,high,yes,yes,yes,yes,11 FAQs; 13 H2s; 22 lists/tables; 37 links; comprehensive depth,5,12,yes
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Uncategorized,indoor-cat-care-guide,estimated,72,85,85,95,74.0,81.4,7076,high,yes,yes,yes,yes,16 FAQs; 14 H2s; 23 lists/tables; 44 links; comprehensive depth,6,20,yes
5425,Dog Toys FAQ: Common Questions Answered,Dog Supplies,dog-toys-faq,estimated,59,90,89.0,100,78.5,80.8,5247,high,yes,yes,yes,yes,19 FAQs; 16 H2s; 25 lists/tables; 30 links; comprehensive depth,5,18,yes
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,best-dog-health-care-uk,estimated,56,90,94.0,100,78.5,80.7,4590,high,yes,yes,yes,yes,14 FAQs; 14 H2s; 23 lists/tables; 30 links; solid depth,5,14,yes
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Uncategorized,pet-nutrition-terminology-guide,estimated,60,90,95,90.0,79.5,80.2,6273,high,yes,yes,yes,yes,12 FAQs; 10 H2s; 23 lists/tables; 36 links; comprehensive depth,7,12,yes
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Care,best-dog-nail-clippers-uk,estimated,53,90,94.8,94.5,83.5,79.5,4252,high,yes,yes,yes,yes,14 FAQs; 13 H2s; 21 lists/tables; 26 links; solid depth,5,11,yes
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,best-elevated-dog-bowls-uk,estimated,56,85,90,95,87.0,79.3,4173,high,yes,yes,yes,yes,14 FAQs; 14 H2s; 19 lists/tables; 35 links; solid depth,6,18,yes
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Uncategorized,orthopaedic-care-dogs,estimated,67,78.0,99.8,94,64.5,79.1,6939,high,yes,yes,yes,yes,24 FAQs; 14 H2s; 22 lists/tables; 31 links; comprehensive depth,6,15,yes
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Supplies,best-cat-toys-uk,estimated,54,90,96,93.0,79.5,79.1,4934,high,yes,yes,yes,yes,16 FAQs; 12 H2s; 20 lists/tables; 55 links; solid depth,5,36,yes
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,best-dog-flea-treatment-uk,estimated,52,90.0,89.0,99.5,81.0,79.0,4657,high,yes,yes,yes,yes,10 FAQs; 13 H2s; 22 lists/tables; 30 links; solid depth,6,14,yes
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,best-orthopaedic-dog-beds-uk,estimated,58,90,88.2,95,73.5,78.7,4497,high,yes,yes,yes,yes,15 FAQs; 14 H2s; 20 lists/tables; 29 links; solid depth,5,7,yes
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Food,best-puppy-food-uk,estimated,66,90,90,83.0,70.0,78.4,5702,high,yes,yes,yes,yes,18 FAQs; 12 H2s; 29 lists/tables; 36 links; comprehensive depth,6,17,yes
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,best-dog-joint-supplements-uk,estimated,52,90.0,89.0,95,83.0,78.4,4492,high,yes,yes,yes,yes,10 FAQs; 14 H2s; 22 lists/tables; 30 links; solid depth,5,14,yes
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Supplies,best-dog-training-behaviour-uk,estimated,55,90,95,94,72.0,78.3,4463,high,yes,yes,yes,yes,15 FAQs; 15 H2s; 25 lists/tables; 34 links; solid depth,5,12,yes
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Supplies,best-dog-toys-uk,estimated,53,82.5,95,100,77.5,78.3,4879,high,yes,yes,yes,yes,14 FAQs; 15 H2s; 22 lists/tables; 41 links; solid depth,6,15,yes
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,best-dog-dental-care-uk,estimated,57,90,85.8,92.5,77.5,78.1,4323,high,yes,yes,yes,yes,16 FAQs; 13 H2s; 21 lists/tables; 26 links; solid depth,5,10,yes
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,best-cooling-dog-beds-uk,estimated,57,90,79.2,100,73.5,78.0,4275,high,yes,yes,yes,yes,16 FAQs; 14 H2s; 22 lists/tables; 24 links; solid depth,5,7,yes
3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food,best-dog-food-uk,estimated,68,90,90,68,82.5,77.9,7603,high,yes,yes,yes,yes,11 FAQs; 16 H2s; 56 lists/tables; 39 links; comprehensive depth,6,14,yes
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Supplies,best-dog-bowls-feeding-uk,estimated,56,85,94.8,92,76.5,77.9,3974,high,yes,yes,yes,yes,15 FAQs; 14 H2s; 19 lists/tables; 31 links; solid depth,5,13,yes
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Supplies,best-puppy-training-guide-uk,estimated,52,90,95,91.5,78.5,77.9,4487,high,yes,yes,yes,yes,12 FAQs; 13 H2s; 30 lists/tables; 37 links; solid depth,5,15,yes
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,pet-toy-safety-guide,estimated,58,90,85.0,88.0,79.5,77.7,6286,high,yes,yes,yes,yes,14 FAQs; 12 H2s; 24 lists/tables; 25 links; comprehensive depth,8,10,yes
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Uncategorized,pet-grooming-glossary,estimated,60,85,81.8,91.5,80.0,77.6,5865,high,yes,yes,yes,yes,16 FAQs; 11 H2s; 19 lists/tables; 21 links; comprehensive depth,5,10,yes
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Care,best-dog-shampoo-uk,estimated,50,90,97.4,92,77.5,77.6,3929,high,yes,yes,yes,yes,15 FAQs; 14 H2s; 22 lists/tables; 28 links; solid depth,5,13,yes
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Supplies,best-dog-training-leads-uk,estimated,59,90,90.8,84.5,73.0,77.2,4539,high,yes,yes,yes,yes,17 FAQs; 13 H2s; 23 lists/tables; 26 links; solid depth,5,12,yes
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Supplies,best-dog-training-treats-uk,estimated,50,90.0,90,96.5,75.0,77.0,4109,high,yes,yes,yes,yes,10 FAQs; 13 H2s; 22 lists/tables; 33 links; solid depth,5,12,yes
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,best-cat-litter-trays-uk,estimated,56,90,90,82,81.0,76.9,4518,high,yes,yes,yes,yes,11 FAQs; 15 H2s; 24 lists/tables; 42 links; solid depth,6,18,yes
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Dog Beds,where-to-place-dog-bed,estimated,52,90,82.4,94.5,80.5,76.9,3837,high,yes,yes,yes,yes,15 FAQs; 13 H2s; 21 lists/tables; 28 links; solid depth,6,12,yes
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,dog-bed-materials-guide,estimated,59,90,78.2,87.5,78.5,76.7,4051,high,yes,yes,yes,yes,18 FAQs; 13 H2s; 25 lists/tables; 29 links; solid depth,5,15,yes
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Uncategorized,best-indoor-cat-toys,estimated,56,85,100,85.5,71.0,76.6,4931,high,yes,yes,yes,yes,14 FAQs; 9 H2s; 19 lists/tables; 33 links; solid depth,6,18,yes
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Supplies,best-dog-leads-uk,estimated,55,90,88.2,88.0,74.5,76.5,4188,high,yes,yes,yes,yes,15 FAQs; 12 H2s; 20 lists/tables; 29 links; solid depth,5,14,yes
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Supplies,best-indestructible-dog-toys-uk,estimated,53,85,85.8,95,78.5,76.5,4733,high,yes,yes,yes,yes,14 FAQs; 16 H2s; 25 lists/tables; 26 links; solid depth,5,9,yes
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Supplies,puppy-socialisation-guide,estimated,53,90,85,89.5,79.5,76.5,4533,high,yes,yes,yes,yes,11 FAQs; 13 H2s; 27 lists/tables; 48 links; solid depth,5,23,yes
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Uncategorized,pet-enrichment-guide,estimated,55,85,90.8,93.0,71.5,76.4,6013,high,yes,yes,yes,yes,14 FAQs; 12 H2s; 18 lists/tables; 26 links; comprehensive depth,6,8,yes
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,best-cat-id-tags-uk,estimated,46,82.0,100,88.5,90.0,76.4,3780,high,yes,yes,yes,yes,16 FAQs; 13 H2s; 19 lists/tables; 36 links; solid depth,6,17,yes
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,best-cat-litter-uk,estimated,48,84.0,100,92.0,77.0,76.2,4195,high,yes,yes,yes,yes,14 FAQs; 12 H2s; 20 lists/tables; 37 links; solid depth,5,18,yes
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,best-slow-feeder-dog-bowls-uk,estimated,54,85,91.6,92.5,71.0,76.1,4112,high,yes,yes,yes,yes,14 FAQs; 13 H2s; 22 lists/tables; 27 links; solid depth,6,12,yes
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,best-dog-brushes-uk,estimated,52,90,95.6,82.0,77.5,76.0,4086,high,yes,yes,yes,yes,14 FAQs; 12 H2s; 20 lists/tables; 27 links; solid depth,5,12,yes
