id,title,cluster,status,date_published,word_count,authority_score
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Toys,publish,2026-04-23T09:37:44,592,90.0
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,publish,2026-04-27T00:10:07,847,90.0
3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food,publish,2026-05-26T23:58:41,4331,100.0
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food,publish,2026-05-26T23:58:46,2990,100.0
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,publish,2026-05-26T23:58:50,1866,100.0
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Food,publish,2026-05-26T23:58:55,2173,100.0
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,publish,2026-05-27T00:29:15,1988,100.0
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,publish,2026-05-27T00:29:19,1573,90.0
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,publish,2026-05-27T00:29:22,1765,100.0
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Puppy Care,publish,2026-05-27T00:29:25,1701,90.0
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,publish,2026-05-27T00:36:47,1772,100.0
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,publish,2026-05-27T00:37:09,1223,90.0
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,publish,2026-05-27T00:37:30,1156,90.0
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,publish,2026-05-27T00:37:50,1293,90.0
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,publish,2026-05-27T00:41:06,1497,90.0
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,publish,2026-05-27T00:41:27,1205,90.0
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Harnesses,publish,2026-05-27T00:41:49,1187,90.0
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Dog Harnesses,publish,2026-05-27T00:42:10,1075,90.0
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,publish,2026-05-27T00:44:56,1281,90.0
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Grooming,publish,2026-05-27T00:45:17,1048,90.0
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Grooming,publish,2026-05-27T00:45:38,1008,90.0
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Grooming,publish,2026-05-27T00:45:58,999,90.0
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,publish,2026-05-27T00:50:38,1139,90.0
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,publish,2026-05-27T00:50:58,1044,90.0
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,publish,2026-05-27T00:51:17,1120,90.0
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,publish,2026-05-27T00:51:39,1083,90.0
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Training,publish,2026-05-27T00:54:27,1128,90.0
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Training,publish,2026-05-27T00:54:49,1033,90.0
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Training,publish,2026-05-27T00:55:08,1081,90.0
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Harnesses,publish,2026-05-27T00:55:27,1055,90.0
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Food,publish,2026-05-27T00:58:10,1245,90.0
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Uncategorized,publish,2026-05-27T00:58:30,1051,90.0
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Educational,publish,2026-05-27T00:58:52,1183,90.0
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Educational,publish,2026-05-27T00:59:10,1210,90.0
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,publish,2026-05-27T01:01:49,1470,90.0
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,publish,2026-05-27T01:02:09,1201,90.0
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,publish,2026-05-27T01:02:29,1296,90.0
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Indoor Cats,publish,2026-05-27T01:02:50,1299,90.0
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,publish,2026-05-27T01:05:20,1139,90.0
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,publish,2026-05-27T01:05:43,980,90.0
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,publish,2026-05-27T01:06:03,966,90.0
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,publish,2026-05-27T01:06:23,998,90.0
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,publish,2026-05-27T01:08:57,1204,90.0
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Dog Grooming,publish,2026-05-27T01:09:17,1027,90.0
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Dog Grooming,publish,2026-05-27T01:09:37,1042,90.0
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Dog Grooming,publish,2026-05-27T01:09:57,1077,90.0
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,publish,2026-05-27T01:12:33,1160,90.0
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Educational,publish,2026-05-27T01:12:54,1016,90.0
4272,Best Cat ID Tags UK (2026) – Identification Guide,Educational,publish,2026-05-27T01:13:14,1157,90.0
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,publish,2026-05-27T01:13:34,1031,90.0
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Toys,publish,2026-05-27T01:16:11,1206,90.0
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Toys,publish,2026-05-27T01:16:32,1030,90.0
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Uncategorized,publish,2026-05-27T01:16:52,979,90.0
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Uncategorized,publish,2026-05-27T01:17:14,996,90.0
