id,title,cluster,about_guide,common_mistakes,suitability,what_to_expect,routine,status
3836,Best Dog Food UK (2026) – Complete Buying Guide,Dog Food,True,True,True,True,False,OK
3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,Dog Food,True,True,True,False,False,OK
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,Dog Food,True,True,True,True,False,OK
3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,Dog Food,True,False,True,True,False,OK
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Puppy Care,True,True,True,True,False,OK
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Training,True,True,False,False,False,OK
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Training,True,True,False,False,False,OK
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Puppy Care,True,True,True,True,False,OK
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,True,True,False,False,False,OK
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,True,True,False,False,False,OK
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,True,True,False,False,False,OK
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Training,True,True,True,True,False,OK
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Training,False,False,False,True,False,OK
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,True,True,True,True,True,OK
4568,Dog Dental Health: A Practical Care Guide,Dog Health,True,True,True,True,False,OK
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Dog Care,True,True,True,True,False,OK
4791,How to Choose the Right Dog Training Treats,Dog Training,True,True,True,True,False,OK
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Training,True,True,True,True,False,OK
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,True,False,True,True,False,OK
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Dog Food,True,True,True,True,False,OK
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Dog Training,True,True,True,True,False,OK
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Dog Food,True,True,True,True,False,OK
5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,Dog Training,True,False,True,True,False,OK
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,True,True,True,False,False,OK
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Dog Health,True,True,True,True,False,OK
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Health,True,True,True,True,False,OK
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,True,True,True,True,False,OK
