id,title,cluster,has_about_guide,has_common_mistakes,has_what_to_expect,has_routine_checklist,has_practical_tips,has_safety_warning,has_beginner_guidance,humanization_intensity_score
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Uncategorized,0,0,0,0,0,0,0,0
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Uncategorized,0,0,0,0,0,0,0,0
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Uncategorized,0,0,0,0,0,0,0,0
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,0,0,0,0,1,0,0,10
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Uncategorized,0,0,0,0,0,0,0,0
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,0,0,0,0,0,1,0,10
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,0,0,0,0,0,0,0,0
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,0,0,0,0,0,0,1,15
6042,Enrichment by Breed Group: Tailoring Play to Your Dog&#8217;s Instincts,Uncategorized,0,0,0,0,0,0,0,0
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,0,1,0,0,0,0,0,20
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,0,0,0,0,0,0,0,0
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,0,0,0,0,0,0,0,0
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Uncategorized,0,0,0,0,0,0,0,0
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Uncategorized,0,0,0,0,0,0,0,0
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,0,0,0,0,0,0,0,0
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Uncategorized,0,0,0,0,0,0,1,15
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Uncategorized,0,1,0,0,0,0,0,20
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Uncategorized,0,0,0,0,0,0,1,15
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,0,0,0,0,0,0,0,0
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toys,0,0,0,0,0,0,0,0
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,0,0,0,0,0,0,1,15
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Health,0,0,0,0,0,0,0,0
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Educational,0,0,0,0,0,0,0,0
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,0,0,1,0,0,0,0,15
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Educational,0,1,0,0,0,0,0,20
5512,Dog Behaviour Explained: Understanding Your Dog&#8217;s Body Language and Actions,Educational,0,1,0,0,0,0,0,20
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Uncategorized,0,0,0,0,0,0,0,0
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,0,0,0,0,0,0,0,0
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Educational,1,1,0,0,0,0,0,35
