id,title,repetitive_starters_count,overused_phrases_count,template_transitions_count,generic_intro,generic_outro,repetitive_faq_pattern,ai_footprint_score
3836,Best Dog Food UK (2026) – Complete Buying Guide,19,4,3,NO,NO,NO,34
3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,3,2,3,NO,NO,NO,19
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,3,2,0,NO,NO,NO,13
3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,6,2,0,NO,NO,NO,22
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,4,3,0,NO,NO,NO,18
4174,Best Cat Toys UK (2026) – Complete Guide,17,3,0,NO,NO,NO,26
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,18,1,0,NO,NO,NO,22
4314,Best Cat Litter Trays UK (2026) – Complete Guide,0,0,1,NO,NO,NO,2
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,0,1,0,NO,NO,NO,2
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,0,0,0,NO,NO,NO,0
4570,First-Time Dog Owner Essentials: What You Need to Know,4,1,0,NO,NO,NO,14
4787,Dog Toy Safety: What Every Owner Needs to Know,0,1,0,NO,NO,NO,2
5032,Cat Toys FAQ: Common Questions Answered,0,1,1,YES,NO,NO,14
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,0,1,0,NO,NO,NO,2
5414,Cat Toy Types Explained: A Complete Glossary,0,3,0,NO,NO,NO,6
5462,Dog Training Terminology Explained: Key Concepts for New Owners,0,1,0,NO,NO,NO,2
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",0,3,2,NO,NO,NO,10
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,3,3,2,NO,NO,NO,19
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",0,2,2,NO,NO,NO,8
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",0,2,4,NO,NO,NO,12
