id,title,cluster,eeat_score,humanization_score,comparison_score,buyer_intent_score,citation_score,brand_authority_total
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,40,0,40,25,100,41.0
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,40,0,40,25,100,41.0
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,40,0,40,25,100,41.0
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorised,40,25,40,25,100,46.0
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,40,0,40,25,100,41.0
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,40,0,40,25,100,41.0
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,40,0,40,25,100,41.0
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Toys,40,0,40,25,100,41.0
6042,Enrichment by Breed Group: Tailoring Play to Your Dog&#8217;s Instincts,Dog Toys,40,0,40,25,100,41.0
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,60,25,70,55,100,62.0
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,40,0,40,25,100,41.0
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,40,0,40,25,100,41.0
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Toys,40,0,70,55,100,53.0
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Toys,40,0,40,25,100,41.0
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,40,0,70,55,100,53.0
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Toys,40,0,70,55,100,53.0
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Toys,60,25,70,55,100,62.0
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Toys,40,0,70,55,100,53.0
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Dog Toys,40,0,40,25,100,41.0
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toys,40,0,40,25,100,41.0
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,40,0,70,55,100,53.0
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Beds,40,0,40,25,100,41.0
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Dog Health,40,0,30,30,100,40.0
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,60,25,40,25,63,42.6
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Dog Health,60,25,40,25,100,50.0
5512,Dog Behaviour Explained: Understanding Your Dog&#8217;s Body Language and Actions,Dog Training,60,25,0,0,100,37.0
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Dog Toys,40,0,40,25,100,41.0
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,40,0,40,25,100,41.0
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Dog Toys,40,0,40,25,100,41.0
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Educational,40,0,40,25,100,41.0
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toys,40,0,40,25,100,41.0
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Toys,40,0,70,55,100,53.0
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Dog Toys,40,0,40,25,100,41.0
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Dog Toys,40,0,40,25,100,41.0
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,40,0,70,55,100,53.0
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Dog Food,40,0,40,25,100,41.0
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Dog Grooming,40,0,40,25,100,41.0
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Dog Training,40,0,40,25,100,41.0
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Dog Food,40,0,0,0,100,28.0
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Cat Toys,40,0,40,25,100,41.0
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,40,0,40,25,92,39.4
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,40,0,70,55,92,51.4
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,40,0,70,55,92,51.4
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,40,0,40,25,92,39.4
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,40,0,40,25,92,39.4
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,40,0,40,25,92,39.4
5419,Cat Care Basics: A Glossary for New Cat Owners,Educational,40,0,0,0,92,26.4
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,40,0,40,25,92,39.4
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,60,25,0,0,92,35.4
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,40,0,70,55,92,51.4
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Dog Toys,40,0,40,25,92,39.4
5414,Cat Toy Types Explained: A Complete Glossary,Cat Toys,40,0,0,0,92,26.4
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Cat Toys,40,0,70,55,92,51.4
5033,How to Choose the Right Cat Toy for Your Cat&#8217;s Personality,Cat Toys,40,0,40,25,92,39.4
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Dog Toys,40,0,40,25,92,39.4
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,40,0,70,55,92,51.4
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,40,0,40,25,92,39.4
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,40,0,40,25,92,39.4
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Training,40,0,70,50,100,52.0
4791,How to Choose the Right Dog Training Treats,Dog Training,40,0,70,55,92,51.4
4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,40,0,40,25,92,39.4
4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,60,25,40,25,92,48.4
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Uncategorised,40,0,70,55,92,51.4
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,40,25,40,45,92,48.4
4786,Where to Place Your Dog&#8217;s Bed: Location and Comfort Tips,Uncategorised,40,0,70,55,88,50.6
4785,How to Wash and Maintain Your Dog&#8217;s Bed,Uncategorised,40,0,40,25,92,39.4
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,40,0,70,55,92,51.4
4783,How to Choose the Right Dog Bed Size,Dog Beds,40,0,40,25,92,39.4
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Dog Care,40,0,0,0,92,26.4
4570,First-Time Dog Owner Essentials: What You Need to Know,Uncategorised,60,25,40,25,92,48.4
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Uncategorised,40,0,0,0,92,26.4
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Educational,40,25,40,25,92,44.4
4571,Pet First Aid Basics: What Every Owner Should Know,Uncategorised,40,0,40,25,92,39.4
4568,Dog Dental Health: A Practical Care Guide,Dog Health,25,0,70,55,100,50.0
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,25,0,40,25,92,36.4
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Grooming,25,0,0,0,92,23.4
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,25,0,40,25,92,36.4
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,25,0,0,0,92,23.4
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,25,0,40,25,92,36.4
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,25,0,0,0,92,23.4
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,45,25,0,0,92,32.4
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,25,0,70,55,92,48.4
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Toys,25,0,70,55,92,48.4
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,25,0,40,25,92,36.4
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,25,0,0,0,92,23.4
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,40,0,40,25,92,39.4
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,25,25,30,30,92,40.4
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Uncategorised,25,25,30,25,92,39.4
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,Cat Supplies,25,0,30,30,92,35.4
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,25,0,30,30,92,35.4
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Uncategorised,25,0,0,0,92,23.4
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Uncategorised,25,0,0,0,92,23.4
4293,Best Cat Trees UK (2026) – Climbing &#038; Scratching Towers,Cat Toys,25,0,0,0,92,23.4
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Toys,25,0,30,30,92,35.4
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,25,25,30,25,92,39.4
4272,Best Cat ID Tags UK (2026) – Identification Guide,Educational,25,25,30,25,92,39.4
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Educational,25,25,30,25,92,39.4
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,25,0,30,30,92,35.4
4251,Best Cat Shampoo UK (2026) – When &#038; How to Bathe,Dog Grooming,25,0,0,0,92,23.4
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Dog Grooming,25,0,0,0,92,23.4
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Dog Grooming,25,0,30,30,92,35.4
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,25,0,0,0,92,23.4
4223,Best Cat Window Perches UK (2026) – Sunning &#038; Bird Watching,Cat Supplies,25,25,30,25,92,39.4
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,25,0,0,0,92,23.4
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,25,0,30,30,92,35.4
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,25,0,30,30,92,35.4
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,25,0,0,0,92,23.4
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,25,0,0,0,92,23.4
4181,Best Interactive Cat Toys UK (2026) – Wand &#038; Puzzle Guide,Cat Toys,25,0,0,0,92,23.4
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,25,0,30,30,92,35.4
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Educational,25,25,30,25,92,39.4
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Educational,25,0,0,0,92,23.4
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Uncategorised,25,0,0,0,92,23.4
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Food,25,0,30,30,92,35.4
4139,Best Dog Training Leads UK (2026) – Long Lines &#038; Harnesses,Dog Harnesses,25,0,0,0,92,23.4
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Training,25,0,0,0,92,23.4
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Training,25,0,0,0,92,23.4
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Training,25,0,0,0,92,23.4
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,25,0,0,0,92,23.4
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,25,0,0,0,92,23.4
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,25,0,0,0,92,23.4
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,25,0,0,0,92,23.4
4078,Best Dog Nail Clippers UK (2026) – Trimming &#038; Grinding Guide,Dog Grooming,25,0,30,30,92,35.4
4071,Best Dog Shampoo UK (2026) – Ingredients &#038; Safety Guide,Dog Grooming,25,0,0,0,92,23.4
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Grooming,25,0,30,30,92,35.4
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,25,0,30,30,92,35.4
4049,Best Puppy Collars UK (2026) – First Collar &#038; Harness Guide,Dog Harnesses,25,25,60,55,92,51.4
4042,Best Dog Leads UK (2026) – Walking &#038; Training Lead Guide,Dog Harnesses,25,0,30,30,92,35.4
4034,Best No-Pull Dog Harnesses UK (2026) – Training &#038; Comfort Guide,Dog Harnesses,25,0,30,30,92,35.4
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,25,0,30,30,96,36.2
4018,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training Guide,Dog Beds,25,25,60,55,92,51.4
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,25,0,30,30,92,35.4
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,25,0,30,30,92,35.4
3996,Best Dog Beds UK (2026) – Complete Guide &#038; Honest Reviews,Dog Beds,40,0,70,55,100,53.0
3960,Best Puppy Toys UK (2026) – Teething &#038; First Toys Guide,Educational,40,25,60,55,92,54.4
3959,Best Interactive Dog Toys UK (2026) – Puzzle &#038; Enrichment Guide,Dog Toys,40,0,70,55,100,53.0
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,60,25,70,55,92,60.4
3956,Best Dog Toys UK (2026) – Complete Guide &#038; Honest Reviews,Dog Toys,60,25,70,55,100,62.0
3839,Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrition Guide,Dog Food,60,50,70,50,92,64.4
3838,Dry vs Wet Dog Food UK &#8211; An Honest Comparison Guide,Dog Food,40,0,40,25,92,39.4
3837,Best Dry Dog Food UK (2026) &#8211; Evidence-Based Guide,Dog Food,60,25,40,25,92,48.4
3836,Best Dog Food UK (2026) &#8211; Complete Buying Guide,Dog Food,40,0,100,80,92,62.4
696,Essential Cat Supplies for Cat Owners &#8211; Number 1 Must-Haves,Cat Supplies,40,0,0,0,96,27.2
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Toys,40,0,0,0,92,26.4
