cluster,post_count,glossary_coverage,entity_density,cross_link_count,intra_link_count,total_words,saturation_score
Cat Grooming,1,0,0.0,19,6,0,33.3
Cat Supplies,10,15,18.4,72,39,10458,83.3
Cat Toys,14,16,19.0,98,61,17618,79.4
Dog Beds,9,16,24.6,22,48,16997,86.4
Dog Care,2,0,13.0,0,0,2155,28.9
Dog Food,7,16,32.0,12,11,18035,80.6
Dog Grooming,10,0,20.7,18,17,12713,56.7
Dog Harnesses,10,0,18.9,0,0,12296,33.3
Dog Health,7,17,26.1,10,4,11494,73.7
Dog Supplies,1,0,0.0,112,70,0,33.3
Dog Toys,42,0,22.5,81,140,66560,66.7
Dog Training,9,0,25.2,16,28,14537,65.9
Educational,6,0,19.0,0,0,7565,33.3
Glossary,1,0,0.0,12,4,0,33.3
Indoor Cats,4,18,23.0,22,1,6743,100.0
Other,1,0,0.0,19,3,0,33.3
Pet Safety,1,0,0.0,4,0,0,26.7
Puppy Care,3,17,31.7,43,7,6790,100.0
Uncategorized,11,0,16.5,0,0,11456,33.3
