post_id,title,cluster,original_words,final_words,status,detail
10028,10 Best Waterproof Dog Coats for Wet Walks in 2026,Pet Care,2664,2902,expanded,+238 words
12823,Interactive Cat Toys UK: Best Types for Solo and Multi-Cat Play (2026),Cat Toys,1206,2124,expanded,+918 words
12820,Dog Coats UK: Weather Protection Guide by Breed Size (2026),Dog Supplies,1245,2100,expanded,+855 words
12817,Dog Travel Accessories UK: Car Safety and Comfort Essentials (2026),Dog Supplies,1087,2051,expanded,+964 words
12816,Catios UK: Outdoor Cat Enclosures Guide and Comparison (2026),Indoor Cats,1186,2019,expanded,+833 words
12813,Cat Puzzle Feeders UK: Best Options for Mental Stimulation (2026),Cat Toys,1048,2060,expanded,+1012 words
12767,Interactive Cat Toys for Solo Play UK: Keep Cats Busy,Cat Toys,612,1769,expanded,+1157 words
12766,Cat Puzzle Feeders UK: Guide to Food Puzzles for Cats,Cat Toys,646,1677,expanded,+1031 words
12765,DIY Cat Toys from Household Items: Easy Projects,Cat Toys,644,1665,expanded,+1021 words
12764,Dog Feeding Station Setup: Complete Guide for UK Owners,Dog Supplies,680,1750,expanded,+1070 words
12763,Dog Travel Accessories UK: Essential Gear for UK Trips,Dog Supplies,645,1629,expanded,+984 words
12762,Dog Coats and Jackets UK: Choosing the Right One,Dog Supplies,594,1725,expanded,+1131 words
12761,First-Time Pet Owner UK: Complete Beginner Guide,Pet Care,725,1627,expanded,+902 words
12760,Seasonal Pet Care Calendar UK: Monthly Guide for Pet Owners,Pet Care,631,1489,expanded,+858 words
12759,Multi-Pet Household Management: UK Guide for Harmony,Pet Care,663,1615,expanded,+952 words
12758,Indoor Cat Exercise: Daily Routines to Keep UK Cats Active,Indoor Cats,668,1700,expanded,+1032 words
12757,DIY Catio Plans: How to Build a Cat Enclosure in the UK,Indoor Cats,593,1698,expanded,+1105 words
12756,Catio Kits UK: Complete Guide to Outdoor Cat Enclosures,Indoor Cats,619,1648,expanded,+1029 words
