post_id,title,cluster,word_count,has_quick_answer,has_faq,has_sources,internal_links,uk_refs,has_comparison,gate_status,fail_reasons
12823,Interactive Cat Toys UK: Best Types for Solo and Multi-Cat Play (2026),Cat Toys,1202,no,yes,yes,0,4,yes,FAIL,Word count 1202 < 1500; Missing Quick Answer block; Internal links 0 < 3
12820,Dog Coats UK: Weather Protection Guide by Breed Size (2026),Dog Supplies,1239,no,yes,no,0,3,yes,FAIL,Word count 1239 < 2000; Missing Quick Answer block; Missing Sources/References; Internal links 0 < 3
12817,Dog Travel Accessories UK: Car Safety and Comfort Essentials (2026),Dog Supplies,1083,no,yes,no,0,1,yes,FAIL,Word count 1083 < 1500; Missing Quick Answer block; Missing Sources/References; Internal links 0 < 3
12816,Catios UK: Outdoor Cat Enclosures Guide and Comparison (2026),Indoor Cats,1169,no,yes,no,0,2,yes,FAIL,Word count 1169 < 2000; Missing Quick Answer block; Missing Sources/References; Internal links 0 < 3
12813,Cat Puzzle Feeders UK: Best Options for Mental Stimulation (2026),Cat Toys,1044,no,yes,no,0,4,yes,FAIL,Word count 1044 < 1500; Missing Quick Answer block; Missing Sources/References; Internal links 0 < 3
12767,Interactive Cat Toys for Solo Play UK: Keep Cats Busy,Cat Toys,612,no,yes,no,0,0,yes,FAIL,Word count 612 < 1500; Missing Quick Answer block; Missing Sources/References; Internal links 0 < 3; No UK authority references
12766,Cat Puzzle Feeders UK: Guide to Food Puzzles for Cats,Cat Toys,646,no,yes,no,0,0,yes,FAIL,Word count 646 < 2000; Missing Quick Answer block; Missing Sources/References; Internal links 0 < 3; No UK authority references
12765,DIY Cat Toys from Household Items: Easy Projects,Cat Toys,644,no,yes,yes,0,0,no,FAIL,Word count 644 < 1500; Missing Quick Answer block; Internal links 0 < 3; No UK authority references; Missing comparison table
12764,Dog Feeding Station Setup: Complete Guide for UK Owners,Dog Supplies,680,no,yes,no,0,0,yes,FAIL,Word count 680 < 2000; Missing Quick Answer block; Missing Sources/References; Internal links 0 < 3; No UK authority references
12763,Dog Travel Accessories UK: Essential Gear for UK Trips,Dog Supplies,645,no,yes,no,0,0,yes,FAIL,Word count 645 < 1500; Missing Quick Answer block; Missing Sources/References; Internal links 0 < 3; No UK authority references
12762,Dog Coats and Jackets UK: Choosing the Right One,Dog Supplies,594,no,yes,no,0,0,yes,FAIL,Word count 594 < 1500; Missing Quick Answer block; Missing Sources/References; Internal links 0 < 3; No UK authority references
12761,First-Time Pet Owner UK: Complete Beginner Guide,Pet Care,725,no,yes,no,0,6,yes,FAIL,Word count 725 < 2000; Missing Quick Answer block; Missing Sources/References; Internal links 0 < 3
12760,Seasonal Pet Care Calendar UK: Monthly Guide for Pet Owners,Pet Care,631,no,yes,no,0,0,yes,FAIL,Word count 631 < 2000; Missing Quick Answer block; Missing Sources/References; Internal links 0 < 3; No UK authority references
12759,Multi-Pet Household Management: UK Guide for Harmony,Pet Care,663,no,yes,yes,0,0,yes,FAIL,Word count 663 < 2000; Missing Quick Answer block; Internal links 0 < 3; No UK authority references
12758,Indoor Cat Exercise: Daily Routines to Keep UK Cats Active,Indoor Cats,668,no,yes,no,0,0,yes,FAIL,Word count 668 < 1500; Missing Quick Answer block; Missing Sources/References; Internal links 0 < 3; No UK authority references
12757,DIY Catio Plans: How to Build a Cat Enclosure in the UK,Indoor Cats,593,no,yes,no,0,0,yes,FAIL,Word count 593 < 2000; Missing Quick Answer block; Missing Sources/References; Internal links 0 < 3; No UK authority references
12756,Catio Kits UK: Complete Guide to Outdoor Cat Enclosures,Indoor Cats,619,no,yes,no,0,1,yes,FAIL,Word count 619 < 2000; Missing Quick Answer block; Missing Sources/References; Internal links 0 < 3
10028,10 Best Waterproof Dog Coats for Wet Walks in 2026,Pet Care,2664,no,yes,no,0,0,yes,FAIL,Missing Quick Answer block; Missing Sources/References; Internal links 0 < 3; No UK authority references
