cluster,total_posts,posts_with_table,coverage_pct,avg_table_rows,avg_usefulness_score,unique_topics
Cat Supplies,10,17,170.0,5.1,24.0,6
Cat Toys,14,4,28.6,0,28.9,0
Dog Beds,9,5,55.6,0,50.0,0
Dog Care,2,1,50.0,5.0,20.0,3
Dog Food,7,5,71.4,0,45.7,0
Dog Grooming,10,1,10.0,0,16.0,0
Dog Harnesses,10,3,30.0,5.5,30.0,2
Dog Health,7,1,14.3,5.0,22.5,4
Dog Supplies,10,10,100.0,5.1,0,5
Dog Toys,42,25,59.5,0,48.5,0
Dog Training,9,2,22.2,0,31.2,0
Educational,6,0,0.0,0,28.8,0
Indoor Cats,4,0,0.0,0,0,0
Pet Care,2,2,100.0,5.0,0,2
Puppy Care,3,1,33.3,0,0.0,0
Training Supplies,3,3,100.0,5.0,0,3
Uncategorized,11,2,18.2,0,0,0
