cluster,posts,trust_block_pct,uk_refs_pct,sources_pct,faq_pct,quick_answer_pct,comparison_pct,glossary_pct,overall_trust_score
Cat Supplies,10,100.0,100.0,100.0,100.0,100.0,100.0,20.0,88.6
Cat Toys,14,100.0,100.0,100.0,100.0,100.0,100.0,42.9,91.8
Dog Beds,9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Dog Care,2,100.0,100.0,100.0,100.0,100.0,100.0,0.0,85.7
Dog Food,7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Dog Grooming,10,100.0,100.0,100.0,100.0,100.0,100.0,30.0,90.0
Dog Harnesses,10,100.0,100.0,100.0,100.0,100.0,100.0,30.0,90.0
Dog Health,7,100.0,100.0,100.0,100.0,100.0,100.0,42.9,91.8
Dog Toys,42,100.0,100.0,100.0,100.0,100.0,100.0,21.4,88.8
Dog Training,9,100.0,100.0,100.0,100.0,100.0,100.0,44.4,92.1
Educational,6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Indoor Cats,4,100.0,100.0,100.0,100.0,100.0,100.0,25.0,89.3
Puppy Care,3,100.0,100.0,100.0,100.0,100.0,100.0,33.3,90.5
Uncategorized,11,100.0,100.0,100.0,100.0,100.0,100.0,9.1,87.0
Unknown,24,0.0,100.0,0.0,0.0,100.0,100.0,70.8,53.0
