id,title,cluster,about_guide,common_mistakes,suitability,what_to_expect,routine,pros_cons,status
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,True,True,True,False,False,False,UPDATED
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,True,True,False,False,False,False,UPDATED
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,False,False,False,False,False,False,ALREADY_COMPLETE
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Harnesses,False,False,False,False,False,False,ALREADY_COMPLETE
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Dog Harnesses,False,False,False,False,False,False,ALREADY_COMPLETE
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Harnesses,True,True,True,False,False,False,UPDATED
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,True,True,True,True,False,False,UPDATED
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,True,True,True,True,False,True,UPDATED
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,True,True,True,True,False,True,UPDATED
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,True,True,True,True,False,False,UPDATED
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,True,True,True,True,False,False,UPDATED
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Dog Harnesses,True,True,True,False,False,False,UPDATED
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Dog Harnesses,True,True,True,False,False,False,UPDATED
4272,Best Cat ID Tags UK (2026) – Identification Guide,Dog Harnesses,True,True,True,False,False,False,UPDATED
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Dog Harnesses,True,True,True,True,False,False,UPDATED
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Toys,True,True,True,True,False,True,UPDATED
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Toys,True,True,False,False,False,False,UPDATED
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,True,True,False,False,False,False,UPDATED
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,True,True,False,False,False,False,UPDATED
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,True,True,True,False,False,False,UPDATED
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,True,True,False,False,False,False,UPDATED
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,True,True,False,False,False,False,UPDATED
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,True,True,True,False,False,False,UPDATED
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,True,True,True,False,True,False,UPDATED
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,True,True,True,False,False,False,UPDATED
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Toys,True,True,True,False,False,False,UPDATED
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,True,True,True,True,False,False,UPDATED
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,True,True,True,True,False,False,UPDATED
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,True,True,True,False,False,False,UPDATED
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,True,True,True,False,False,True,UPDATED
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,True,True,True,False,False,False,UPDATED
4783,How to Choose the Right Dog Bed Size,Dog Beds,True,True,True,False,False,False,UPDATED
4785,How to Wash and Maintain Your Dog's Bed,Dog Beds,True,True,True,False,True,False,UPDATED
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Dog Beds,True,True,True,False,False,False,UPDATED
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,True,True,True,False,False,False,UPDATED
