cluster,posts_scored,avg_eeat_depth,avg_humanization,avg_conversion,avg_comparison,avg_trust,avg_citation,avg_practical,composite_score
Dog Toys,3,24.0,76.7,30.0,93.3,65.0,73.3,60.0,60.3
Dog Food,3,36.0,80.0,60.0,100.0,55.0,73.3,90.0,70.6
Dog Health,3,28.0,71.7,35.0,78.3,55.0,71.7,68.3,58.3
Dog Training,3,28.0,65.0,40.0,71.7,65.0,68.3,51.7,55.7
Cat Toys,3,32.0,70.0,50.0,100.0,55.0,80.0,75.0,66.0
Cat Supplies,3,28.0,78.3,48.3,68.3,60.0,66.7,58.3,58.3
Dog Grooming,3,20.0,50.0,30.0,30.0,65.0,73.3,46.7,45.0
Dog Harnesses,3,16.0,63.3,30.0,71.7,65.0,70.0,53.3,52.8
Dog Beds,3,24.0,63.3,35.0,51.7,50.0,70.0,51.7,49.4
Puppy Care,3,32.0,65.0,40.0,78.3,65.0,73.3,68.3,60.3
OVERALL,30,26.8,68.3,39.8,74.3,60.0,72.0,62.3,57.7
