id,title,cluster,glossary_moat,trust_moat,comparison_moat,practical_moat,educational_moat,citation_moat,structural_moat,authority_moat_v2
3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,Dog Food,84,71,95,92,100,85,100,89.6
3836,Best Dog Food UK (2026) – Complete Buying Guide,Dog Food,92,71,95,72,100,85,100,87.9
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,Dog Food,80,63,100,81,100,80,100,86.3
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,100,80,90,56,100,80,95,85.9
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,92,72,74,75,100,80,100,84.7
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Uncategorized,80,75,82,62,100,85,100,83.4
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,98,80,80,69,90,60,100,82.4
3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,Dog Food,76,59,95,72,100,75,100,82.4
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Uncategorized,100,90,49,62,100,80,95,82.3
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Uncategorized,68,77,73,78,100,75,100,81.6
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Uncategorized,72,79,80,59,100,80,100,81.4
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Uncategorized,60,90,74,61,100,80,100,80.7
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Training Supplies,100,67,75,55,90,75,100,80.3
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Uncategorized,100,64,90,46,90,75,95,80.0
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,84,74,90,47,90,80,92,79.6
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,92,80,49,55,100,81,100,79.6
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,72,64,54,92,100,75,100,79.6
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,88,76,54,66,100,71,100,79.3
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,72,66,95,87,90,44,100,79.1
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,72,71,56,79,100,75,100,79.0
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,72,68,95,55,90,71,100,78.7
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Care,98,59,81,60,90,63,100,78.7
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Uncategorized,100,72,74,44,90,75,95,78.6
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Uncategorized,88,67,79,46,90,80,100,78.6
7337,Puppy Vaccination Schedule UK: What to Expect and When,Dog Health,100,54,72,63,90,75,95,78.4
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,92,74,78,67,90,48,100,78.4
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Uncategorized,64,77,52,80,100,75,100,78.3
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Uncategorized,100,73,75,38,90,75,95,78.0
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,100,59,80,43,90,74,100,78.0
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Care,100,59,77,56,90,63,100,77.9
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,100,84,54,33,100,73,100,77.7
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Uncategorized,100,68,78,38,90,75,95,77.7
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,72,71,54,79,100,68,100,77.7
5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,Uncategorized,88,75,75,35,90,80,100,77.6
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,72,76,49,78,100,68,100,77.6
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,72,64,54,78,100,75,100,77.6
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,72,72,54,73,90,80,100,77.3
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Uncategorized,100,64,70,46,90,75,95,77.1
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Uncategorized,100,85,49,41,90,75,100,77.1
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Training Supplies,72,58,85,58,90,75,100,76.9
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,100,55,74,43,90,75,100,76.7
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,100,54,71,64,90,58,100,76.7
4783,How to Choose the Right Dog Bed Size,Dog Beds,70,71,76,64,90,65,100,76.6
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,76,71,54,70,100,65,100,76.6
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,72,67,49,72,90,85,100,76.4
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,100,55,71,56,90,63,100,76.4
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,72,70,76,63,90,64,100,76.4
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Dog Toys,88,64,49,58,100,75,100,76.3
4125,Best Dog Training Treats UK (2026) – Reward Guide,Training Supplies,100,54,78,36,90,75,100,76.1
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Supplies,100,55,54,58,90,75,100,76.0
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,92,67,49,53,90,80,100,75.9
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Dog Care,72,79,72,47,90,75,95,75.7
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,92,59,56,58,90,75,100,75.7
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,100,51,82,50,90,55,100,75.4
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,100,66,54,50,90,68,100,75.4
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Uncategorized,100,67,68,32,90,75,95,75.3
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,96,54,76,53,90,58,100,75.3
6042,Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts,Uncategorized,98,58,72,38,90,75,95,75.1
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Uncategorized,100,50,75,41,90,75,95,75.1
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Uncategorized,100,53,73,41,90,74,95,75.1
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,72,72,54,58,90,80,100,75.1
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Uncategorized,100,64,69,32,90,75,95,75.0
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Uncategorized,100,79,54,27,90,80,95,75.0
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Uncategorized,100,68,54,43,90,75,95,75.0
696,Essential Cat Supplies for Cat Owners – Number 1 Must-Haves,Cat Supplies,70,74,60,50,90,81,100,75.0
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,100,69,51,47,90,74,93,74.9
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Dog Care,100,54,67,43,90,75,95,74.9
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Uncategorized,100,62,70,32,90,75,95,74.9
7341,First Week with a New Puppy: A Day-by-Day Guide,Dog Care,100,54,69,40,90,75,95,74.7
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,72,53,95,53,90,71,89,74.7
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Uncategorized,100,59,63,41,90,75,95,74.7
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Uncategorized,100,71,49,38,90,75,100,74.7
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,92,55,56,55,90,75,100,74.7
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Uncategorized,100,49,74,40,90,74,95,74.6
4568,Dog Dental Health: A Practical Care Guide,Dog Health,100,54,66,38,90,74,100,74.6
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,100,64,51,43,90,74,100,74.6
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,76,80,54,38,90,85,98,74.4
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Dog Care,72,71,70,32,100,75,100,74.3
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Uncategorized,100,64,42,58,90,75,90,74.1
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,100,58,76,52,90,48,95,74.1
4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Care,76,66,80,32,90,75,100,74.1
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,88,59,75,41,90,66,100,74.1
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Dog Health,100,50,65,43,90,75,95,74.0
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,92,50,56,55,90,75,100,74.0
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,100,60,54,38,90,75,100,73.9
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,100,45,82,52,90,52,95,73.7
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Dog Care,100,54,69,32,90,75,95,73.6
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Uncategorized,100,54,69,32,90,75,95,73.6
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Dog Supplies,96,76,47,38,90,68,100,73.6
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,96,65,51,38,90,75,100,73.6
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,72,55,51,72,90,75,100,73.6
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Dog Beds,100,49,75,49,90,56,95,73.4
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,100,59,79,18,90,68,100,73.4
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,92,60,56,41,90,75,100,73.4
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,72,63,52,58,90,79,100,73.4
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Training Supplies,100,59,47,53,90,65,100,73.4
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,100,68,54,27,90,75,100,73.4
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,64,54,80,65,90,65,95,73.3
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Uncategorized,100,55,80,18,90,75,95,73.3
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,100,63,49,38,95,68,100,73.3
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,72,64,80,33,90,74,100,73.3
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Uncategorized,56,63,54,71,100,68,100,73.1
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,92,64,56,35,90,75,100,73.1
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,100,64,54,36,90,68,100,73.1
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,100,55,52,40,90,74,100,73.0
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,72,67,49,47,90,85,100,72.9
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Supplies,72,68,54,58,90,68,100,72.9
4785,How to Wash and Maintain Your Dog’s Bed,Dog Beds,72,83,65,35,90,64,100,72.7
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Uncategorized,52,80,49,47,100,80,100,72.6
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Uncategorized,100,63,54,30,90,75,95,72.4
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Uncategorized,100,53,73,22,90,74,95,72.4
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Uncategorized,100,73,49,30,90,75,90,72.4
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,72,64,47,59,90,75,100,72.4
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,98,64,46,44,90,71,93,72.3
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,100,49,72,35,90,64,95,72.1
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,72,74,54,35,95,75,100,72.1
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Uncategorized,100,68,49,32,90,75,90,72.0
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,72,64,56,47,90,75,100,72.0
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,100,50,54,36,90,74,100,72.0
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Uncategorized,100,66,44,30,90,80,93,71.9
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,100,45,77,35,90,60,95,71.7
7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,100,45,72,40,90,60,95,71.7
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,96,68,44,33,90,71,100,71.7
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,72,67,47,47,90,79,100,71.7
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,72,59,54,58,90,68,100,71.6
