rank,id,title,cluster,citation_score,moat_score,upgrade_potential,weakest_citation_dim,weakest_moat_dim,recommended_action_1,recommended_action_2,recommended_action_3
1,4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,47.8,60.4,36.8,practical_specificity (12.0),practical_moat (21.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
2,8171,Why PetHub Online Exists,Uncategorized,51.5,54.3,36.6,practical_specificity (0.0),glossary_moat (12.0),Add practical step-by-step guide blocks,Add Key Terms / glossary block,Add practical how-to guide blocks
3,4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,50.3,60.9,35.6,practical_specificity (12.0),practical_moat (21.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
4,3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,53.9,60.3,34.4,practical_specificity (25.0),practical_moat (20.0),Add practical how-to guide blocks,Add practical step-by-step guide blocks,Add structured comparison tables
5,7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Toys,52.7,61.9,34.4,practical_specificity (23.0),practical_moat (30.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Expand educational depth and explanations
6,5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,53.0,64.1,33.6,practical_specificity (28.0),practical_moat (33.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add authoritative UK source references
7,4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,61.6,60.3,32.3,reference_quality (40.0),citation_moat (32.0),Add citation-ready reference blocks,Add Key Terms / glossary block,Add authoritative UK source references
8,5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,55.3,66.9,31.8,practical_specificity (31.0),practical_moat (36.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add authoritative UK source references
9,4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Toys,57.4,67.6,30.8,practical_specificity (28.0),practical_moat (35.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
10,8172,Our Research Standards,Uncategorized,55.9,65.3,29.1,practical_specificity (0.0),practical_moat (20.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
11,4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care,56.5,65.3,28.8,practical_specificity (3.0),practical_moat (15.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
12,4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care,58.2,69.1,28.5,practical_specificity (14.0),practical_moat (32.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
13,4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,60.0,68.0,28.1,practical_specificity (19.0),practical_moat (15.0),Add practical how-to guide blocks,Add practical step-by-step guide blocks,Add structured comparison tables
14,4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,62.4,69.0,27.8,reference_quality (45.0),citation_moat (48.0),Add authoritative UK source references,Add citation-ready reference blocks,Add practical step-by-step guide blocks
15,4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,58.7,66.6,27.5,practical_specificity (15.0),practical_moat (24.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
16,4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Puppy Care,67.0,67.0,26.6,reference_quality (39.0),citation_moat (36.0),Add citation-ready reference blocks,Add authoritative UK source references,Add UK expert trust references
17,5462,Dog Training Terminology Explained: Key Concepts for New Owners,Uncategorized,59.8,70.1,26.1,practical_specificity (12.0),practical_moat (21.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
18,4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,62.2,67.3,25.9,practical_specificity (31.0),practical_moat (38.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
19,4791,How to Choose the Right Dog Training Treats,Training Supplies,59.4,71.0,25.9,practical_specificity (8.0),practical_moat (18.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
20,4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Toys,63.8,71.1,25.7,practical_specificity (31.0),practical_moat (24.0),Add practical how-to guide blocks,Add practical step-by-step guide blocks,Add structured comparison tables
21,7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,57.9,68.9,25.7,practical_specificity (8.0),practical_moat (18.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
22,7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Cat Supplies,59.6,66.9,25.6,practical_specificity (10.0),practical_moat (21.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
23,4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Training Supplies,66.8,67.6,25.5,practical_specificity (40.0),practical_moat (42.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add comparison tables and pros/cons
24,7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Dog Beds,63.6,73.4,25.5,practical_specificity (34.0),trust_moat (49.0),Add practical step-by-step guide blocks,Add UK expert trust references,Add practical how-to guide blocks
25,7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,63.5,73.7,25.5,practical_specificity (37.0),trust_moat (45.0),Add practical step-by-step guide blocks,Add UK expert trust references,Add authoritative UK source references
26,5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Uncategorized,60.9,71.9,25.1,practical_specificity (24.0),practical_moat (30.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
27,5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,63.9,73.3,25.0,practical_specificity (33.0),practical_moat (38.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
28,5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,63.7,68.7,24.9,practical_specificity (41.0),practical_moat (44.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add citation-ready reference blocks
29,5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Uncategorized,60.9,72.4,24.9,practical_specificity (23.0),practical_moat (30.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
30,5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,60.5,73.0,24.9,practical_specificity (25.0),practical_moat (40.0),Add practical step-by-step guide blocks,Add structured comparison tables,Add practical how-to guide blocks
31,4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,63.5,71.0,24.8,practical_specificity (47.0),trust_moat (51.0),Add practical step-by-step guide blocks,Add UK expert trust references,Add practical how-to guide blocks
32,7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,61.9,71.7,24.7,practical_specificity (25.0),practical_moat (40.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
33,7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,59.5,69.9,24.7,practical_specificity (12.0),practical_moat (21.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
34,4571,Pet First Aid Basics: What Every Owner Should Know,Dog Supplies,59.5,70.1,24.7,practical_specificity (4.0),practical_moat (23.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
35,5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,66.5,71.6,24.4,comparison_usefulness (42.0),comparison_moat (54.0),Add structured comparison tables,Add practical step-by-step guide blocks,Add comparison tables and pros/cons
36,4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,64.1,69.9,24.4,practical_specificity (33.0),practical_moat (41.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
37,7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,59.8,70.6,24.4,practical_specificity (12.0),practical_moat (21.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
38,7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,63.2,71.7,24.2,practical_specificity (28.0),practical_moat (35.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
39,6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Uncategorized,61.7,73.6,24.2,practical_specificity (16.0),practical_moat (32.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
40,7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Indoor Cats,61.2,69.3,24.2,practical_specificity (20.0),practical_moat (27.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
41,7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,63.8,72.1,23.9,practical_specificity (28.0),practical_moat (35.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
