cluster,posts_needing_upgrade,avg_upgrade_potential,top_action_needed,posts_for_top_action
Pet Care,2,28.6,Add practical step-by-step guide blocks,2
Dog Toys,13,26.6,Add practical step-by-step guide blocks,13
Indoor Cats,5,23.3,Add practical step-by-step guide blocks,6
Dog Harnesses,4,22.6,Add practical how-to guide blocks,7
Puppy Care,1,22.6,Add authoritative UK source references,2
Cat Toys,9,22.5,Add practical step-by-step guide blocks,16
Dog Beds,9,20.9,Add practical step-by-step guide blocks,10
Dog Supplies,3,19.9,Add structured comparison tables,6
Uncategorized,21,19.7,Add practical step-by-step guide blocks,41
Training Supplies,3,19.6,Add practical step-by-step guide blocks,6
Dog Care,5,18.6,Add practical step-by-step guide blocks,11
Cat Supplies,6,17.7,Add practical step-by-step guide blocks,17
Dog Health,2,14.9,Add practical how-to guide blocks,7
Dog Food,0,7.1,Add UK expert trust references,5
