id,title,cluster,glossary_added,common_mistakes_added,beginner_recs_added,comparison_added,status
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Dog Food,False,False,True,False,updated
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Dog Food,False,False,True,False,updated
3839,Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrition Guide,Dog Food,False,False,True,False,updated
3838,Dry vs Wet Dog Food UK &#8211; An Honest Comparison Guide,Dog Food,False,False,True,False,updated
3837,Best Dry Dog Food UK (2026) &#8211; Evidence-Based Guide,Dog Food,False,False,True,False,updated
3836,Best Dog Food UK (2026) &#8211; Complete Buying Guide,Dog Food,False,False,True,False,updated
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,True,True,True,False,updated
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Educational,False,True,True,False,updated
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Educational,False,False,True,False,updated
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Educational,False,False,True,False,updated
5419,Cat Care Basics: A Glossary for New Cat Owners,Educational,False,False,True,False,updated
5416,Dog Bed Types Explained: A Complete Glossary,Educational,False,False,True,False,updated
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Educational,False,False,True,False,updated
5414,Cat Toy Types Explained: A Complete Glossary,Educational,False,False,True,False,updated
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Educational,False,False,True,False,updated
4272,Best Cat ID Tags UK (2026) – Identification Guide,Educational,False,False,True,False,updated
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Educational,False,False,True,False,updated
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Educational,False,False,True,False,updated
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Educational,False,False,True,False,updated
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Educational,False,False,True,False,updated
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Educational,False,False,True,False,updated
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,False,False,True,False,updated
5512,Dog Behaviour Explained: Understanding Your Dog&#8217;s Body Language and Actions,Dog Training,False,False,True,False,updated
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Dog Training,False,False,True,False,updated
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Dog Training,False,False,True,False,updated
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Training,False,False,True,False,updated
4791,How to Choose the Right Dog Training Treats,Dog Training,False,False,True,False,updated
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Training,False,False,True,False,updated
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Training,False,False,True,False,updated
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Training,False,False,True,False,updated
