target_query,matched_post_id,matched_title,readiness_score,estimated_competition,priority
What is a catio?,4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,90.0,medium,high
How high should a dog feeding station be?,,,0,low,low
How often should indoor cats exercise?,7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,95.0,medium,high
What is the best cat litter for indoor cats?,7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,95.0,high,high
How to make DIY cat toys?,5032,Cat Toys FAQ: Common Questions Answered,93.0,low,high
What size dog coat does my dog need?,4783,How to Choose the Right Dog Bed Size,90.0,medium,high
How to set up a multi-pet household?,4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,67.0,low,high
What vaccinations do puppies need UK?,7337,Puppy Vaccination Schedule UK: What to Expect and When,85.0,high,high
How to choose a dog harness size?,4783,How to Choose the Right Dog Bed Size,90.0,medium,high
What is the best dog bed for arthritis?,7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,87.0,high,high
How to groom a long-haired cat?,4237,Best Cat Brushes UK (2026) – Guide by Coat Type,90.0,medium,high
What cat toys do cats like most?,,,0,medium,low
How to travel with a dog in the car UK?,5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,90.0,medium,high
What are the signs of a healthy puppy?,5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",63.0,low,high
How much exercise does an indoor cat need?,4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,90.0,medium,high
