post_id,title,cluster,blocked,commercial_score,is_best_page,has_comparison_table,has_faq,has_price_signals,has_email_form,affiliate_ready,lead_magnet_type,email_capture_opportunity,conversion_potential
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,Product Reviews,False,100,True,True,True,True,False,True,downloadable_guide,True,high
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Uncategorized,False,85,True,True,True,True,False,True,downloadable_guide,True,high
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,False,85,True,True,True,True,False,True,downloadable_guide,True,high
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Product Reviews,False,85,True,True,True,True,False,True,downloadable_guide,True,high
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Product Reviews,False,85,True,True,True,True,False,True,downloadable_guide,True,high
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Product Reviews,False,85,True,True,True,True,False,True,downloadable_guide,True,high
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Product Reviews,False,85,True,True,True,True,False,True,downloadable_guide,True,high
4272,Best Cat ID Tags UK (2026) – Identification Guide,Product Reviews,False,85,True,True,True,True,False,True,downloadable_guide,True,high
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Product Reviews,False,85,True,True,True,True,False,True,downloadable_guide,True,high
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Product Reviews,False,85,True,True,True,True,False,True,downloadable_guide,True,high
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Product Reviews,False,85,True,True,True,True,False,True,downloadable_guide,True,high
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Product Reviews,False,85,True,True,True,True,False,True,downloadable_guide,True,high
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Product Reviews,False,85,True,True,True,True,False,True,downloadable_guide,True,high
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Product Reviews,False,85,True,True,True,True,False,True,downloadable_guide,True,high
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Product Reviews,False,85,True,True,True,True,False,True,downloadable_guide,True,high
4202,Best Cat Beds UK (2026) – Complete Guide,Product Reviews,False,85,True,True,True,True,False,True,downloadable_guide,True,high
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Indoor Cats,False,85,True,True,True,True,False,True,downloadable_guide,True,high
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Interactive Toys,False,85,True,True,True,True,False,True,downloadable_guide,True,high
4174,Best Cat Toys UK (2026) – Complete Guide,Product Reviews,False,85,True,True,True,True,False,True,downloadable_guide,True,high
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Product Reviews,False,85,True,True,True,True,False,True,downloadable_guide,True,high
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Product Reviews,False,85,True,True,True,True,False,True,downloadable_guide,True,high
