post_id,title,cluster,has_research,has_editorial,has_corrections,has_disclosure,has_trust_block,missing_count,missing_links
8172,Our Research Standards,Uncategorized,True,True,True,True,True,0,none
8171,Why PetHub Online Exists,Uncategorized,True,True,True,True,True,0,none
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,True,True,True,True,True,0,none
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,True,True,True,True,True,0,none
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,True,True,True,True,True,0,none
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,True,True,True,True,True,0,none
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,True,True,True,True,True,0,none
7341,First Week with a New Puppy: A Day-by-Day Guide,Dog Care,True,True,True,True,True,0,none
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Dog Health,True,True,True,True,True,0,none
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Dog Care,True,True,True,True,True,0,none
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Dog Care,True,True,True,True,True,0,none
7337,Puppy Vaccination Schedule UK: What to Expect and When,Dog Health,True,True,True,True,True,0,none
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,True,True,True,True,True,0,none
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,True,True,True,True,True,0,none
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Dog Beds,True,True,True,True,True,0,none
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,True,True,True,True,True,0,none
7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,True,True,True,True,True,0,none
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Supplies,False,False,False,False,False,4,"research, editorial, corrections, disclosure"
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Cat Supplies,False,False,False,False,False,4,"research, editorial, corrections, disclosure"
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,False,False,False,False,False,4,"research, editorial, corrections, disclosure"
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,False,False,False,False,False,4,"research, editorial, corrections, disclosure"
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,False,False,False,False,False,4,"research, editorial, corrections, disclosure"
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Dog Care,False,False,False,False,False,4,"research, editorial, corrections, disclosure"
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Cat Supplies,False,False,False,False,False,4,"research, editorial, corrections, disclosure"
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Uncategorized,True,True,True,True,True,0,none
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Uncategorized,True,True,True,True,True,0,none
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Uncategorized,True,True,True,True,True,0,none
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,True,True,True,True,True,0,none
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Uncategorized,True,True,True,True,True,0,none
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Uncategorized,True,True,True,True,True,0,none
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Uncategorized,True,True,True,True,True,0,none
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,True,True,True,True,True,0,none
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,Uncategorized,True,True,True,True,True,0,none
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Uncategorized,True,True,True,True,True,0,none
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Uncategorized,True,True,True,True,True,0,none
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Uncategorized,True,True,True,True,True,0,none
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Uncategorized,True,True,True,True,True,0,none
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Uncategorized,True,True,True,True,True,0,none
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Uncategorized,True,True,True,True,True,0,none
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Uncategorized,True,True,True,True,True,0,none
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Uncategorized,True,True,True,True,True,0,none
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Uncategorized,True,True,True,True,True,0,none
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,True,True,True,True,True,0,none
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Uncategorized,True,True,True,True,True,0,none
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Uncategorized,True,True,True,True,True,0,none
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Uncategorized,True,True,True,True,True,0,none
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,True,True,True,True,True,0,none
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Uncategorized,True,True,True,True,True,0,none
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Uncategorized,True,True,True,True,True,0,none
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Uncategorized,True,True,True,True,True,0,none
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Uncategorized,True,True,True,True,True,0,none
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Uncategorized,True,True,True,True,True,0,none
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,True,True,True,True,True,0,none
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Uncategorized,True,True,True,True,True,0,none
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Uncategorized,True,True,True,True,True,0,none
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Uncategorized,True,True,True,True,True,0,none
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Uncategorized,True,True,True,True,True,0,none
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Uncategorized,True,True,True,True,True,0,none
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Uncategorized,True,True,True,True,True,0,none
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Uncategorized,True,True,True,True,True,0,none
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Uncategorized,True,True,True,True,True,0,none
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Uncategorized,True,True,True,True,True,0,none
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Uncategorized,True,True,True,True,True,0,none
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Uncategorized,True,True,True,True,True,0,none
5425,Dog Toys FAQ: Common Questions Answered,Dog Supplies,True,True,True,True,True,0,none
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Supplies,True,True,True,True,True,0,none
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Supplies,True,True,True,True,True,0,none
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Supplies,True,True,True,True,True,0,none
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Supplies,True,True,True,True,True,0,none
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Supplies,True,True,True,True,True,0,none
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,True,True,True,True,True,0,none
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,True,True,True,True,True,0,none
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Dog Care,True,True,True,True,True,0,none
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,True,True,True,True,True,0,none
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Uncategorized,True,True,True,True,True,0,none
5414,Cat Toy Types Explained: A Complete Glossary,Uncategorized,True,True,True,True,True,0,none
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Uncategorized,True,True,True,True,True,0,none
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,True,True,True,True,True,0,none
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,True,True,True,True,True,0,none
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,True,True,True,True,True,0,none
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,True,True,True,True,True,0,none
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,True,True,True,True,True,0,none
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Supplies,True,True,True,True,True,0,none
4791,How to Choose the Right Dog Training Treats,Dog Supplies,True,True,True,True,True,0,none
4790,DIY Dog Toys: Safe Homemade Options,Dog Supplies,True,True,True,True,True,0,none
4789,Best Types of Dog Toys for Different Play Styles,Dog Supplies,True,True,True,True,True,0,none
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Supplies,True,True,True,True,True,0,none
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Supplies,True,True,True,True,True,0,none
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Dog Beds,True,True,True,True,True,0,none
4785,How to Wash and Maintain Your Dog's Bed,Dog Beds,True,True,True,True,True,0,none
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,True,True,True,True,True,0,none
4783,How to Choose the Right Dog Bed Size,Dog Beds,True,True,True,True,True,0,none
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care,True,True,True,True,True,0,none
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,True,True,True,True,True,0,none
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care,True,True,True,True,True,0,none
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Dog Supplies,True,True,True,True,True,0,none
4571,Pet First Aid Basics: What Every Owner Should Know,Dog Supplies,True,True,True,True,True,0,none
4568,Dog Dental Health: A Practical Care Guide,Dog Care,True,True,True,True,True,0,none
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,True,True,True,True,True,0,none
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,True,True,True,True,True,0,none
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Supplies,True,True,True,True,True,0,none
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Supplies,True,True,True,True,True,0,none
