post_id,title,cluster,had_comparison,action_taken,table_topic,status
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,yes,skipped_strong,,skipped
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,yes,skipped_strong,,skipped
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,yes,skipped_strong,,skipped
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,yes,skipped_strong,,skipped
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,yes,skipped_strong,,skipped
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Indoor Cats,yes,skipped_strong,,skipped
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Indoor Cats,yes,skipped_strong,,skipped
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Supplies,yes,skipped_strong,,skipped
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Supplies,yes,skipped_strong,,skipped
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Dog Supplies,yes,skipped_strong,,skipped
5425,Dog Toys FAQ: Common Questions Answered,Dog Supplies,yes,skipped_strong,,skipped
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Supplies,yes,skipped_strong,,skipped
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Supplies,yes,skipped_strong,,skipped
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Supplies,yes,skipped_strong,,skipped
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Supplies,yes,skipped_strong,,skipped
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Supplies,yes,skipped_strong,,skipped
5416,Dog Bed Types Explained: A Complete Glossary,Dog Supplies,yes,skipped_strong,,skipped
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Supplies,yes,skipped_strong,,skipped
4791,How to Choose the Right Dog Training Treats,Dog Supplies,yes,skipped_strong,,skipped
