query,cluster,chatgpt_score,chatgpt_tier,perplexity_score,perplexity_tier,gemini_score,gemini_tier,ai_overviews_score,ai_overviews_tier,copilot_score,copilot_tier
what ingredients should I avoid in dog food,Dog Food,98.4,ESTIMATED,99.0,ESTIMATED,94.1,ESTIMATED,88.0,ESTIMATED,89.3,ESTIMATED
dry vs wet dog food nutrition comparison,Dog Food,97.7,ESTIMATED,88.8,ESTIMATED,92.7,ESTIMATED,99.8,ESTIMATED,96.7,ESTIMATED
how to read dog food labels UK,Dog Food,90.2,ESTIMATED,83.2,ESTIMATED,94.1,ESTIMATED,100.0,ESTIMATED,89.3,ESTIMATED
puppy food feeding schedule by age,Dog Food,97.1,ESTIMATED,94.3,ESTIMATED,100,ESTIMATED,100,ESTIMATED,96.5,ESTIMATED
harness vs collar which is safer for dogs,Dog Harnesses,91.4,ESTIMATED,82.2,ESTIMATED,87.2,ESTIMATED,95.6,ESTIMATED,92.1,ESTIMATED
how to measure a dog for a harness correctly,Dog Harnesses,85.6,ESTIMATED,78.8,ESTIMATED,89.7,ESTIMATED,98.5,ESTIMATED,86.9,ESTIMATED
no-pull harness training techniques,Dog Harnesses,94.9,ESTIMATED,89.5,ESTIMATED,100,ESTIMATED,100,ESTIMATED,96.6,ESTIMATED
dog harness types explained,Dog Harnesses,97.6,ESTIMATED,95.9,ESTIMATED,92.9,ESTIMATED,87.9,ESTIMATED,89.2,ESTIMATED
best orthopaedic dog beds for joint pain UK,Dog Beds,94.5,ESTIMATED,99.5,ESTIMATED,99.3,ESTIMATED,100,ESTIMATED,100,ESTIMATED
how to choose the right size dog bed,Dog Beds,91.1,ESTIMATED,81.6,ESTIMATED,95.4,ESTIMATED,100,ESTIMATED,92.5,ESTIMATED
dog bed materials comparison memory foam vs bolster,Dog Beds,96.4,ESTIMATED,84.6,ESTIMATED,92.4,ESTIMATED,100,ESTIMATED,98.1,ESTIMATED
when should you replace a dog bed,Dog Beds,97.2,ESTIMATED,94.0,ESTIMATED,93.5,ESTIMATED,89.3,ESTIMATED,90.9,ESTIMATED
best cat scratching posts UK 2026,Cat Supplies,89.2,ESTIMATED,92.8,ESTIMATED,93.3,ESTIMATED,98.8,ESTIMATED,100,ESTIMATED
cat GPS tracker comparison UK,Cat Supplies,94.6,ESTIMATED,86.8,ESTIMATED,90.2,ESTIMATED,100,ESTIMATED,95.8,ESTIMATED
essential supplies for new cat owners checklist,Cat Supplies,82.7,ESTIMATED,77.2,ESTIMATED,90.6,ESTIMATED,89.5,ESTIMATED,84.9,ESTIMATED
how to choose the right cat litter type,Cat Supplies,92.7,ESTIMATED,82.1,ESTIMATED,96.9,ESTIMATED,100,ESTIMATED,94.8,ESTIMATED
