cluster,action_type,target,description,priority,expected_impact
Cat Supplies,strengthen,Post 7177: Cat Toy Terminology: Understanding Play Types and Toy Featur,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references; Update freshness: add 2026 dates, current pricing, seasonal content",MEDIUM,Could raise dominance from 60.0 to 85.0
Cat Supplies,strengthen,Post 7167: Indoor Cat Terminology: A Complete Glossary for Cat Owners,"Strengthen evidence: add source citations, data points, expert references; Update freshness: add 2026 dates, current pricing, seasonal content",MEDIUM,Could raise dominance from 58.8 to 83.8
Cat Supplies,strengthen,Post 5419: Cat Care Basics: A Glossary for New Cat Owners,"Strengthen evidence: add source citations, data points, expert references; Update freshness: add 2026 dates, current pricing, seasonal content",MEDIUM,Could raise dominance from 59.6 to 84.6
Cat Supplies,strengthen,Post 4415: Cat Toy Safety Guide: What Every Owner Should Know,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 60.7 to 85
Cat Supplies,strengthen,Post 4406: Best Interactive Cat Toys for Indoor Cats: Engagement Guide,"Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 64.6 to 85
Cat Supplies,strengthen,Post 4410: Cat Enrichment Activities Beyond Toys: Complete Guide,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 58.9 to 83.9
Cat Supplies,strengthen,Post 4409: Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 60.2 to 85
Cat Supplies,strengthen,Post 4408: How Often Should You Replace Cat Toys? A Practical Guide,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 60.2 to 85
Cat Supplies,strengthen,Post 4407: DIY Cat Toys: Safe Homemade Options Your Cat Will Love,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 60.1 to 85
Cat Supplies,strengthen,Post 4335: Best Cat Litter Disposal UK (2026) – Waste Management Guide,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 62.3 to 85
Cat Supplies,strengthen,Post 4321: Best Cat Litter UK (2026) – Types & Comparison Guide,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 63.8 to 85
Cat Supplies,strengthen,Post 4293: Best Cat Trees UK (2026) – Climbing & Scratching Towers,"Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 64.3 to 85
Cat Supplies,strengthen,Post 4286: Best Cat Scratching Posts UK (2026) – Complete Guide,"Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 64.5 to 85
Cat Supplies,strengthen,Post 4279: Best Cat Harnesses UK (2026) – Safe Walking Guide,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 62.3 to 85
Cat Supplies,strengthen,Post 4251: Best Cat Shampoo UK (2026) – When & How to Bathe,"Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 63.1 to 85
Cat Supplies,strengthen,Post 4244: Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 62.3 to 85
Cat Supplies,strengthen,Post 4237: Best Cat Brushes UK (2026) – Guide by Coat Type,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 62.2 to 85
Cat Supplies,strengthen,Post 4223: Best Cat Window Perches UK (2026) – Sunning & Bird Watching,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 63.9 to 85
Cat Supplies,strengthen,Post 4216: Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 63.5 to 85
Cat Supplies,strengthen,Post 4209: Best Heated Cat Beds UK (2026) – Winter Warmth Guide,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 63.5 to 85
Cat Supplies,strengthen,Post 4202: Best Cat Beds UK (2026) – Complete Guide,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 62.3 to 85
Cat Supplies,strengthen,Post 4195: Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 63.9 to 85
Cat Supplies,strengthen,Post 4181: Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 62.2 to 85
Cat Supplies,strengthen,Post 4174: Best Cat Toys UK (2026) – Complete Guide,"Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 63.7 to 85
Cat Supplies,strengthen,Post 696: Essential Cat Supplies for Cat Owners – Number 1 Must-Haves,"Improve structure: add Gutenberg blocks, heading hierarchy, lists, images; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 61.2 to 85
Cat Supplies,create,Best Cat Food Brands Review,"New guide: 'best cat food brands review' with UK-specific angle, comparison tables, FAQ section, RSPCA/BVA citations",HIGH,"Fills topic gap vs Cats.com, adds UK authority"
Cat Supplies,create,Kitten Essentials Checklist,"New guide: 'kitten essentials checklist' with UK-specific angle, comparison tables, FAQ section, RSPCA/BVA citations",HIGH,"Fills topic gap vs Cats.com, adds UK authority"
Cat Supplies,exploit,UK pet food labelling regulations vs US standards,UK-exclusive angle Cats.com cannot replicate: UK pet food labelling regulations vs US standards,HIGH,Unique UK authority that Cats.com cannot match from US base
Cat Supplies,exploit,Pets At Home vs independent UK pet shops comparison,UK-exclusive angle Cats.com cannot replicate: Pets At Home vs independent UK pet shops comparison,HIGH,Unique UK authority that Cats.com cannot match from US base
Cat Supplies,exploit,UK-specific cat nutrition guidelines (PFMA standards),UK-exclusive angle Cats.com cannot replicate: UK-specific cat nutrition guidelines (PFMA standards),HIGH,Unique UK authority that Cats.com cannot match from US base
Cat Supplies,exploit,Regional UK cat supply availability guide,UK-exclusive angle Cats.com cannot replicate: Regional UK cat supply availability guide,HIGH,Unique UK authority that Cats.com cannot match from US base
Cat Supplies,exploit,UK vet-recommended products (not available on Cats.com),UK-exclusive angle Cats.com cannot replicate: UK vet-recommended products (not available on Cats.com),HIGH,Unique UK authority that Cats.com cannot match from US base
Cat Toys,strengthen,Post 7177: Cat Toy Terminology: Understanding Play Types and Toy Featur,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references; Update freshness: add 2026 dates, current pricing, seasonal content",MEDIUM,Could raise dominance from 60.0 to 85.0
Cat Toys,strengthen,Post 5033: How to Choose the Right Cat Toy for Your Cat’s Personality,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 60.1 to 85
Cat Toys,strengthen,Post 5036: Understanding Cat Play Behaviour: What Different Play Styles,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 60.2 to 85
Cat Toys,strengthen,Post 5032: Cat Toys FAQ: Common Questions Answered,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 58.6 to 83.6
Cat Toys,strengthen,Post 5034: Cat Toy Rotation: How to Keep Toys Fresh and Engaging,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 60.9 to 85
Cat Toys,strengthen,Post 4415: Cat Toy Safety Guide: What Every Owner Should Know,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 60.7 to 85
Cat Toys,strengthen,Post 4406: Best Interactive Cat Toys for Indoor Cats: Engagement Guide,"Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 64.6 to 85
Cat Toys,strengthen,Post 4410: Cat Enrichment Activities Beyond Toys: Complete Guide,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 58.9 to 83.9
Cat Toys,strengthen,Post 4409: Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 60.2 to 85
Cat Toys,strengthen,Post 4408: How Often Should You Replace Cat Toys? A Practical Guide,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 60.2 to 85
Cat Toys,strengthen,Post 4407: DIY Cat Toys: Safe Homemade Options Your Cat Will Love,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 60.1 to 85
Cat Toys,strengthen,Post 4195: Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 63.9 to 85
Cat Toys,strengthen,Post 4181: Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 62.2 to 85
Cat Toys,strengthen,Post 4174: Best Cat Toys UK (2026) – Complete Guide,"Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 63.7 to 85
Cat Toys,create,Treat Dispensing Toys,"New guide: 'treat dispensing toys' with UK-specific angle, comparison tables, FAQ section, RSPCA/BVA citations",HIGH,"Fills topic gap vs Cats.com, adds UK authority"
