post_id,title,cluster,h2_text,h2_is_question,has_snippet_answer,snippet_score,target_query,competition_level
8172,Our Research Standards,Uncategorized,How Topics Are Selected,Yes,No,58.0,What is a catio?,medium
8172,Our Research Standards,Uncategorized,Our Source Verification Process,No,No,33.0,What is a catio?,medium
8172,Our Research Standards,Uncategorized,How We Handle Conflicting Information,Yes,No,58.0,What is a catio?,medium
8172,Our Research Standards,Uncategorized,Our Writing Standards,No,No,33.0,What is a catio?,medium
8172,Our Research Standards,Uncategorized,Product Evaluation Approach,No,No,33.0,What is a catio?,medium
8172,Our Research Standards,Uncategorized,Update and Correction Process,No,No,33.0,What is a catio?,medium
8172,Our Research Standards,Uncategorized,What We Do Not Do,Yes,No,58.0,What is a catio?,medium
8172,Our Research Standards,Uncategorized,Contact and Accountability,No,Yes,58.0,What is a catio?,medium
8172,Our Research Standards,Uncategorized,Frequently Asked Questions,No,Yes,48.0,What is a catio?,medium
8172,Our Research Standards,Uncategorized,Compared: Compared: Interactive vs Self-Play Pet Toys,No,No,48.0,What is a catio?,medium
8171,Why PetHub Online Exists,Uncategorized,The Gap We Noticed,No,No,33.0,What is a catio?,medium
8171,Why PetHub Online Exists,Uncategorized,What PetHub Online Does Differently,Yes,Yes,83.0,What is a catio?,medium
8171,Why PetHub Online Exists,Uncategorized,Who This Site Serves,No,Yes,58.0,What is a catio?,medium
8171,Why PetHub Online Exists,Uncategorized,Editorial Independence,No,Yes,58.0,What is a catio?,medium
8171,Why PetHub Online Exists,Uncategorized,Our Commitment,No,Yes,58.0,What is a catio?,medium
8171,Why PetHub Online Exists,Uncategorized,Frequently Asked Questions,No,Yes,48.0,What is a catio?,medium
8171,Why PetHub Online Exists,Uncategorized,Compared: Compared: Food-Based vs Sensory Enrichment for Pets,No,No,48.0,What is a catio?,medium
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,Why Indoor Cat Nutrition Differs,Yes,Yes,95.0,What is the best cat litter for indoor cats?,high
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,Calorie Requirements for Indoor Cats,No,No,60.0,What is the best cat litter for indoor cats?,high
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,What to Feed Indoor Cats,Yes,No,70.0,What is the best cat litter for indoor cats?,high
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,Feeding Schedule and Portion Control,No,No,60.0,What is the best cat litter for indoor cats?,high
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,Hydration: A Critical Factor,No,No,45.0,What is the best cat litter for indoor cats?,high
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,Treats and Extras,No,No,45.0,What is the best cat litter for indoor cats?,high
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,Common Indoor Cat Nutritional Issues,No,Yes,75.0,What is the best cat litter for indoor cats?,high
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,Life Stage Nutrition,No,No,45.0,What is the best cat litter for indoor cats?,high
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,Frequently Asked Questions,No,No,45.0,What is the best cat litter for indoor cats?,high
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,Compared: Compared: Wet vs Dry Food for Indoor Cats,No,No,60.0,What is the best cat litter for indoor cats?,high
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,Sources and References,No,No,45.0,What is the best cat litter for indoor cats?,high
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,Understanding Indoor Cat Behaviour,No,Yes,75.0,What is the best cat litter for indoor cats?,high
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,Urine Spraying and Inappropriate Elimination,No,No,45.0,What is the best cat litter for indoor cats?,high
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,Destructive Scratching,No,No,45.0,What is the best cat litter for indoor cats?,high
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,Overgrooming,No,No,45.0,What is the best cat litter for indoor cats?,high
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,Attention-Seeking and Excessive Vocalisation,No,No,45.0,What is the best cat litter for indoor cats?,high
