post_id,title,cluster,had_tables,action_taken,table_topic,status
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,yes,boosted,Compared: Wet vs Dry Food for Indoor Cats,success
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,yes,boosted,Compared: Scheduled Play Sessions vs Free Play for Indoor Cats,success
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,yes,boosted,Compared: Vertical vs Horizontal Enrichment for Indoor Cats,success
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,yes,boosted,Compared: Scheduled Play Sessions vs Free Play for Indoor Cats,success
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,yes,boosted,Compared: Scheduled Play Sessions vs Free Play for Indoor Cats,success
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Indoor Cats,yes,boosted,Compared: Vertical vs Horizontal Enrichment for Indoor Cats,success
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Indoor Cats,yes,boosted,Compared: Scheduled Play Sessions vs Free Play for Indoor Cats,success
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Supplies,yes,boosted,Compared: Daily Dental Brushing vs Dental Chews for Dogs,success
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Supplies,yes,boosted,Compared: Daily Dental Brushing vs Dental Chews for Dogs,success
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Dog Supplies,yes,boosted,Compared: Daily Dental Brushing vs Dental Chews for Dogs,success
5425,Dog Toys FAQ: Common Questions Answered,Dog Supplies,yes,boosted,Compared: Rubber vs Nylon Dog Toys,success
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Supplies,yes,boosted,Compared: Rubber vs Nylon Dog Toys,success
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Supplies,yes,boosted,Compared: Rubber vs Nylon Dog Toys,success
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Supplies,yes,boosted,Compared: Rubber vs Nylon Dog Toys,success
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Supplies,yes,boosted,Compared: Rubber vs Nylon Dog Toys,success
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Supplies,yes,boosted,Compared: Rubber vs Nylon Dog Toys,success
5416,Dog Bed Types Explained: A Complete Glossary,Dog Supplies,yes,boosted,Compared: Stainless Steel vs Ceramic Dog Bowls,success
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Supplies,yes,boosted,Compared: Positive Reinforcement vs Correction-Based Dog Training Tools,success
4791,How to Choose the Right Dog Training Treats,Dog Supplies,yes,boosted,Compared: Positive Reinforcement vs Correction-Based Dog Training Tools,success
4790,DIY Dog Toys: Safe Homemade Options,Dog Supplies,yes,boosted,Compared: Rubber vs Nylon Dog Toys,success
4789,Best Types of Dog Toys for Different Play Styles,Dog Supplies,yes,boosted,Compared: Rubber vs Nylon Dog Toys,success
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Supplies,yes,boosted,Compared: Rubber vs Nylon Dog Toys,success
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Supplies,yes,boosted,Compared: Rubber vs Nylon Dog Toys,success
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Dog Supplies,yes,boosted,Compared: Memory Foam vs Standard Polyester Dog Beds,success
4785,How to Wash and Maintain Your Dog's Bed,Dog Supplies,yes,boosted,Compared: Daily Dental Brushing vs Dental Chews for Dogs,success
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Supplies,yes,boosted,Compared: Daily Dental Brushing vs Dental Chews for Dogs,success
4783,How to Choose the Right Dog Bed Size,Dog Supplies,yes,boosted,Compared: Daily Dental Brushing vs Dental Chews for Dogs,success
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Supplies,yes,boosted,Compared: Stainless Steel vs Ceramic Dog Bowls,success
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Dog Supplies,yes,boosted,Compared: Stainless Steel vs Ceramic Dog Bowls,success
4571,Pet First Aid Basics: What Every Owner Should Know,Dog Supplies,yes,boosted,Compared: Daily Dental Brushing vs Dental Chews for Dogs,success
4568,Dog Dental Health: A Practical Care Guide,Dog Supplies,yes,boosted,Compared: Professional Grooming vs Home Grooming for Dogs,success
