cluster,total_posts,gap_count,top_3_gaps,coverage_pct,expansion_priority
Dog Supplies,7,6,dog travel supplies UK road trip essentials | dog walking accessories UK must-have gear | dog poop bag guide UK biodegradable options,70.0,HIGH
Pet Care,2,8,pet-friendly holidays UK accommodation guide | pet poison helpline UK emergency guide | best pet camera UK monitor pets while away,61.9,HIGH
Uncategorized,45,10,best pet gifts UK 2026 guide for pet lovers | pet photography tips UK getting great shots | pet memorial ideas UK remembering your pet,52.4,HIGH
Dog Food,5,9,cold pressed dog food benefits vs kibble | best budget dog food UK that's still healthy | best subscription dog food UK services,65.4,MEDIUM
Dog Health,8,1,spot-on vs tablet flea treatment comparison UK,95.2,MEDIUM
Dog Toys,14,4,dog toy subscription boxes UK comparison | best Kong alternatives UK indestructible stuffable toys | Kong vs West Paw vs Nylabone comparison UK,77.8,MEDIUM
Dog Harnesses,7,3,Julius K9 vs Ruffwear harness comparison UK | Y-harness vs H-harness comparison guide UK | cheap vs premium dog harness UK worth the price,83.3,MEDIUM
Cat Supplies,23,3,best cat water fountain UK running water guide | cat tree vs cat shelves comparison space saving | how to train a cat to use a cat flap UK,86.4,MEDIUM
Cat Toys,16,2,Catit Senses range UK review and guide | battery-powered vs manual cat toys comparison UK,89.5,MEDIUM
Indoor Cats,6,4,indoor vs outdoor cat pros cons UK debate | best catio kit UK outdoor cat enclosure | cat tree vs catio for indoor cats comparison,81.0,MEDIUM
Puppy Care,2,5,puppy biting and nipping guide UK how to stop | puppy recall training UK guide for beginners | best puppy starter kit UK essentials bundle,76.2,MEDIUM
Training Supplies,6,5,dog training dummy UK gundog retrieve guide | target stick dog training UK guide | best dog training starter kit UK everything included,73.7,MEDIUM
Dog Beds,15,1,best indestructible dog beds UK chew-proof,94.4,LOW
Dog Care,12,2,seasonal dog care checklist UK by month | manual vs electric dog nail clippers comparison,90.5,LOW
