url,title,cluster,type,published_date,word_count_estimate,has_structured_data
https://pethubonline.com/our-research-standards/,Our Research Standards,general,post,2026-05-29T12:31:22,2572,yes
https://pethubonline.com/why-pethub-online-exists/,Why PetHub Online Exists,general,post,2026-05-29T12:31:16,2223,yes
https://pethubonline.com/indoor-cat-diet-nutrition-guide/,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,food,post,2026-05-29T12:31:01,2502,yes
https://pethubonline.com/indoor-cat-behaviour-common-issues/,Indoor Cat Behaviour: Understanding and Managing Common Issues,cat,post,2026-05-29T12:30:55,2399,yes
https://pethubonline.com/cat-friendly-home-enrichment-indoor-cats/,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,cat,post,2026-05-29T12:30:51,2379,yes
https://pethubonline.com/indoor-cat-safety-household-hazards/,Indoor Cat Safety: Common Household Hazards for Cats,cat,post,2026-05-29T12:30:46,2507,yes
https://pethubonline.com/indoor-cat-exercise-guide/,Indoor Cat Exercise: Keeping House Cats Active and Healthy,cat,post,2026-05-29T12:30:40,2475,yes
https://pethubonline.com/first-week-new-puppy-guide/,First Week with a New Puppy: A Day-by-Day Guide,dog,post,2026-05-29T12:30:36,3861,yes
https://pethubonline.com/puppy-teething-guide-stages-signs/,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",dog,post,2026-05-29T12:30:30,3528,yes
https://pethubonline.com/puppy-sleep-guide-by-age/,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,dog,post,2026-05-29T12:30:25,3512,yes
https://pethubonline.com/puppy-proofing-home-safety-guide/,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,dog,post,2026-05-29T12:30:20,3365,yes
https://pethubonline.com/puppy-vaccination-schedule-uk/,Puppy Vaccination Schedule UK: What to Expect and When,dog,post,2026-05-29T12:30:15,3773,yes
https://pethubonline.com/dog-bed-safety-non-toxic-materials/,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,dog,post,2026-05-29T12:30:09,3477,yes
https://pethubonline.com/seasonal-dog-bedding-guide/,Seasonal Dog Bedding: Adjusting Comfort Through the Year,dog,post,2026-05-29T12:30:03,3079,yes
https://pethubonline.com/puppy-bed-training-guide/,Puppy Bed Training: Helping Your Dog Love Their Bed,dog,post,2026-05-29T12:29:57,3843,yes
https://pethubonline.com/dog-bed-placement-guide/,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,dog,post,2026-05-29T12:29:52,3546,yes
https://pethubonline.com/how-to-wash-dog-bed-safely/,How to Wash and Dry a Dog Bed Safely,dog,post,2026-05-29T12:29:46,3640,yes
https://pethubonline.com/cat-toy-terminology-understanding-play-types-and-toy-features/,Cat Toy Terminology: Understanding Play Types and Toy Features,cat,post,2026-05-29T12:29:41,4116,yes
https://pethubonline.com/cat-supply-essentials-glossary-understanding-cat-care-products/,Cat Supply Essentials Glossary: Understanding Cat Care Products,cat,post,2026-05-29T12:29:36,3923,yes
https://pethubonline.com/dog-bed-terminology-materials-types-and-sizing-terms-explained/,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",dog,post,2026-05-29T12:29:32,4436,yes
https://pethubonline.com/dog-food-glossary-understanding-ingredients-and-nutrition-labels/,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,food,post,2026-05-29T12:29:27,5031,yes
https://pethubonline.com/dog-health-terminology-understanding-common-veterinary-and-care-terms/,Dog Health Terminology: Understanding Common Veterinary and Care Terms,health,post,2026-05-29T12:29:22,4187,yes
https://pethubonline.com/puppy-care-glossary-essential-terms-for-new-puppy-owners/,Puppy Care Glossary: Essential Terms for New Puppy Owners,dog,post,2026-05-29T12:29:18,4332,yes
https://pethubonline.com/indoor-cat-terminology-a-complete-glossary-for-cat-owners/,Indoor Cat Terminology: A Complete Glossary for Cat Owners,cat,post,2026-05-29T12:29:13,4165,yes
https://pethubonline.com/low-mobility-enrichment-dogs/,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,dog,post,2026-05-28T21:49:15,3198,yes
https://pethubonline.com/toy-overstimulation-recovery-dogs/,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,dog,post,2026-05-28T21:49:05,3151,yes
