cluster,posts,trust_coverage,faq_coverage,glossary_coverage,comparison_coverage,snippet_readiness,sources_coverage,quick_answer_coverage,avg_internal_links,avg_word_count,authority_density
Cat Supplies,35,100.0,100.0,100.0,100.0,15.5,100.0,100.0,15.1,3837,87.2
Cat Toys,5,100.0,100.0,100.0,100.0,19.3,100.0,100.0,16.4,3718,87.9
Dog Beds,15,100.0,100.0,100.0,100.0,6.0,100.0,60.0,13.5,4017,83.4
Dog Care,16,100.0,93.8,100.0,100.0,7.0,100.0,75.0,13.6,3972,81.2
Dog Food,5,100.0,100.0,100.0,100.0,6.6,100.0,0.0,14.4,5934,72.9
Dog Harnesses,4,100.0,100.0,100.0,100.0,0.0,100.0,100.0,10.8,3915,76.2
Dog Health,7,100.0,100.0,100.0,100.0,9.5,100.0,57.1,14.4,4306,84.3
Dog Supplies,29,100.0,100.0,100.0,100.0,17.2,100.0,86.2,14.1,4236,86.8
Indoor Cats,5,100.0,100.0,100.0,100.0,3.3,100.0,100.0,16.0,2644,85.5
Pet Care,2,100.0,100.0,100.0,100.0,38.8,100.0,100.0,7.0,2624,87.8
Uncategorized,45,100.0,100.0,100.0,100.0,8.7,100.0,97.8,11.1,4417,85.3
