post_id,title,cluster,structure_score,depth_score,uk_score,freshness_score,evidence_score,overall_readiness,chatgpt_readiness,perplexity_readiness,gemini_readiness,ai_overviews_readiness,copilot_readiness
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food,100,100,95,93,68,91.2,90.8,85.7,90.8,91.4,92.1
3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food,100,100,95,93,68,91.2,90.8,85.7,90.8,91.4,92.1
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,95,95,95,93,75,90.6,89.8,86.7,89.8,90.6,90.7
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Uncategorized,100,100,95,78,75,89.6,91.0,86.2,91.0,89.8,91.2
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,85,95,100,93,75,89.6,87.8,85.7,87.3,88.3,87.7
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,90,95,95,93,75,89.6,88.5,86.0,88.3,89.1,89.0
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,90,95,95,93,75,89.6,88.5,86.0,88.3,89.1,89.0
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,90,95,95,93,75,89.6,88.5,86.0,88.3,89.1,89.0
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,90,95,95,93,75,89.6,88.5,86.0,88.3,89.1,89.0
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,100,95,85,93,75,89.6,90.0,86.5,90.3,90.6,91.5
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,95,95,95,93,70,89.6,88.5,84.7,88.5,89.6,89.7
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Uncategorized,100,100,90,78,75,88.6,90.5,85.7,90.5,89.1,90.7
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Dog Toys,85,100,95,93,70,88.6,87.5,84.2,86.8,87.3,87.2
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Food,85,100,90,93,75,88.6,88.3,85.7,87.5,87.6,87.7
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,95,95,90,93,68,88.2,87.5,83.4,87.5,88.4,88.8
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,95,95,95,93,63,88.2,86.8,81.9,86.8,88.2,88.3
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Uncategorized,100,95,100,78,65,87.6,87.5,81.7,87.8,87.8,88.7
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,90,95,90,93,70,87.6,86.8,83.5,86.5,87.3,87.5
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Training Supplies,90,95,90,93,70,87.6,86.8,83.5,86.5,87.3,87.5
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,90,95,85,93,75,87.6,87.5,85.0,87.3,87.6,88.0
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Training Supplies,95,95,85,93,70,87.6,87.5,83.7,87.5,88.1,88.7
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Uncategorized,100,95,93,78,70,87.2,88.1,83.0,88.3,87.8,89.0
