url,title,issue,severity
https://pethubonline.com/our-research-standards/,Our Research Standards,not_in_sitemap,critical
https://pethubonline.com/why-pethub-online-exists/,Why PetHub Online Exists,not_in_sitemap,critical
https://pethubonline.com/indoor-cat-diet-nutrition-guide/,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,not_in_sitemap,critical
https://pethubonline.com/indoor-cat-behaviour-common-issues/,Indoor Cat Behaviour: Understanding and Managing Common Issues,not_in_sitemap,critical
https://pethubonline.com/cat-friendly-home-enrichment-indoor-cats/,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,not_in_sitemap,critical
https://pethubonline.com/indoor-cat-safety-household-hazards/,Indoor Cat Safety: Common Household Hazards for Cats,not_in_sitemap,critical
https://pethubonline.com/indoor-cat-exercise-guide/,Indoor Cat Exercise: Keeping House Cats Active and Healthy,not_in_sitemap,critical
https://pethubonline.com/first-week-new-puppy-guide/,First Week with a New Puppy: A Day-by-Day Guide,not_in_sitemap,critical
https://pethubonline.com/puppy-teething-guide-stages-signs/,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",not_in_sitemap,critical
https://pethubonline.com/puppy-sleep-guide-by-age/,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,not_in_sitemap,critical
https://pethubonline.com/puppy-proofing-home-safety-guide/,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,not_in_sitemap,critical
https://pethubonline.com/puppy-vaccination-schedule-uk/,Puppy Vaccination Schedule UK: What to Expect and When,not_in_sitemap,critical
https://pethubonline.com/dog-bed-safety-non-toxic-materials/,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,not_in_sitemap,critical
https://pethubonline.com/seasonal-dog-bedding-guide/,Seasonal Dog Bedding: Adjusting Comfort Through the Year,not_in_sitemap,critical
https://pethubonline.com/puppy-bed-training-guide/,Puppy Bed Training: Helping Your Dog Love Their Bed,not_in_sitemap,critical
https://pethubonline.com/dog-bed-placement-guide/,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,not_in_sitemap,critical
https://pethubonline.com/how-to-wash-dog-bed-safely/,How to Wash and Dry a Dog Bed Safely,not_in_sitemap,critical
https://pethubonline.com/cat-toy-terminology-understanding-play-types-and-toy-features/,Cat Toy Terminology: Understanding Play Types and Toy Features,not_in_sitemap,critical
https://pethubonline.com/cat-supply-essentials-glossary-understanding-cat-care-products/,Cat Supply Essentials Glossary: Understanding Cat Care Products,not_in_sitemap,critical
https://pethubonline.com/dog-bed-terminology-materials-types-and-sizing-terms-explained/,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",not_in_sitemap,critical
https://pethubonline.com/dog-food-glossary-understanding-ingredients-and-nutrition-labels/,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,not_in_sitemap,critical
https://pethubonline.com/dog-health-terminology-understanding-common-veterinary-and-care-terms/,Dog Health Terminology: Understanding Common Veterinary and Care Terms,not_in_sitemap,critical
https://pethubonline.com/puppy-care-glossary-essential-terms-for-new-puppy-owners/,Puppy Care Glossary: Essential Terms for New Puppy Owners,not_in_sitemap,critical
https://pethubonline.com/indoor-cat-terminology-a-complete-glossary-for-cat-owners/,Indoor Cat Terminology: A Complete Glossary for Cat Owners,not_in_sitemap,critical
https://pethubonline.com/category/arthritis-care/,Arthritis Care,not_in_sitemap,critical
https://pethubonline.com/category/dog-accessories/,Dog Accessories,not_in_sitemap,critical
https://pethubonline.com/category/dog-clothing/,Dog Clothing,not_in_sitemap,critical
https://pethubonline.com/category/enrichment-activities/,Enrichment Activities,not_in_sitemap,critical
https://pethubonline.com/category/grain-free/,Grain-Free,not_in_sitemap,critical
https://pethubonline.com/category/harnesses/,Harnesses,not_in_sitemap,critical
https://pethubonline.com/category/large-breeds/,Large Breeds,not_in_sitemap,critical
https://pethubonline.com/category/large-dogs/,Large Dogs,not_in_sitemap,critical
https://pethubonline.com/category/orthopaedic-supplies/,Orthopaedic Supplies,not_in_sitemap,critical
https://pethubonline.com/category/pet-care-tips/,Pet Care Tips,not_in_sitemap,critical
https://pethubonline.com/category/pet-nutrition/,Pet Nutrition,not_in_sitemap,critical
https://pethubonline.com/category/pet-supplies/,Pet Supplies,not_in_sitemap,critical
https://pethubonline.com/category/small-breeds/,Small Breeds,not_in_sitemap,critical
https://pethubonline.com/category/winter-essentials/,Winter Essentials,not_in_sitemap,critical
https://pethubonline.com/category/winter-gear/,Winter Gear,not_in_sitemap,critical
