source_id,source_title,source_cluster,target_url,target_title,target_cluster,anchor_text,link_type
8172,Our Research Standards,Other,https://pethubonline.com/pet-health-terminology-guide/,,,Pet Health Terminology Guide,existing
8172,Our Research Standards,Other,https://pethubonline.com/our-editorial-mission/,,,Our Editorial Mission,existing
8172,Our Research Standards,Other,https://pethubonline.com/how-we-evaluate-pet-products-and-create-our-guides/,,,How We Evaluate Pet Products and Create Our Guides,existing
8172,Our Research Standards,Other,https://pethubonline.com/our-editorial-process/,,,editorial process,existing
8172,Our Research Standards,Other,https://pethubonline.com/how-we-research-pet-products/,,,research methodology,existing
8172,Our Research Standards,Other,https://pethubonline.com/corrections-and-updates-policy/,,,corrections and updates policy,existing
8172,Our Research Standards,Other,https://pethubonline.com/affiliate-disclosure/,,,affiliate disclosure,existing
8171,Why PetHub Online Exists,Other,https://pethubonline.com/how-we-evaluate-pet-products-and-create-our-guides/,,,How We Evaluate Pet Products and Create Our Guides,existing
8171,Why PetHub Online Exists,Other,https://pethubonline.com/our-research-standards/,,,Our Research Standards,existing
8171,Why PetHub Online Exists,Other,https://pethubonline.com/our-editorial-process/,,,editorial process,existing
8171,Why PetHub Online Exists,Other,https://pethubonline.com/how-we-research-pet-products/,,,research methodology,existing
8171,Why PetHub Online Exists,Other,https://pethubonline.com/corrections-and-updates-policy/,,,corrections and updates policy,existing
8171,Why PetHub Online Exists,Other,https://pethubonline.com/affiliate-disclosure/,,,affiliate disclosure,existing
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,https://pethubonline.com/?p=12757,,,DIY Catio Plans: guide,existing
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,https://pethubonline.com/?p=12756,,,Catio Kits UK: Complete Guide,existing
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,https://pethubonline.com/indoor-cat-care-guide/,,,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,existing
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,https://pethubonline.com/indoor-cat-care/,,,indoor cat care guide,existing
