id,title,cluster,glossary_added,common_mistakes_added,beginner_recs_added,status
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,False,False,True,updated
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,Cat Supplies,False,False,True,updated
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,False,False,True,updated
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,False,False,True,updated
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,False,False,True,updated
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,False,False,True,updated
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Cat Supplies,False,False,True,updated
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,False,False,True,updated
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,False,False,True,updated
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,False,False,True,updated
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,False,False,True,updated
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,False,False,True,updated
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,False,False,True,updated
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Toys,False,False,True,updated
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Toys,False,False,True,updated
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Toys,False,False,True,updated
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,False,False,True,updated
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,False,False,True,updated
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,False,False,True,updated
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Dog Grooming,False,False,True,updated
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Grooming,True,True,True,updated
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Dog Grooming,False,False,True,updated
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Dog Grooming,False,False,True,updated
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Dog Grooming,True,True,True,updated
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,False,False,True,updated
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Grooming,False,True,True,updated
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Grooming,False,False,True,updated
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Grooming,False,True,True,updated
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,False,True,True,updated
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,False,False,True,updated
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,True,True,True,updated
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,True,True,True,updated
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,True,True,True,updated
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,False,False,True,updated
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Dog Harnesses,False,False,True,updated
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Dog Harnesses,False,False,True,updated
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Harnesses,False,False,True,updated
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Dog Harnesses,False,False,True,updated
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Harnesses,False,False,True,updated
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,False,False,True,updated
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,False,False,True,updated
