rank,cluster,dominance,moat,citation_confidence,trust_depth,practical_usefulness,glossary_richness,semantic_coverage,ai_readiness,cluster_leadership_score
1,Dog Food,85.1,84.2,86.4,61.2,100.0,100.0,60.0,100.0,84.61
2,Dog Health,75.7,77.3,75.3,54.8,100.0,100.0,64.5,100.0,80.95
3,Dog Supplies,74.7,72.7,70.1,66.0,89.7,100.0,69.7,97.1,80.0
4,Dog Care,74.4,75.6,70.5,54.5,100.0,100.0,63.5,98.3,79.6
5,Training Supplies,73.3,74.2,70.5,49.0,86.0,100.0,64.7,100.0,77.21
6,Puppy Care,70.8,70.5,67.5,57.0,100.0,100.0,60.2,90.0,77.01
7,Cat Supplies,76.1,74.1,72.5,56.6,70.3,100.0,66.0,100.0,76.96
8,Dog Beds,73.7,73.3,69.3,53.2,69.1,100.0,60.8,97.3,74.59
9,Uncategorized,74.0,74.9,67.1,58.5,52.5,97.8,64.1,98.7,73.44
10,Cat Toys,71.5,72.8,65.5,49.1,59.8,100.0,67.0,97.5,72.9
11,Dog Toys,67.2,69.9,62.0,46.3,52.3,100.0,62.1,94.3,69.27
12,Dog Harnesses,72.3,70.5,65.9,54.0,25.1,100.0,65.5,100.0,69.16
13,Indoor Cats,69.9,71.0,62.1,50.0,30.0,100.0,67.2,100.0,68.78
14,Pet Care,66.0,67.2,57.4,48.0,4.0,100.0,73.8,100.0,64.54
