cluster,posts,authority_score,trust_pct,faq_pct,glossary_pct,comparison_pct,practical_pct,extref_pct,related_pct,avg_links,avg_words
Educational,14,86.6,100.0,92.9,100.0,35.7,78.6,85.7,92.9,7.6,1850.0
Dog Toys,27,82.2,100.0,74.1,100.0,33.3,74.1,59.3,100.0,9.1,1809.0
Dog Food,4,81.6,100.0,100.0,100.0,100.0,50.0,0.0,100.0,7.2,4195.0
Pet Care General,9,81.5,100.0,100.0,100.0,22.2,66.7,55.6,100.0,7.0,2458.0
Cat Toys,14,76.8,100.0,92.9,100.0,28.6,64.3,0.0,100.0,11.6,1376.0
Dog Care,7,74.3,100.0,57.1,100.0,28.6,71.4,28.6,71.4,9.1,1649.0
Dog Beds,9,73.1,100.0,100.0,100.0,33.3,33.3,22.2,88.9,6.9,1956.0
Other,11,71.8,100.0,90.9,100.0,9.1,27.3,27.3,100.0,9.5,1665.0
Puppy Care,5,71.2,100.0,100.0,100.0,0.0,40.0,40.0,80.0,6.6,2264.0
Dog Harnesses,9,71.1,100.0,44.4,100.0,33.3,55.6,11.1,88.9,9.8,1431.0
Dog Health,5,70.0,100.0,80.0,100.0,0.0,40.0,20.0,100.0,7.2,1785.0
Cat Supplies,24,69.4,100.0,91.7,100.0,12.5,20.8,8.3,100.0,9.6,1660.0
Dog Supplies,6,63.3,100.0,83.3,100.0,0.0,0.0,0.0,100.0,9.5,1472.0
