post_id,title,action,terms_added,term_names,status
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Inst,new_block,6,"Enrichment, Puzzle Feeder, Tug Toy, Stuffable Toy, Flirt Pole, Snuffle Mat",updated
5523,"Dog Training Equipment Explained: Tools, Uses, and What to A",expanded,3,"Enrichment, Brachycephalic, No-Pull Harness",updated
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Suppo",expanded,2,"Enrichment, Body Condition Score",updated
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happ,expanded,3,"Enrichment, Kibble, Positive Reinforcement",updated
5512,Dog Behaviour Explained: Understanding Your Dog's Body Langu,expanded,3,"Enrichment, Desensitisation, Resource Guarding",updated
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ide",expanded,3,"Enrichment, Kibble, Positive Reinforcement",updated
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Me",expanded,3,"Enrichment, Resource Guarding, Kibble",updated
5464,Pet Grooming Glossary: Understanding Grooming Terms and Tech,expanded,3,"Desensitisation, Counter-Conditioning, Dental Chew",updated
5462,Dog Training Terminology Explained: Key Concepts for New Own,expanded,3,"Desensitisation, Positive Reinforcement, Socialisation",updated
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Fo,expanded,3,"Kibble, Grain-Free, Complete Food",updated
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How,expanded,3,"Enrichment, Positive Reinforcement, Catnip",updated
