# generated_at: 2026-05-27T21:23:38Z
# source_server: 167.99.198.145
# generated_by: Phase10B_Dog_Food_Evidence_Collection
# data_source_label: evidence_pipeline_candidates
# approval_status: evidence_collection_in_progress
# next_action: source_gathering
# total_candidates: 25
# evidence_blocked: ALL products blocked pending verification
# pipeline: not_started -> candidate_identified -> source_collected -> evidence_extracted -> evidence_verified -> owner_approved -> approved_for_draft_use -> approved_for_live_use
#
product_id,brand_name,product_name,product_type,target_audience,evidence_status,manufacturer_url,fediaf_compliance,uk_availability,price_range,protein_source_primary,grain_status,source_count,freshness_check_date,confidence_score,evidence_blocked,blocked_reason,next_action
P001,Royal Canin,Royal Canin Medium Adult,dry,adult,candidate_identified,pending_collection,pending_verification,available,premium,chicken,grain-inclusive,0,,0.0,yes,evidence_not_verified,Collect manufacturer nutritional data and FEDIAF compliance statement
P002,Royal Canin,Royal Canin Maxi Puppy,dry,puppy,candidate_identified,pending_collection,pending_verification,available,premium,chicken,grain-inclusive,0,,0.0,yes,evidence_not_verified,Collect puppy-specific nutritional profile and growth-stage evidence
P003,James Wellbeloved,James Wellbeloved Adult Lamb & Rice,dry,adult,candidate_identified,pending_collection,pending_verification,available,premium,lamb,grain-inclusive,0,,0.0,yes,evidence_not_verified,Collect hypoallergenic claims evidence and ingredient sourcing data
P004,James Wellbeloved,James Wellbeloved Senior Turkey & Rice,dry,senior,candidate_identified,pending_collection,pending_verification,available,premium,chicken,grain-inclusive,0,,0.0,yes,evidence_not_verified,Collect senior-specific joint support and digestibility evidence
P005,Lily's Kitchen,Lily's Kitchen Proper Dog Food Chicken & Duck,dry,adult,candidate_identified,pending_collection,pending_verification,available,super-premium,chicken,grain-free,0,,0.0,yes,evidence_not_verified,Collect natural ingredient claims evidence and freshness sourcing data
P006,Lily's Kitchen,Lily's Kitchen Puppy Recipe,wet,puppy,candidate_identified,pending_collection,pending_verification,available,super-premium,chicken,grain-free,0,,0.0,yes,evidence_not_verified,Collect puppy nutritional adequacy statement and wet food preservation data
P007,Burns Pet Nutrition,Burns Original Chicken & Brown Rice,dry,adult,candidate_identified,pending_collection,pending_verification,available,mid-range,chicken,grain-inclusive,0,,0.0,yes,evidence_not_verified,Collect veterinary endorsement evidence and sensitive digestion claims data
P008,Forthglade,Forthglade Complete Meal Adult Chicken,wet,adult,candidate_identified,pending_collection,pending_verification,available,mid-range,chicken,grain-free,0,,0.0,yes,evidence_not_verified,Collect complete meal nutritional profile and natural preservative evidence
P009,Forthglade,Forthglade Complete Meal Senior Lamb,wet,senior,candidate_identified,pending_collection,pending_verification,available,mid-range,lamb,grain-free,0,,0.0,yes,evidence_not_verified,Collect senior formulation evidence and joint health ingredient data
P010,Harringtons,Harringtons Complete Rich in Chicken,dry,adult,candidate_identified,pending_collection,pending_verification,available,budget,chicken,grain-inclusive,0,,0.0,yes,evidence_not_verified,Collect value proposition evidence and nutritional adequacy at price point
P011,Burgess,Burgess Sensitive Adult Lamb,dry,adult,candidate_identified,pending_collection,pending_verification,available,mid-range,lamb,grain-inclusive,0,,0.0,yes,evidence_not_verified,Collect sensitive digestion claims evidence and allergen-free formulation data
P012,Arden Grange,Arden Grange Adult Chicken & Rice,dry,adult,candidate_identified,pending_collection,pending_verification,available,premium,chicken,grain-inclusive,0,,0.0,yes,evidence_not_verified,Collect fresh chicken content percentage evidence and UK manufacturing data
P013,Canagan,Canagan Free-Run Chicken,dry,all_ages,candidate_identified,pending_collection,pending_verification,available,super-premium,chicken,grain-free,0,,0.0,yes,evidence_not_verified,Collect high-protein formulation evidence and grain-free safety data
P014,Eden Holistic,Eden 80/20 Country Cuisine,dry,all_ages,candidate_identified,pending_collection,pending_verification,available,super-premium,mixed,grain-free,0,,0.0,yes,evidence_not_verified,Collect 80/20 meat-to-vegetable ratio evidence and multi-protein source data
P015,Pooch & Mutt,Pooch & Mutt Health & Digestion,dry,adult,candidate_identified,pending_collection,pending_verification,available,premium,chicken,grain-free,0,,0.0,yes,evidence_not_verified,Collect functional health claims evidence and prebiotic/probiotic data
