post_id,title,old_category,new_category,new_category_id,status,verified,confidence,reasoning
8172,Our Research Standards,Uncategorized,Pet Care,1397,publish,yes,high,Site meta/about content - general Pet Care category
8171,Why PetHub Online Exists,Uncategorized,Pet Care,1397,publish,yes,high,Site meta/about content - general Pet Care category
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Uncategorized,Dog Toys,1441,publish,yes,high,Dog enrichment content focused on toys and play
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Uncategorized,Dog Toys,1441,publish,yes,high,Title directly relates to dog toys/play/enrichment activities
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Uncategorized,Dog Toys,1441,publish,yes,high,Title directly relates to dog toys/play/enrichment activities
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,Dog Toys,1441,publish,yes,high,Title directly relates to dog toys/play/enrichment activities
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Uncategorized,Dog Toys,1441,publish,yes,high,Title directly relates to dog toys/play/enrichment activities
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Uncategorized,Dog Toys,1441,publish,yes,high,Title directly relates to dog toys/play/enrichment activities
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Uncategorized,Dog Toys,1441,publish,yes,high,Title directly relates to dog toys/play/enrichment activities
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,Dog Toys,1441,publish,yes,high,Title directly relates to dog toys/play/enrichment activities
6042,Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts,Uncategorized,Dog Toys,1441,publish,yes,high,Dog enrichment content focused on toys and play
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Uncategorized,Dog Toys,1441,publish,yes,high,Title directly relates to dog toys/play/enrichment activities
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Uncategorized,Dog Toys,1441,publish,yes,high,Title directly relates to dog toys/play/enrichment activities
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Uncategorized,Dog Toys,1441,publish,yes,high,Title directly relates to dog toys/play/enrichment activities
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Uncategorized,Dog Toys,1441,publish,yes,high,Dog enrichment content focused on toys and play
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Uncategorized,Dog Toys,1441,publish,yes,high,Dog enrichment content focused on toys and play
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Uncategorized,Dog Toys,1441,publish,yes,high,Title directly relates to dog toys/play/enrichment activities
