post_id,title,slug,link,word_count,h2_count,h3_count,img_count,internal_link_count,word_count_1500,h2_count_3,h3_count_2,has_definition_block,has_direct_answer,has_numbered_list,has_bullet_list,has_faq,has_sources,has_affiliate_links,has_images_2,has_internal_links_2,has_table,has_key_takeaways,has_author_box,total_score,percentage
8172,Our Research Standards,our-research-standards,https://pethubonline.com/our-research-standards/,3874,17,9,5,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
8171,Why PetHub Online Exists,why-pethub-online-exists,https://pethubonline.com/why-pethub-online-exists/,3329,14,7,4,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,indoor-cat-diet-nutrition-guide,https://pethubonline.com/indoor-cat-diet-nutrition-guide/,3897,16,19,10,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,indoor-cat-behaviour-common-issues,https://pethubonline.com/indoor-cat-behaviour-common-issues/,3808,16,17,5,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,cat-friendly-home-enrichment-indoor-cats,https://pethubonline.com/cat-friendly-home-enrichment-indoor-cats/,3854,16,14,5,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
7343,Indoor Cat Safety: Common Household Hazards for Cats,indoor-cat-safety-household-hazards,https://pethubonline.com/indoor-cat-safety-household-hazards/,4017,17,12,5,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,indoor-cat-exercise-guide,https://pethubonline.com/indoor-cat-exercise-guide/,3911,16,10,5,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",puppy-teething-guide-stages-signs,https://pethubonline.com/puppy-teething-guide-stages-signs/,4512,14,15,5,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,puppy-sleep-guide-by-age,https://pethubonline.com/puppy-sleep-guide-by-age/,4506,13,15,4,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,puppy-proofing-home-safety-guide,https://pethubonline.com/puppy-proofing-home-safety-guide/,4367,12,13,4,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
7337,Puppy Vaccination Schedule UK: What to Expect and When,puppy-vaccination-schedule-uk,https://pethubonline.com/puppy-vaccination-schedule-uk/,4982,14,19,5,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,dog-bed-safety-non-toxic-materials,https://pethubonline.com/dog-bed-safety-non-toxic-materials/,4652,15,12,5,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,seasonal-dog-bedding-guide,https://pethubonline.com/seasonal-dog-bedding-guide/,4232,13,18,5,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,puppy-bed-training-guide,https://pethubonline.com/puppy-bed-training-guide/,5015,14,16,5,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,dog-bed-placement-guide,https://pethubonline.com/dog-bed-placement-guide/,4771,14,14,5,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
7332,How to Wash and Dry a Dog Bed Safely,how-to-wash-dog-bed-safely,https://pethubonline.com/how-to-wash-dog-bed-safely/,4915,16,17,5,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,cat-toy-terminology-understanding-play-types-and-toy-features,https://pethubonline.com/cat-toy-terminology-understanding-play-types-and-toy-features/,5216,12,32,4,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,cat-supply-essentials-glossary-understanding-cat-care-products,https://pethubonline.com/cat-supply-essentials-glossary-understanding-cat-care-products/,5047,11,33,4,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",dog-bed-terminology-materials-types-and-sizing-terms-explained,https://pethubonline.com/dog-bed-terminology-materials-types-and-sizing-terms-explained/,5225,10,30,4,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,dog-food-glossary-understanding-ingredients-and-nutrition-labels,https://pethubonline.com/dog-food-glossary-understanding-ingredients-and-nutrition-labels/,5875,8,34,4,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,dog-health-terminology-understanding-common-veterinary-and-care-terms,https://pethubonline.com/dog-health-terminology-understanding-common-veterinary-and-care-terms/,5235,10,34,4,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,puppy-care-glossary-essential-terms-for-new-puppy-owners,https://pethubonline.com/puppy-care-glossary-essential-terms-for-new-puppy-owners/,5317,10,34,4,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,indoor-cat-terminology-a-complete-glossary-for-cat-owners,https://pethubonline.com/indoor-cat-terminology-a-complete-glossary-for-cat-owners/,5365,11,37,4,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,low-mobility-enrichment-dogs,https://pethubonline.com/low-mobility-enrichment-dogs/,3025,11,10,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,sensory-enrichment-dogs,https://pethubonline.com/sensory-enrichment-dogs/,2916,11,9,4,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,confidence-building-play-dogs,https://pethubonline.com/confidence-building-play-dogs/,2283,13,10,4,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,play-recovery-after-surgery-dogs,https://pethubonline.com/play-recovery-after-surgery-dogs/,2801,11,9,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,dog-toy-hygiene-schedules,https://pethubonline.com/dog-toy-hygiene-schedules/,2841,11,9,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,safe-multi-dog-toy-management,https://pethubonline.com/safe-multi-dog-toy-management/,2810,11,9,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,rotating-puzzle-complexity-dogs,https://pethubonline.com/rotating-puzzle-complexity-dogs/,2406,15,9,4,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
6042,Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts,enrichment-by-breed-group,https://pethubonline.com/enrichment-by-breed-group/,3933,9,10,4,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
5950,Dog Toy Durability Guide: What Lasts and What Does Not,dog-toy-durability-guide,https://pethubonline.com/dog-toy-durability-guide/,4140,16,17,5,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",dog-toy-materials-compared,https://pethubonline.com/dog-toy-materials-compared/,3831,13,20,5,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,enrichment-schedules-dogs,https://pethubonline.com/enrichment-schedules-dogs/,3851,14,18,4,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,dog-toy-storage-organisation,https://pethubonline.com/dog-toy-storage-organisation/,3568,13,15,5,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,crate-play-enrichment-dogs,https://pethubonline.com/crate-play-enrichment-dogs/,3527,10,19,4,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",safe-tug-play-dogs,https://pethubonline.com/safe-tug-play-dogs/,3242,11,11,4,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,scent-game-enrichment-dogs,https://pethubonline.com/scent-game-enrichment-dogs/,4031,10,20,4,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,dog-toy-safety-breed-size,https://pethubonline.com/dog-toy-safety-breed-size/,3813,9,19,4,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",dog-training-equipment-guide,https://pethubonline.com/dog-training-equipment-guide/,6151,14,37,5,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,pet-health-terminology-guide,https://pethubonline.com/pet-health-terminology-guide/,5853,14,38,5,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",dog-health-basics-guide,https://pethubonline.com/dog-health-basics-guide/,5946,18,33,5,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,indoor-cat-care-guide,https://pethubonline.com/indoor-cat-care-guide/,4696,17,26,5,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,dog-behaviour-explained,https://pethubonline.com/dog-behaviour-explained/,5507,15,36,5,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",pet-enrichment-guide,https://pethubonline.com/pet-enrichment-guide/,4473,16,34,5,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,dog-bed-sizing-guide,https://pethubonline.com/dog-bed-sizing-guide/,5545,15,25,5,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",pet-toy-safety-guide,https://pethubonline.com/pet-toy-safety-guide/,6912,16,29,5,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,puppy-development-stages-guide,https://pethubonline.com/puppy-development-stages-guide/,6357,15,34,5,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,dog-toy-lifespan-replacement,https://pethubonline.com/dog-toy-lifespan-replacement/,5952,16,30,5,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",mental-stimulation-toys-dogs,https://pethubonline.com/mental-stimulation-toys-dogs/,4753,17,20,5,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,100.0
