post_id,title,category,word_count,toc,tables,ctas,faq,glossary,images,alt_quality,takeaways,lists,h2_count,h3_count,good_structure,affiliate,sources,tablet_score,tablet_pct
4414,Harness vs Collar: Which Is Better for Your Dog?,"Dog Care, Dog Harnesses, Dog Supplies",4085,False,5,4,True,True,5,good,False,17,4,11,True,True,True,12,85.7
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,"Dog Care, Dog Harnesses, Dog Supplies",3582,False,1,4,True,True,5,good,False,17,4,11,True,True,True,12,85.7
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,"Dog Harnesses, Dog Supplies",3638,True,2,4,True,True,1,good,False,16,4,11,True,True,True,12,85.7
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,"Indoor Cats, Pet Care, Pet Health",3884,True,2,4,True,True,10,good,False,25,16,19,True,True,True,13,92.9
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,"Indoor Cats, Pet Care",3798,True,2,4,True,True,5,good,False,27,16,17,True,True,True,13,92.9
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,"Indoor Cats, Pet Care",3842,True,2,4,True,True,5,good,False,26,16,14,True,True,True,13,92.9
7343,Indoor Cat Safety: Common Household Hazards for Cats,"Indoor Cats, Pet Care, Pet Health",4005,True,2,4,True,True,5,good,False,25,17,12,True,True,True,13,92.9
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,"Health &amp; Wellness, Indoor Cats, Pet Care",3899,True,2,4,True,True,5,good,False,23,16,10,True,True,True,13,92.9
7341,First Week with a New Puppy: A Day-by-Day Guide,"Dog Care, Pet Care, Puppy Care",4811,True,5,3,True,True,5,good,False,30,14,14,True,True,True,13,92.9
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips","Dog Health, Pet Care, Puppy Care",4341,True,4,3,True,True,5,good,False,29,14,15,True,True,True,13,92.9
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,"Dog Care, Pet Care, Puppy Care",4373,True,3,3,True,True,4,good,False,29,13,15,True,True,True,13,92.9
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,"Dog Care, Pet Care, Puppy Care",4226,True,3,3,True,True,4,good,False,28,12,13,True,True,True,13,92.9
7337,Puppy Vaccination Schedule UK: What to Expect and When,"Dog Health, Pet Health, Puppy Care",4765,True,5,3,True,True,5,good,False,26,14,19,True,True,True,13,92.9
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,"Dog Beds, Dog Health, Pet Care",4640,True,3,4,True,True,5,good,False,28,15,12,True,True,True,13,92.9
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,"Dog Beds, Pet Beds, Pet Care",4222,True,3,4,True,True,5,good,False,26,13,18,True,True,True,13,92.9
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,"Dog Beds, Pet Care, Puppy Care",5006,True,3,4,True,True,5,good,False,27,14,16,True,True,True,13,92.9
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,"Dog Beds, Pet Care",4761,True,3,4,True,True,5,good,False,23,14,14,True,True,True,13,92.9
7332,How to Wash and Dry a Dog Bed Safely,"Dog Beds, Pet Care",4904,True,3,4,True,True,5,good,False,25,16,17,True,True,True,13,92.9
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,"Cat Supplies, Pet Care",5038,True,2,4,True,True,4,good,False,16,11,33,True,True,True,13,92.9
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained","Dog Beds, Dog Supplies",5215,True,5,4,True,True,4,good,False,18,10,30,True,True,True,13,92.9
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,"Dog Food, Dog Supplies",5861,True,6,4,True,True,4,good,False,18,8,34,True,True,True,13,92.9
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,"Dog Health, Dog Supplies, Pet Care",5224,True,6,4,True,True,4,good,False,20,10,34,True,True,True,13,92.9
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,"Dog Care, Dog Supplies, Puppy Care",5305,True,4,4,True,True,4,good,False,20,10,34,True,True,True,13,92.9
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,"Cat Supplies, Indoor Cats, Pet Care",5355,True,2,4,True,True,4,good,False,16,11,37,True,True,True,13,92.9
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,"Dog Toys, Uncategorized",2990,True,2,3,True,True,4,good,False,9,11,10,True,True,True,13,92.9
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,"Dog Toys, Uncategorized",2903,True,2,4,True,True,4,good,False,9,11,9,True,True,True,13,92.9
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,"Dog Toys, Uncategorized",2898,True,2,4,True,True,4,good,False,9,11,9,True,True,True,13,92.9
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,"Dog Toys, Uncategorized",2766,True,2,3,True,True,4,good,False,9,11,9,True,True,True,13,92.9
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,"Dog Toys, Uncategorized",2806,True,2,3,True,True,4,good,False,9,11,9,True,True,True,13,92.9
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,"Dog Toys, Uncategorized",2775,True,2,3,True,True,4,good,False,9,11,9,True,True,True,13,92.9
